Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VNA","VONOVIA SE","Real Estate","Equity","12,750,711.19","5.05","12,750,711.19","192,909.00","-","DE000A1ML7J1","BBJPFY1","66.10","Germany","Xetra","USD","0.83","EUR","-"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","7,390,943.57","2.93","7,390,943.57","314,800.00","S65976037","JP3893200000","6597603","23.48","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"16","SUN HUNG KAI PROPERTIES LTD","Real Estate","Equity","6,993,389.14","2.77","6,993,389.14","484,500.00","S68599273","HK0016000132","6859927","14.43","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","6,955,238.61","2.75","6,955,238.61","387,700.00","S65967291","JP3899600005","6596729","17.94","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"823","LINK REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","6,214,120.14","2.46","6,214,120.14","699,700.00","-","HK0823032773","B0PB4M7","8.88","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"DWNI","DEUTSCHE WOHNEN","Real Estate","Equity","5,814,930.50","2.30","5,814,930.50","118,153.00","-","DE000A0HN5C6","B0YZ0Z5","49.22","Germany","Xetra","USD","0.83","EUR","-"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","5,454,500.49","2.16","5,454,500.49","405,405.00","-","GB00B5ZN1N88","B5ZN1N8","13.45","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Real Estate","Equity","4,721,154.05","1.87","4,721,154.05","134,600.00","S68589027","JP3409000001","6858902","35.08","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"1113","CK ASSET HOLDINGS LTD","Real Estate","Equity","4,346,376.61","1.72","4,346,376.61","809,000.00","-","KYG2177B1014","BYZQ077","5.37","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"SCG","SCENTRE GROUP","Real Estate","Equity","3,849,337.77","1.52","3,849,337.77","1,768,412.00","-","AU000000SCG8","BLZH0Z7","2.18","Australia","Asx - All Markets","USD","1.29","AUD","-"
"LEG","LEG IMMOBILIEN N AG","Real Estate","Equity","3,503,619.67","1.39","3,503,619.67","24,596.00","-","DE000LEG1110","B9G6L89","142.45","Germany","Xetra","USD","0.83","EUR","-"
"1997","WHARF REAL ESTATE INVESTMENT COMPA","Real Estate","Equity","3,485,735.39","1.38","3,485,735.39","558,900.00","-","KYG9593A1040","BF0GWS4","6.24","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","3,185,705.53","1.26","3,185,705.53","45,940.00","-","FR0013326246","BFYM460","69.34","France","Euronext Amsterdam","USD","0.83","EUR","-"
"8951","NIPPON BUILDING FUND REIT INC","Real Estate","Equity","3,135,572.06","1.24","3,135,572.06","503.00","S63968002","JP3027670003","6396800","6,233.74","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"AT1","AROUNDTOWN SA","Real Estate","Equity","2,955,383.82","1.17","2,955,383.82","414,030.00","-","LU1673108939","BF0CK44","7.14","Germany","Xetra","USD","0.83","EUR","-"
"SGP","STOCKLAND STAPLED UNITS LTD","Real Estate","Equity","2,946,683.92","1.17","2,946,683.92","813,398.00","S68508563","AU000000SGP0","6850856","3.62","Australia","Asx - All Markets","USD","1.29","AUD","-"
"8952","JAPAN REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","2,816,024.22","1.12","2,816,024.22","443.00","S63975809","JP3027680002","6397580","6,356.71","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"A17U","ASCENDAS REAL ESTATE INVESTMENT TR","Real Estate","Equity","2,566,838.60","1.02","2,566,838.60","1,108,590.00","S65638751","SG1M77906915","6563875","2.32","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"3462","NOMURA REAL ESTATE MASTER FUND REI","Real Estate","Equity","2,538,542.31","1.01","2,538,542.31","1,530.00","-","JP3048110005","BYSJJF4","1,659.18","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"DXS","DEXUS STAPLED UNITS","Real Estate","Equity","2,519,119.82","1.00","2,519,119.82","372,037.00","-","AU000000DXS1","B033YN6","6.77","Australia","Asx - All Markets","USD","1.29","AUD","-"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","2,513,742.85","1.00","2,513,742.85","25,635.00","-","CH0008038389","B083BH4","98.06","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"GFC","GECINA SA","Real Estate","Equity","2,504,902.77","0.99","2,504,902.77","17,666.00","S77424687","FR0010040865","7742468","141.79","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"3281","GLP J-REIT REIT","Real Estate","Equity","2,407,917.51","0.95","2,407,917.51","1,391.00","-","JP3047510007","B8RBZV7","1,731.07","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"3283","NIPPON PROLOGIS REIT INC","Real Estate","Equity","2,393,331.13","0.95","2,393,331.13","726.00","-","JP3047550003","B98BC67","3,296.60","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"C38U","CAPITALAND INTEGRATED COMMERCIAL T","Real Estate","Equity","2,369,091.61","0.94","2,369,091.61","1,481,688.00","S64201296","SG1M51904654","6420129","1.60","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"MGR","MIRVAC GROUP STAPLED UNITS","Real Estate","Equity","2,358,050.28","0.93","2,358,050.28","1,342,147.00","S61619789","AU000000MGR9","6161978","1.76","Australia","Asx - All Markets","USD","1.29","AUD","-"
"17","NEW WORLD DEVELOPMENT COMPANY LTD","Real Estate","Equity","2,333,675.71","0.92","2,333,675.71","486,333.00","-","HK0000608585","BM94GQ4","4.80","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"CAR.UN","CANADIAN APARTMENT PROPERTIES REAL","Real Estate","Equity","2,310,297.75","0.91","2,310,297.75","57,603.00","134921105","CA1349211054","2117599","40.11","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"GPT","GPT GROUP STAPLED UNITS","Real Estate","Equity","2,262,023.74","0.90","2,262,023.74","665,842.00","S63658660","AU000000GPT8","6365866","3.40","Australia","Asx - All Markets","USD","1.29","AUD","-"
"CAST","CASTELLUM","Real Estate","Equity","2,250,024.14","0.89","2,250,024.14","92,000.00","-","SE0000379190","B0XP0T0","24.46","Sweden","Nasdaq Omx Nordic","USD","8.28","SEK","-"
"LAND","LAND SECURITIES GROUP REIT PLC","Real Estate","Equity","2,143,020.47","0.85","2,143,020.47","242,039.00","-","GB00BYW0PQ60","BYW0PQ6","8.85","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"C31","CAPITALAND","Real Estate","Equity","2,074,312.54","0.82","2,074,312.54","878,700.00","S63093033","SG1J27887962","6309303","2.36","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"BLND","BRITISH LAND REIT PLC","Real Estate","Equity","2,042,339.91","0.81","2,042,339.91","314,062.00","S01367010","GB0001367019","0136701","6.50","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"101","HANG LUNG PROPERTIES LTD","Real Estate","Equity","1,993,434.29","0.79","1,993,434.29","693,000.00","S60305067","HK0101000591","6030506","2.88","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"8984","DAIWA HOUSE REIT CORP","Real Estate","Equity","1,938,533.79","0.77","1,938,533.79","687.00","-","JP3046390005","B0Z6WY0","2,821.74","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
"8953","JAPAN RETAIL FUND INVESTMENT REIT","Real Estate","Equity","1,892,181.81","0.75","1,892,181.81","893.00","S65133423","JP3039710003","6513342","2,118.90","Japan","Tokyo Stock Exchange","USD","105.72","JPY","-"
