Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","3,392,437.45","1.68","3,392,437.45","78,005.00","12008R107","US12008R1077","B0BV2M7","43.49","United States","NASDAQ","USD","1.00","USD","-"
"ROCK","GIBRALTAR INDUSTRIES INC","Industrials","Equity","1,992,296.88","0.98","1,992,296.88","21,224.00","374689107","US3746891072","2369226","93.87","United States","NASDAQ","USD","1.00","USD","-"
"TREX","TREX INC","Industrials","Equity","1,926,082.48","0.95","1,926,082.48","18,442.00","89531P105","US89531P1057","2483074","104.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTZ","MASTEC INC","Industrials","Equity","1,852,410.75","0.92","1,852,410.75","21,935.00","576323109","US5763231090","2155306","84.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLDD","GREAT LAKES DREDGE AND DOCK CORP","Industrials","Equity","1,830,218.04","0.90","1,830,218.04","119,388.00","390607109","US3906071093","B1LDZK9","15.33","United States","NASDAQ","USD","1.00","USD","-"
"APOG","APOGEE ENTERPRISES INC","Industrials","Equity","1,829,973.60","0.90","1,829,973.60","48,412.00","037598109","US0375981091","2046176","37.80","United States","NASDAQ","USD","1.00","USD","-"
"NVEE","NV5 GLOBAL INC","Industrials","Equity","1,818,880.92","0.90","1,818,880.92","18,406.00","62945V109","US62945V1098","BF5ZVB2","98.82","United States","NASDAQ","USD","1.00","USD","-"
"TRN","TRINITY INDUSTRIES INC","Industrials","Equity","1,810,950.56","0.89","1,810,950.56","57,784.00","896522109","US8965221091","2904627","31.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","1,802,286.42","0.89","1,802,286.42","42,218.00","629377508","US6293775085","2212922","42.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMI","VALMONT INDS INC","Industrials","Equity","1,775,943.54","0.88","1,775,943.54","8,106.00","920253101","US9202531011","2926825","219.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSEX","MIDDLESEX WATER","Utilities","Equity","1,754,594.05","0.87","1,754,594.05","20,635.00","596680108","US5966801087","2589466","85.03","United States","NASDAQ","USD","1.00","USD","-"
"CWT","CALIFORNIA WATER SERVICE GROUP","Utilities","Equity","1,751,223.81","0.87","1,751,223.81","29,467.00","130788102","US1307881029","2165383","59.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","Industrials","Equity","1,749,672.56","0.86","1,749,672.56","17,774.00","00790R104","US00790R1041","BP7RS59","98.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","1,741,648.00","0.86","1,741,648.00","109,400.00","185899101","US1858991011","BYVZ186","15.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPC","TUTOR PERINI CORP","Industrials","Equity","1,724,129.72","0.85","1,724,129.72","102,383.00","901109108","US9011091082","2681760","16.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASIX","ADVANSIX INC","Materials","Equity","1,703,265.69","0.84","1,703,265.69","67,137.00","00773T101","US00773T1016","BYMMZL7","25.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OLN","OLIN CORP","Materials","Equity","1,696,933.53","0.84","1,696,933.53","60,111.00","680665205","US6806652052","2658526","28.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBX","GREENBRIER INC","Industrials","Equity","1,695,195.00","0.84","1,695,195.00","38,970.00","393657101","US3936571013","2387530","43.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,685,402.15","0.83","1,685,402.15","20,105.00","65339F101","US65339F1012","2328915","83.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
