Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XOM","EXXON MOBIL CORP","Energy","Equity","36,743,723.84","10.60","36,743,723.84","763,744.00","30231G102","US30231G1022","2326618","48.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","33,129,672.66","9.56","33,129,672.66","360,066.00","166764100","US1667641005","2838555","92.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENB","ENBRIDGE INC","Energy","Equity","15,487,894.00","4.47","15,487,894.00","441,880.00","29250N105","CA29250N1050","2478906","35.05","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","13,856,172.61","4.00","13,856,172.61","320,819.00","20825C104","US20825C1045","2685717","43.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","11,855,661.39","3.42","11,855,661.39","190,269.00","651639106","US6516391066","2636607","62.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","10,336,673.88","2.98","10,336,673.88","344,097.00","35671D857","US35671D8570","2352118","30.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRP","TC ENERGY CORP","Energy","Equity","10,081,599.29","2.91","10,081,599.29","222,601.00","87807B107","CA87807B1076","BJMY6F9","45.29","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOLD","BARRICK GOLD CORP","Materials","Equity","9,971,434.88","2.88","9,971,434.88","421,091.00","067901108","CA0679011084","2024677","23.68","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","7,975,128.53","2.30","7,975,128.53","329,687.00","806857108","AN8068571086","2779201","24.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","7,603,274.98","2.19","7,603,274.98","138,166.00","26875P101","US26875P1012","2318024","55.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","7,568,475.16","2.18","7,568,475.16","103,451.00","718546104","US7185461040","B78C4Y8","73.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLL","BALL CORP","Materials","Equity","7,073,193.60","2.04","7,073,193.60","77,472.00","058498106","US0584981064","2073022","91.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","7,036,309.70","2.03","7,036,309.70","461,095.00","49456B101","US49456B1017","B3NQ4P8","15.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","6,994,689.78","2.02","6,994,689.78","154,102.00","56585A102","US56585A1025","B3K3L40","45.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","6,892,300.80","1.99","6,892,300.80","279,720.00","136385101","CA1363851017","2125202","24.64","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SU","SUNCOR ENERGY INC","Energy","Equity","6,552,476.38","1.89","6,552,476.38","361,217.00","867224107","CA8672241079","B3NB0P5","18.14","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","6,228,564.76","1.80","6,228,564.76","287,428.00","969457100","US9694571004","2967181","21.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","6,227,390.00","1.80","6,227,390.00","47,903.00","723787107","US7237871071","2690830","130.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","5,684,757.66","1.64","5,684,757.66","96,581.00","91913Y100","US91913Y1001","2041364","58.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FNV","FRANCO NEVADA CORP","Materials","Equity","5,618,766.72","1.62","5,618,766.72","45,196.00","351858105","CA3518581051","B29VF02","124.32","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","4,985,503.38","1.44","4,985,503.38","31,383.00","929160109","US9291601097","2931205","158.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IP","INTERNATIONAL PAPER","Materials","Equity","4,809,649.32","1.39","4,809,649.32","93,102.00","460146103","US4601461035","2465254","51.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","4,572,810.00","1.32","4,572,810.00","14,751.00","573284106","US5732841060","2572079","310.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","4,512,196.11","1.30","4,512,196.11","105,253.00","682680103","US6826801036","2130109","42.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
