Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEE","NEXTERA ENERGY INC","Utilities","Equity","164,506,848.31","5.45","164,506,848.31","1,893,713.00","65339F101","US65339F1012","2328915","86.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENB","ENBRIDGE INC","Energy","Equity","150,690,157.87","4.99","150,690,157.87","4,351,716.00","29250N105","CA29250N1050","2466149","34.63","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"AENA","AENA SME SA","Industrials","Equity","144,296,743.35","4.78","144,296,743.35","924,309.00","-","ES0105046009","BVRZ8L1","156.11","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrials","Equity","133,607,911.07","4.43","133,607,911.07","13,205,858.00","S62008826","AU000000TCL6","6200882","10.12","Australia","Asx - All Markets","USD","1.30","AUD","-"
"TRP","TC ENERGY CORP","Energy","Equity","105,384,296.30","3.49","105,384,296.30","2,394,961.00","87807B107","CA87807B1076","BJMY6G0","44.00","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"ATL","ATLANTIA","Industrials","Equity","102,086,881.13","3.38","102,086,881.13","6,330,249.00","S76671635","IT0003506190","7667163","16.13","Italy","Borsa Italiana","USD","0.82","EUR","-"
"IBE","IBERDROLA SA","Utilities","Equity","96,995,915.56","3.21","96,995,915.56","6,843,274.00","-","ES0144580Y14","B288C92","14.17","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"ENEL","ENEL","Utilities","Equity","93,722,566.22","3.10","93,722,566.22","9,269,958.00","S71445696","IT0003128367","7144569","10.11","Italy","Borsa Italiana","USD","0.82","EUR","-"
"GET","GETLINK","Industrials","Equity","84,731,705.33","2.81","84,731,705.33","5,465,807.00","-","FR0010533075","B292JQ9","15.50","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","82,158,361.89","2.72","82,158,361.89","884,279.00","26441C204","US26441C2044","B7VD3F2","92.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
