Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","272,866,941.12","8.56","272,866,941.12","1,153,869.00","594918104","US5949181045","2588173","236.48","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","271,934,271.37","8.53","271,934,271.37","2,243,497.00","037833100","US0378331005","2046251","121.21","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","268,206,292.34","8.41","268,206,292.34","87,878.00","023135106","US0231351067","2000019","3,052.03","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","169,236,903.36","5.31","169,236,903.36","597,968.00","30303M102","US30303M1027","B7TL820","283.02","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","134,221,376.43","4.21","134,221,376.43","66,291.00","02079K305","US02079K3059","BYVY8G0","2,024.73","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","129,336,811.45","4.06","129,336,811.45","63,539.00","02079K107","US02079K1079","BYY88Y7","2,035.55","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","90,031,721.55","2.82","90,031,721.55","421,635.00","92826C839","US92826C8394","B2PZN04","213.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","79,803,142.12","2.50","79,803,142.12","217,958.00","57636Q104","US57636Q1040","B121557","366.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","79,153,976.25","2.48","79,153,976.25","154,125.00","67066G104","US67066G1040","2379504","513.57","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","70,173,715.23","2.20","70,173,715.23","291,141.00","70450Y103","US70450Y1038","BYW36M8","241.03","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","65,519,802.79","2.06","65,519,802.79","1,010,017.00","458140100","US4581401001","2463247","64.87","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","55,935,796.95","1.75","55,935,796.95","110,099.00","64110L106","US64110L1061","2857817","508.05","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","55,894,418.95","1.75","55,894,418.95","119,155.00","00724F101","US00724F1012","2008154","469.09","United States","NASDAQ","USD","1.00","USD","-"
