Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"JNPR","JUNIPER NETWORKS INC","Information Technology","Equity","5,766,337.59","9.03","5,766,337.59","209,001.00","48203R104","US48203R1041","2431846","27.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FFIV","F5 NETWORKS INC","Information Technology","Equity","5,390,281.36","8.44","5,390,281.36","26,788.00","315616102","US3156161024","2427599","201.22","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","5,079,039.35","7.96","5,079,039.35","16,615.00","040413106","US0404131064","BN33VM5","305.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","4,734,702.80","7.42","4,734,702.80","103,604.00","17275R102","US17275R1023","2198163","45.70","United States","NASDAQ","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","4,583,205.72","7.18","4,583,205.72","26,718.00","620076307","US6200763075","B5BKPQ4","171.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACIA","ACACIA COMMUNICATIONS INC","Information Technology","Equity","3,951,470.80","6.19","3,951,470.80","34,565.00","00401C108","US00401C1080","BYXPCC5","114.32","United States","NASDAQ","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","3,229,587.90","5.06","3,229,587.90","70,708.00","92552V100","US92552V1008","2946243","45.67","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","2,979,885.32","4.67","2,979,885.32","52,732.00","171779309","US1717793095","B1FLZ21","56.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Information Technology","Equity","2,958,131.40","4.63","2,958,131.40","179,935.00","925550105","US9255501051","BYXB201","16.44","United States","NASDAQ","USD","1.00","USD","-"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","2,739,141.72","4.29","2,739,141.72","27,518.00","55024U109","US55024U1097","BYM9ZP2","99.54","United States","NASDAQ","USD","1.00","USD","-"
"COMM","COMMSCOPE HOLDING INC","Information Technology","Equity","2,641,510.30","4.14","2,641,510.30","184,721.00","20337X109","US20337X1090","BFRBX34","14.30","United States","NASDAQ","USD","1.00","USD","-"
"UI","UBIQUITI INC","Information Technology","Equity","2,612,908.62","4.09","2,612,908.62","8,638.00","90353W103","US90353W1036","BK9Z6V8","302.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTCT","NETSCOUT SYSTEMS INC","Information Technology","Equity","2,552,703.34","4.00","2,552,703.34","84,359.00","64115T104","US64115T1043","2447285","30.26","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","2,365,514.34","3.71","2,365,514.34","35,322.00","45867G101","US45867G1013","2465737","66.97","United States","NASDAQ","USD","1.00","USD","-"
"INFN","INFINERA CORP","Information Technology","Equity","2,273,418.55","3.56","2,273,418.55","221,365.00","45667G103","US45667G1031","B1YB5Y4","10.27","United States","NASDAQ","USD","1.00","USD","-"
"CALX","CALIX NETWORKS INC","Information Technology","Equity","2,192,759.20","3.43","2,192,759.20","63,743.00","13100M509","US13100M5094","B3S4L67","34.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTGR","NETGEAR INC","Information Technology","Equity","1,570,385.60","2.46","1,570,385.60","34,720.00","64111Q104","US64111Q1040","2688363","45.23","United States","NASDAQ","USD","1.00","USD","-"
"INSG","INSEEGO CORP","Information Technology","Equity","1,437,750.43","2.25","1,437,750.43","73,693.00","45782B104","US45782B1044","BYWSY52","19.51","United States","NASDAQ","USD","1.00","USD","-"
"PLT","PLANTRONICS INC","Information Technology","Equity","1,397,378.92","2.19","1,397,378.92","43,036.00","727493108","US7274931085","2692030","32.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Information Technology","Equity","1,238,075.60","1.94","1,238,075.60","57,854.00","278768106","US2787681061","B2NC471","21.40","United States","NASDAQ","USD","1.00","USD","-"
"RBBN","RIBBON COMMUNICATIONS INC","Information Technology","Equity","1,051,891.49","1.65","1,051,891.49","135,031.00","762544104","US7625441040","BD2BLX1","7.79","United States","NASDAQ","USD","1.00","USD","-"
"HLIT","HARMONIC INC","Information Technology","Equity","916,757.14","1.44","916,757.14","112,073.00","413160102","US4131601027","2510659","8.18","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","180,000.00","0.28","180,000.00","180,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","7,000.00","0.01","7,000.00","7,000.00","-","-","-","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"RTYH1","RUSSELL 2000 EMINI CME MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","105,215.00","1.00","-","-","-","2,104.30","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-11,290.86","-0.02","-11,290.86","-11,291.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
