Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOVN","NOVARTIS AG","Health Care","Equity","5,883,700.34","3.11","5,883,700.34","67,673.00","S71030654","CH0012005267","7103065","86.94","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"NESN","NESTLE SA","Consumer Staples","Equity","5,835,023.69","3.09","5,835,023.69","52,451.00","S71238703","CH0038863350","7123870","111.25","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","5,577,984.49","2.95","5,577,984.49","100,123.00","-","GB00B10RZP78","B10RZP7","55.71","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SAN","SANOFI SA","Health Care","Equity","5,504,045.93","2.91","5,504,045.93","56,227.00","S56717358","FR0000120578","5671735","97.89","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"TD","TORONTO DOMINION","Financials","Equity","5,473,907.08","2.90","5,473,907.08","84,075.00","891160509","CA8911605092","2897222","65.11","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"ENEL","ENEL","Utilities","Equity","5,425,820.19","2.87","5,425,820.19","545,809.00","S71445696","IT0003128367","7144569","9.94","Italy","Borsa Italiana","USD","0.85","EUR","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","5,417,954.14","2.87","5,417,954.14","58,764.00","780087102","CA7800871021","2754383","92.20","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"ALV","ALLIANZ","Financials","Equity","5,342,876.95","2.83","5,342,876.95","21,367.00","S52314853","DE0008404005","5231485","250.05","Germany","Xetra","USD","0.85","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","5,307,885.47","2.81","5,307,885.47","33,276.00","S57279739","DE0007236101","5727973","159.51","Germany","Xetra","USD","0.85","EUR","-"
"IBE","IBERDROLA SA","Utilities","Equity","4,715,879.61","2.49","4,715,879.61","364,738.00","-","ES0144580Y14","B288C92","12.93","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
