Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","513,029,746.02","8.58","513,029,746.02","2,306,581.00","594918104","US5949181045","2588173","222.42","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","509,257,192.40","8.51","509,257,192.40","1,018,270.00","00724F101","US00724F1012","2008154","500.12","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","484,731,980.81","8.10","484,731,980.81","2,178,277.00","79466L302","US79466L3024","2310525","222.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","334,097,456.48","5.59","334,097,456.48","5,164,592.00","68389X105","US68389X1054","2661568","64.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","292,389,516.86","4.89","292,389,516.86","531,202.00","81762P102","US81762P1021","B80NXX8","550.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","271,736,713.15","4.54","271,736,713.15","715,379.00","461202103","US4612021034","2459020","379.85","United States","NASDAQ","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","195,380,633.85","3.27","195,380,633.85","2,104,261.00","00507V109","US00507V1098","2575818","92.85","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","182,805,225.96","3.06","182,805,225.96","598,694.00","052769106","US0527691069","2065159","305.34","United States","NASDAQ","USD","1.00","USD","-"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Information Technology","Equity","182,505,974.04","3.05","182,505,974.04","541,047.00","98980L101","US98980L1017","BGSP7M9","337.32","United States","NASDAQ","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","124,558,888.65","2.08","124,558,888.65","2,487,695.00","83304A106","US83304A1060","BD8DJ71","50.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
