Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","16,268,147.74","4.65","16,268,147.74","71,878.00","22788C105","US22788C1053","BJJP138","226.33","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","14,639,689.40","4.18","14,639,689.40","39,508.00","697435105","US6974351057","B87ZMX0","370.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZS","ZSCALER INC","Information Technology","Equity","14,295,714.16","4.08","14,295,714.16","66,566.00","98980G102","US98980G1022","BZ00V34","214.76","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","14,120,647.24","4.03","14,120,647.24","93,956.00","34959E109","US34959E1091","B5B2106","150.29","United States","NASDAQ","USD","1.00","USD","-"
"PFPT","PROOFPOINT INC","Information Technology","Equity","14,045,094.00","4.01","14,045,094.00","101,592.00","743424103","US7434241037","B6VDQC3","138.25","United States","NASDAQ","USD","1.00","USD","-"
"JNPR","JUNIPER NETWORKS INC","Information Technology","Equity","13,715,147.42","3.92","13,715,147.42","546,638.00","48203R104","US48203R1041","2431846","25.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKTA","OKTA INC CLASS A","Information Technology","Equity","13,195,520.94","3.77","13,195,520.94","49,966.00","679295105","US6792951054","BDFZSP1","264.09","United States","NASDAQ","USD","1.00","USD","-"
"BAH","BOOZ ALLEN HAMILTON HOLDING CORP C","Information Technology","Equity","12,915,630.00","3.69","12,915,630.00","135,954.00","099502106","US0995021062","B5367T7","95.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHKP","CHECK POINT SOFTWARE TECHNOLOGIES","Information Technology","Equity","12,753,321.84","3.64","12,753,321.84","99,932.00","M22465104","IL0010824113","2181334","127.62","Israel","NASDAQ","USD","1.00","USD","Jun 28, 1996"
"DOCU","DOCUSIGN INC","Information Technology","Equity","12,629,675.08","3.61","12,629,675.08","49,468.00","256163106","US2561631068","BFYT7B7","255.31","United States","NASDAQ","USD","1.00","USD","-"
"AKAM","AKAMAI TECHNOLOGIES INC","Information Technology","Equity","12,616,863.20","3.60","12,616,863.20","115,370.00","00971T101","US00971T1016","2507457","109.36","United States","NASDAQ","USD","1.00","USD","-"
"BB","BLACKBERRY LTD","Information Technology","Equity","12,601,015.44","3.60","12,601,015.44","985,376.00","09228F103","CA09228F1036","BCBHZ31","12.79","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"CTXS","CITRIX SYSTEMS INC","Information Technology","Equity","12,214,595.40","3.49","12,214,595.40","92,130.00","177376100","US1773761002","2182553","132.58","United States","NASDAQ","USD","1.00","USD","-"
"4704","TREND MICRO INC","Information Technology","Equity","12,084,088.06","3.45","12,084,088.06","222,300.00","S61252862","JP3637300009","6125286","54.36","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"VMW","VMWARE CLASS A INC","Information Technology","Equity","11,363,981.52","3.25","11,363,981.52","85,656.00","928563402","US9285634021","B23SN61","132.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYBR","CYBER ARK SOFTWARE LTD","Information Technology","Equity","11,129,430.16","3.18","11,129,430.16","68,392.00","M2682V108","IL0011334468","BQT3XY6","162.73","Israel","NASDAQ","USD","1.00","USD","-"
"CACI","CACI INTERNATIONAL INC CLASS A","Information Technology","Equity","11,113,102.40","3.17","11,113,102.40","44,488.00","127190304","US1271903049","2159267","249.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL","Information Technology","Equity","10,412,716.86","2.97","10,412,716.86","103,086.00","808625107","US8086251076","BDTZZG7","101.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS INC","Information Technology","Equity","10,042,480.42","2.87","10,042,480.42","54,946.00","922280102","US9222801022","BJZ2ZR5","182.77","United States","NASDAQ","USD","1.00","USD","-"
"SAIL","SAILPOINT TECHNOLOGIES HOLDINGS IN","Information Technology","Equity","9,088,065.08","2.60","9,088,065.08","156,206.00","78781P105","US78781P1057","BD390V5","58.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVBG","EVERBRIDGE INC","Information Technology","Equity","8,880,085.34","2.54","8,880,085.34","61,586.00","29978A104","US29978A1043","BYY5ZB4","144.19","United States","NASDAQ","USD","1.00","USD","-"
"FEYE","FIREEYE INC","Information Technology","Equity","8,853,510.40","2.53","8,853,510.40","395,246.00","31816Q101","US31816Q1013","BD4R405","22.40","United States","NASDAQ","USD","1.00","USD","-"
"RPD","RAPID7 INC","Information Technology","Equity","8,046,186.00","2.30","8,046,186.00","88,810.00","753422104","US7534221046","BZ22CY6","90.60","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS INC","Information Technology","Equity","7,729,092.80","2.21","7,729,092.80","79,846.00","011642105","US0116421050","BYN7H26","96.80","United States","NASDAQ","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","7,427,311.44","2.12","7,427,311.44","59,428.00","74758T303","US74758T3032","B7XJTN8","124.98","United States","NASDAQ","USD","1.00","USD","-"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","7,366,872.04","2.10","7,366,872.04","734,000.00","S60052149","TW0002345006","6005214","10.04","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","-"
"TENB","TENABLE HOLDINGS INC","Information Technology","Equity","6,817,218.28","1.95","6,817,218.28","121,346.00","88025T102","US88025T1025","BF7J7N6","56.18","United States","NASDAQ","USD","1.00","USD","-"
"PRSP","PERSPECTA INC","Information Technology","Equity","6,469,444.96","1.85","6,469,444.96","244,684.00","715347100","US7153471005","BZ5YFM8","26.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Information Technology","Equity","4,788,090.72","1.37","4,788,090.72","48,306.00","564563104","US5645631046","2825308","99.12","United States","NASDAQ","USD","1.00","USD","-"
"MIME","MIMECAST LTD","Information Technology","Equity","4,706,443.62","1.34","4,706,443.62","105,078.00","-","GB00BYT5JK65","BYT5JK6","44.79","United States","NASDAQ","USD","1.00","USD","-"
"EGOV","NIC INC","Information Technology","Equity","3,414,387.60","0.98","3,414,387.60","116,532.00","62914B100","US62914B1008","2438126","29.30","United States","NASDAQ","USD","1.00","USD","-"
"MCRO","MICRO FOCUS INTERNATIONAL PLC","Information Technology","Equity","3,380,340.68","0.97","3,380,340.68","596,106.00","-","GB00BJ1F4N75","BJ1F4N7","5.67","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CALX","CALIX NETWORKS INC","Information Technology","Equity","3,351,495.18","0.96","3,351,495.18","96,114.00","13100M509","US13100M5094","B3S4L67","34.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCFE","MCAFEE CORP CLASS A","Information Technology","Equity","2,331,237.60","0.67","2,331,237.60","124,002.00","579063108","US5790631080","BMF7JD5","18.80","United States","NASDAQ","USD","1.00","USD","-"
"PING","PING IDENTITY HOLDING CORP","Information Technology","Equity","2,116,599.60","0.60","2,116,599.60","65,570.00","72341T103","US72341T1034","BKT6B49","32.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
