Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","86,884,615.20","23.94","86,884,615.20","517,540.00","478160104","US4781601046","2475833","167.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","60,659,273.04","16.72","60,659,273.04","1,673,821.00","717081103","US7170811035","2684703","36.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","20,818,855.86","5.74","20,818,855.86","100,298.00","532457108","US5324571083","2516152","207.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTLT","CATALENT INC","Health Care","Equity","18,806,667.60","5.18","18,806,667.60","171,672.00","148806102","US1488061029","BP96PQ4","109.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELAN","ELANCO ANIMAL HEALTH INC","Health Care","Equity","16,362,709.56","4.51","16,362,709.56","548,532.00","28414H103","US28414H1032","BF5L3T2","29.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Health Care","Equity","16,238,177.12","4.47","16,238,177.12","226,064.00","-","IE00BQPVQZ61","BQPVQZ6","71.83","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","16,133,200.58","4.45","16,133,200.58","260,129.00","110122108","US1101221083","2126335","62.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","15,292,946.40","4.21","15,292,946.40","99,856.00","98978V103","US98978V1035","B95WG16","153.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTRS","VIATRIS INC","Health Care","Equity","15,250,106.04","4.20","15,250,106.04","904,514.00","92556V106","US92556V1061","BMWS3X9","16.86","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","14,632,047.78","4.03","14,632,047.78","189,854.00","58933Y105","US58933Y1055","2778844","77.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Health Care","Equity","11,875,062.45","3.27","11,875,062.45","72,431.00","-","IE00B4Q5ZN47","B4Q5ZN4","163.95","United States","NASDAQ","USD","1.00","USD","-"
"PRGO","PERRIGO PLC","Health Care","Equity","7,827,143.06","2.16","7,827,143.06","177,446.00","-","IE00BGH1M568","BGH1M56","44.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FOLD","AMICUS THERAPEUTICS INC","Health Care","Equity","6,430,025.42","1.77","6,430,025.42","338,779.00","03152W109","US03152W1099","B19FQ48","18.98","United States","NASDAQ","USD","1.00","USD","-"
"RPRX","ROYALTY PHARMA PLC CLASS A","Health Care","Equity","5,584,963.41","1.54","5,584,963.41","111,011.00","-","GB00BMVP7Y09","BMVP7Y0","50.31","United States","NASDAQ","USD","1.00","USD","-"
"CORT","CORCEPT THERAPEUTICS INC","Health Care","Equity","3,913,367.12","1.08","3,913,367.12","135,928.00","218352102","US2183521028","B00SCY1","28.79","United States","NASDAQ","USD","1.00","USD","-"
"PCRX","PACIRA BIOSCIENCES INC","Health Care","Equity","3,890,342.40","1.07","3,890,342.40","56,480.00","695127100","US6951271005","B3X26D8","68.88","United States","NASDAQ","USD","1.00","USD","-"
"RETA","REATA PHARMACEUTICALS INC CLASS A","Health Care","Equity","3,673,845.00","1.01","3,673,845.00","34,335.00","75615P103","US75615P1030","BYY9FX8","107.00","United States","NASDAQ","USD","1.00","USD","-"
"CCXI","CHEMOCENTRYX INC","Health Care","Equity","3,652,409.16","1.01","3,652,409.16","64,782.00","16383L106","US16383L1061","B6ZL968","56.38","United States","NASDAQ","USD","1.00","USD","-"
"ITCI","INTRA CELLULAR THERAPIES INC","Health Care","Equity","2,933,642.95","0.81","2,933,642.95","91,705.00","46116X101","US46116X1019","BHCB0P4","31.99","United States","NASDAQ","USD","1.00","USD","-"
"ARVN","ARVINAS INC","Health Care","Equity","2,768,403.90","0.76","2,768,403.90","40,297.00","04335A105","US04335A1051","BDZ30Q0","68.70","United States","NASDAQ","USD","1.00","USD","-"
