Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","263,473,622.80","23.24","263,473,622.80","710,938.00","91324P102","US91324P1021","2917766","370.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","131,199,787.42","11.58","131,199,787.42","1,792,102.00","126650100","US1266501006","2577609","73.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA CORP","Health Care","Equity","115,659,810.36","10.20","115,659,810.36","480,834.00","125523100","US1255231003","BHJ0775","240.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","53,783,343.06","4.75","53,783,343.06","149,038.00","036752103","US0367521038","BSPHGL4","360.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","52,412,619.42","4.62","52,412,619.42","807,093.00","15135B101","US15135B1017","2807061","64.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","51,145,823.04","4.51","51,145,823.04","123,344.00","444859102","US4448591028","2445063","414.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","49,499,654.40","4.37","49,499,654.40","268,160.00","40412C101","US40412C1018","B4MGBG6","184.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LH","LABORATORY CORPORATION OF AMERICA","Health Care","Equity","44,075,422.52","3.89","44,075,422.52","176,006.00","50540R409","US50540R4092","2586122","250.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDOC","TELADOC HEALTH INC","Health Care","Equity","42,597,307.36","3.76","42,597,307.36","234,064.00","87918A105","US87918A1051","BYQRFY1","181.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DGX","QUEST DIAGNOSTICS INC","Health Care","Equity","30,537,854.96","2.69","30,537,854.96","240,664.00","74834L100","US74834L1008","2702791","126.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","24,269,137.90","2.14","24,269,137.90","103,229.00","60855R100","US60855R1005","2212706","235.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","20,706,200.38","1.83","20,706,200.38","153,938.00","40131M109","US40131M1099","BFXC911","134.51","United States","NASDAQ","USD","1.00","USD","-"
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Health Care","Equity","18,736,053.68","1.65","18,736,053.68","140,366.00","913903100","US9139031002","2923785","133.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMED","AMEDISYS INC","Health Care","Equity","16,237,728.18","1.43","16,237,728.18","59,238.00","023436108","US0234361089","2024332","274.11","United States","NASDAQ","USD","1.00","USD","-"
"EHC","ENCOMPASS HEALTH CORP","Health Care","Equity","14,712,831.90","1.30","14,712,831.90","179,010.00","29261A100","US29261A1007","BYX2YJ7","82.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVA","DAVITA INC","Health Care","Equity","14,196,578.24","1.25","14,196,578.24","130,208.00","23918K108","US23918K1088","2898087","109.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHE","CHEMED CORP","Health Care","Equity","13,329,471.26","1.18","13,329,471.26","28,913.00","16359R103","US16359R1032","2190084","461.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHCG","LHC GROUP INC","Health Care","Equity","11,082,207.25","0.98","11,082,207.25","56,975.00","50187A107","US50187A1079","B06DT50","194.51","United States","NASDAQ","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","10,209,840.12","0.90","10,209,840.12","149,529.00","42226A107","US42226A1079","BP8XZL1","68.28","United States","NASDAQ","USD","1.00","USD","-"
"NEO","NEOGENOMICS INC","Health Care","Equity","10,059,119.10","0.89","10,059,119.10","210,883.00","64049M209","US64049M2098","2598246","47.70","United States","NASDAQ","USD","1.00","USD","-"
"THC","TENET HEALTHCARE CORP","Health Care","Equity","9,581,095.21","0.85","9,581,095.21","191,507.00","88033G407","US88033G4073","B8DMK08","50.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INSP","INSPIRE MEDICAL SYSTEMS INC","Health Care","Equity","9,461,708.20","0.83","9,461,708.20","48,923.00","457730109","US4577301090","BDT5KT5","193.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHNG","CHANGE HEALTHCARE INC","Health Care","Equity","9,208,659.70","0.81","9,208,659.70","412,205.00","15912K100","US15912K1007","BK5CVS5","22.34","United States","NASDAQ","USD","1.00","USD","-"
"ACHC","ACADIA HEALTHCARE COMPANY INC","Health Care","Equity","8,834,506.38","0.78","8,834,506.38","160,569.00","00404A109","US00404A1097","B65VZ37","55.02","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","8,374,199.44","0.74","8,374,199.44","92,717.00","29358P101","US29358P1012","B1YWPP8","90.32","United States","NASDAQ","USD","1.00","USD","-"
"SEM","SELECT MEDICAL HOLDINGS CORP","Health Care","Equity","6,366,901.44","0.56","6,366,901.44","194,528.00","81619Q105","US81619Q1058","B4MF0Q6","32.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HMSY","HMS HOLDINGS CORP","Health Care","Equity","5,890,325.10","0.52","5,890,325.10","159,846.00","40425J101","US40425J1016","2418043","36.85","United States","NASDAQ","USD","1.00","USD","-"
"ONEM","1LIFE HEALTHCARE INC","Health Care","Equity","5,356,180.00","0.47","5,356,180.00","138,224.00","68269G107","US68269G1076","BKMG1N5","38.75","United States","NASDAQ","USD","1.00","USD","-"
"RCM","R1 RCM INC","Health Care","Equity","5,272,911.76","0.47","5,272,911.76","221,272.00","749397105","US7493971052","BD8PMK1","23.83","United States","NASDAQ","USD","1.00","USD","-"
"SDGR","SCHRODINGER INC","Health Care","Equity","4,412,072.42","0.39","4,412,072.42","65,842.00","80810D103","US80810D1037","BKV28S8","67.01","United States","NASDAQ","USD","1.00","USD","-"
"PINC","PREMIER INC CLASS A","Health Care","Equity","4,286,800.26","0.38","4,286,800.26","127,926.00","74051N102","US74051N1028","BDZDRC5","33.51","United States","NASDAQ","USD","1.00","USD","-"
"MD","MEDNAX INC","Health Care","Equity","4,123,951.97","0.36","4,123,951.97","154,513.00","58502B106","US58502B1061","2677640","26.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGLN","MAGELLAN HEALTH INC","Health Care","Equity","3,849,861.60","0.34","3,849,861.60","41,131.00","559079207","US5590792074","2307787","93.60","United States","NASDAQ","USD","1.00","USD","-"
"INOV","INOVALON HOLDINGS INC CLASS A","Health Care","Equity","3,763,280.52","0.33","3,763,280.52","138,969.00","45781D101","US45781D1019","BVV9XH0","27.08","United States","NASDAQ","USD","1.00","USD","-"
"MODV","MODIVCARE INC","Health Care","Equity","3,301,742.92","0.29","3,301,742.92","22,291.00","60783X104","US60783X1046","BNDL420","148.12","United States","NASDAQ","USD","1.00","USD","-"
"FLGT","FULGENT GENETICS INC","Health Care","Equity","3,187,296.66","0.28","3,187,296.66","31,803.00","359664109","US3596641098","BYQBFQ5","100.22","United States","NASDAQ","USD","1.00","USD","-"
"PGNY","PROGYNY INC","Health Care","Equity","3,126,012.75","0.28","3,126,012.75","66,159.00","74340E103","US74340E1038","BKWD3M9","47.25","United States","NASDAQ","USD","1.00","USD","-"
"PHR","PHREESIA INC","Health Care","Equity","2,877,197.10","0.25","2,877,197.10","54,338.00","71944F106","US71944F1066","BKF9DQ8","52.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
