Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TRMB","TRIMBLE INC","Information Technology","Equity","479,542,190.40","0.85","479,542,190.40","6,561,880.00","896239100","US8962391004","2903958","73.08","United States","NASDAQ","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","472,878,136.65","0.84","472,878,136.65","1,343,213.00","83417M104","US83417M1045","BWC52Q6","352.05","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","436,369,602.18","0.77","436,369,602.18","1,111,883.00","609839105","US6098391054","B01Z7J1","392.46","United States","NASDAQ","USD","1.00","USD","-"
"GNRC","GENERAC HOLDINGS INC","Industrials","Equity","429,864,382.40","0.76","429,864,382.40","1,648,253.00","368736104","US3687361044","B6197Q2","260.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CZR","CAESARS ENTERTAINMENT INC","Consumer Discretionary","Equity","427,581,652.62","0.76","427,581,652.62","5,462,906.00","12769G100","US12769G1004","BMWWGB0","78.27","United States","NASDAQ","USD","1.00","USD","-"
"CGNX","COGNEX CORP","Information Technology","Equity","392,591,226.60","0.70","392,591,226.60","4,580,460.00","192422103","US1924221039","2208288","85.71","United States","NASDAQ","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","391,373,711.82","0.69","391,373,711.82","4,093,011.00","86771W105","US86771W1053","BYXB1Y8","95.62","United States","NASDAQ","USD","1.00","USD","-"
"PENN","PENN NATIONAL GAMING INC","Consumer Discretionary","Equity","388,500,513.24","0.69","388,500,513.24","3,870,298.00","707569109","US7075691094","2682105","100.38","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","378,304,266.06","0.67","378,304,266.06","763,218.00","303250104","US3032501047","2330299","495.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","376,090,400.40","0.67","376,090,400.40","1,555,378.00","60855R100","US60855R1005","2212706","241.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MASI","MASIMO CORP","Health Care","Equity","371,877,638.88","0.66","371,877,638.88","1,328,514.00","574795100","US5747951003","B1YWR63","279.92","United States","NASDAQ","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","360,506,630.58","0.64","360,506,630.58","1,304,718.00","159864107","US1598641074","2604336","276.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","355,701,344.44","0.63","355,701,344.44","2,753,959.00","69370C100","US69370C1009","B95N910","129.16","United States","NASDAQ","USD","1.00","USD","-"
"CDAY","CERIDIAN HCM HOLDING INC","Information Technology","Equity","348,520,678.88","0.62","348,520,678.88","3,411,518.00","15677J108","US15677J1088","BFX1V56","102.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CREE","CREE INC","Information Technology","Equity","339,682,394.92","0.60","339,682,394.92","2,894,116.00","225447101","US2254471012","2232351","117.37","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","339,065,852.42","0.60","339,065,852.42","1,012,681.00","09073M104","US09073M1045","BSHZ3Q0","334.82","United States","NASDAQ","USD","1.00","USD","-"
"GGG","GRACO INC","Industrials","Equity","331,120,827.95","0.59","331,120,827.95","4,394,437.00","384109104","US3841091040","2380443","75.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Equity","331,085,796.00","0.59","331,085,796.00","996,496.00","303075105","US3030751057","2329770","332.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Real Estate","Equity","310,543,256.85","0.55","310,543,256.85","14,894,161.00","58463J304","US58463J3041","B0JL5L9","20.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPM","RPM INTERNATIONAL INC","Materials","Equity","300,699,221.67","0.53","300,699,221.67","3,408,129.00","749685103","US7496851038","2756174","88.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XPO","XPO LOGISTICS INC","Industrials","Equity","298,112,754.82","0.53","298,112,754.82","2,397,754.00","983793100","US9837931008","B6Z1355","124.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CABO","CABLE ONE INC","Communication","Equity","293,037,399.45","0.52","293,037,399.45","142,227.00","12685J105","US12685J1051","BZ07DS4","2,060.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRO","BROWN & BROWN INC","Financials","Equity","290,524,038.12","0.52","290,524,038.12","6,183,994.00","115236101","US1152361010","2692687","46.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
