Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","134,324,692.00","1.67","134,324,692.00","377,200.00","83417M104","US83417M1045","BWC52Q6","356.11","United States","NASDAQ","USD","1.00","USD","-"
"TRMB","TRIMBLE INC","Information Technology","Equity","133,265,365.76","1.66","133,265,365.76","1,842,718.00","896239100","US8962391004","2903958","72.32","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","120,967,222.86","1.51","120,967,222.86","312,246.00","609839105","US6098391054","B01Z7J1","387.41","United States","NASDAQ","USD","1.00","USD","-"
"GNRC","GENERAC HOLDINGS INC","Industrials","Equity","116,871,897.50","1.45","116,871,897.50","462,859.00","368736104","US3687361044","B6197Q2","252.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","110,918,065.00","1.38","110,918,065.00","1,149,410.00","86771W105","US86771W1053","BYXB1Y8","96.50","United States","NASDAQ","USD","1.00","USD","-"
"CGNX","COGNEX CORP","Information Technology","Equity","110,351,076.47","1.37","110,351,076.47","1,286,293.00","192422103","US1924221039","2208288","85.79","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","107,240,157.36","1.34","107,240,157.36","214,326.00","303250104","US3032501047","2330299","500.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MASI","MASIMO CORP","Health Care","Equity","105,859,463.75","1.32","105,859,463.75","373,073.00","574795100","US5747951003","B1YWR63","283.75","United States","NASDAQ","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","99,294,540.87","1.24","99,294,540.87","366,387.00","159864107","US1598641074","2604336","271.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","98,945,725.44","1.23","98,945,725.44","773,376.00","69370C100","US69370C1009","B95N910","127.94","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","93,711,863.28","1.17","93,711,863.28","284,389.00","09073M104","US09073M1045","BSHZ3Q0","329.52","United States","NASDAQ","USD","1.00","USD","-"
