Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CPRI","CAPRI HOLDINGS LTD","Equity","Consumer Discretionary","Equity","416,619,695.88","0.75","416,619,695.88","9,664,108.00","-","VGG1890L1076","BJ1N1M9","43.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","408,350,000.00","0.74","408,350,000.00","408,350,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"NEO","NEOGENOMICS INC","Equity","Health Care","Equity","374,580,268.68","0.68","374,580,268.68","7,122,652.00","64049M209","US64049M2098","2598246","52.59","United States","NASDAQ","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Equity","Materials","Equity","352,159,555.00","0.63","352,159,555.00","25,611,604.00","185899101","US1858991011","BYVZ186","13.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKS","BROOKS AUTOMATION INC","Equity","Information Technology","Equity","340,355,260.76","0.61","340,355,260.76","4,736,366.00","114340102","US1143401024","2145460","71.86","United States","NASDAQ","USD","1.00","USD","-"
"YETI","YETI HOLDINGS INC","Equity","Consumer Discretionary","Equity","330,390,129.29","0.60","330,390,129.29","4,804,277.00","98585X104","US98585X1046","BGR7KH2","68.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMCL","OMNICELL INC","Equity","Health Care","Equity","317,267,652.10","0.57","317,267,652.10","2,714,009.00","68213N109","US68213N1090","2789523","116.90","United States","NASDAQ","USD","1.00","USD","-"
"SAIA","SAIA INC","Equity","Industrials","Equity","305,933,877.29","0.55","305,933,877.29","1,677,913.00","78709Y105","US78709Y1055","2982399","182.33","United States","NASDAQ","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Equity","Information Technology","Equity","303,869,170.38","0.55","303,869,170.38","3,840,126.00","739276103","US7392761034","2133045","79.13","United States","NASDAQ","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Equity","Industrials","Equity","294,576,662.02","0.53","294,576,662.02","3,312,083.00","30214U102","US30214U1025","2330318","88.94","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS INC","Equity","Information Technology","Equity","287,361,314.37","0.52","287,361,314.37","2,867,019.00","011642105","US0116421050","BYN7H26","100.23","United States","NASDAQ","USD","1.00","USD","-"
"IRDM","IRIDIUM COMMUNICATIONS INC","Equity","Communication","Equity","286,185,067.35","0.52","286,185,067.35","7,525,245.00","46269C102","US46269C1027","B2QH310","38.03","United States","NASDAQ","USD","1.00","USD","-"
"PRLB","PROTO LABS INC","Equity","Industrials","Equity","271,174,926.00","0.49","271,174,926.00","1,716,297.00","743713109","US7437131094","B6T6J81","158.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CROX","CROCS INC","Equity","Consumer Discretionary","Equity","265,557,489.41","0.48","265,557,489.41","4,329,977.00","227046109","US2270461096","B0T7Z62","61.33","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Equity","Industrials","Equity","261,711,500.96","0.47","261,711,500.96","2,264,528.00","16115Q308","US16115Q3083","B19HNF4","115.57","United States","NASDAQ","USD","1.00","USD","-"
"IIPR","INNOVATIVE INDUSTRIAL PROPERTIES I","Equity","Real Estate","Equity","256,104,919.56","0.46","256,104,919.56","1,422,489.00","45781V101","US45781V1017","BD0NN55","180.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRUP","TRUPANION INC","Equity","Financials","Equity","247,578,040.32","0.45","247,578,040.32","2,097,408.00","898202106","US8982021060","BP3YM85","118.04","United States","NASDAQ","USD","1.00","USD","-"
"STMP","STAMPS.COM INC","Equity","Consumer Discretionary","Equity","247,551,958.50","0.45","247,551,958.50","1,169,850.00","852857200","US8528572006","B013D75","211.61","United States","NASDAQ","USD","1.00","USD","-"
"LPSN","LIVEPERSON INC","Equity","Information Technology","Equity","245,726,676.70","0.44","245,726,676.70","3,990,365.00","538146101","US5381461012","2577052","61.58","United States","NASDAQ","USD","1.00","USD","-"
"SPSC","SPS COMMERCE INC","Equity","Information Technology","Equity","245,242,918.35","0.44","245,242,918.35","2,265,105.00","78463M107","US78463M1071","B57VWJ3","108.27","United States","NASDAQ","USD","1.00","USD","-"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","Industrials","Equity","244,216,754.81","0.44","244,216,754.81","4,610,473.00","007800105","US0078001056","BWD7PX9","52.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITRI","ITRON INC","Equity","Information Technology","Equity","242,225,822.54","0.44","242,225,822.54","2,591,482.00","465741106","US4657411066","2471949","93.47","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Equity","Health Care","Equity","237,621,327.45","0.43","237,621,327.45","3,270,881.00","29358P101","US29358P1012","B1YWPP8","72.65","United States","NASDAQ","USD","1.00","USD","-"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","Industrials","Equity","235,275,700.47","0.42","235,275,700.47","2,035,433.00","477839104","US4778391049","B3BRJZ8","115.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Equity","Materials","Equity","234,346,376.52","0.42","234,346,376.52","2,075,331.00","057665200","US0576652004","2072074","112.92","United States","NASDAQ","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","Information Technology","Equity","233,860,467.00","0.42","233,860,467.00","2,455,228.00","007973100","US0079731008","2049175","95.25","United States","NASDAQ","USD","1.00","USD","-"
"EGHT","8X8 INC","Equity","Information Technology","Equity","232,103,792.92","0.42","232,103,792.92","6,820,564.00","282914100","US2829141009","2037170","34.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDFC","WD-40","Equity","Consumer Staples","Equity","231,611,505.99","0.42","231,611,505.99","876,619.00","929236107","US9292361071","2944742","264.21","United States","NASDAQ","USD","1.00","USD","-"
"ADC","AGREE REALTY REIT CORP","Equity","Real Estate","Equity","230,743,441.60","0.42","230,743,441.60","3,552,085.00","008492100","US0084921008","2062161","64.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"M","MACYS INC","Swap","Consumer Discretionary","Equity","228,853,974.56","0.41","228,853,974.56","19,883,056.00","55616P104","US55616P1049","2345022","11.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Equity","Industrials","Equity","220,352,855.02","0.40","220,352,855.02","3,947,561.00","90278Q108","US90278Q1085","BMQ60Q1","55.82","United States","NASDAQ","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Equity","Information Technology","Equity","216,679,373.25","0.39","216,679,373.25","14,690,127.00","925550105","US9255501051","BYXB201","14.75","United States","NASDAQ","USD","1.00","USD","-"
"CBU","COMMUNITY BANK SYSTEM INC","Swap","Financials","Equity","213,670,473.12","0.39","213,670,473.12","3,430,804.00","203607106","US2036071064","2222062","62.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LCII","LCI INDUSTRIES","Equity","Consumer Discretionary","Equity","212,903,397.72","0.38","212,903,397.72","1,613,638.00","50189K103","US50189K1034","BYQ44Y5","131.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Equity","Industrials","Equity","211,610,496.24","0.38","211,610,496.24","1,759,901.00","942749102","US9427491025","2943620","120.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GKOS","GLAUKOS CORP","Equity","Health Care","Equity","209,339,953.70","0.38","209,339,953.70","2,884,265.00","377322102","US3773221029","BYMWL19","72.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KWR","QUAKER CHEMICAL CORP","Equity","Materials","Equity","209,247,323.76","0.38","209,247,323.76","846,504.00","747316107","US7473161070","2715186","247.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Equity","Information Technology","Equity","208,806,449.40","0.38","208,806,449.40","4,964,490.00","346375108","US3463751087","2891826","42.06","United States","NASDAQ","USD","1.00","USD","-"
"HMSY","HMS HOLDINGS CORP","Equity","Health Care","Equity","208,422,901.74","0.38","208,422,901.74","5,680,646.00","40425J101","US40425J1016","2418043","36.69","United States","NASDAQ","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Equity","Consumer Discretionary","Equity","206,901,201.50","0.37","206,901,201.50","2,412,842.00","59001A102","US59001A1025","2601326","85.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMN","AMN HEALTHCARE INC","Equity","Health Care","Equity","206,155,573.14","0.37","206,155,573.14","3,017,058.00","001744101","US0017441017","2813552","68.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNMD","CONMED CORP","Equity","Health Care","Equity","205,665,758.43","0.37","205,665,758.43","1,834,827.00","207410101","US2074101013","2216010","112.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNF","UNIFIRST CORP","Equity","Industrials","Equity","203,325,759.21","0.37","203,325,759.21","977,011.00","904708104","US9047081040","2466428","208.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKU","BANKUNITED INC","Swap","Financials","Equity","201,038,819.16","0.36","201,038,819.16","5,919,871.00","06652K103","US06652K1034","B3NNTZ4","33.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VG","VONAGE HOLDINGS CORP","Swap","Communication","Equity","199,535,184.40","0.36","199,535,184.40","14,957,660.00","92886T201","US92886T2015","B15JLG1","13.34","United States","NASDAQ","USD","1.00","USD","-"
"SHAK","SHAKE SHACK INC CLASS A","Equity","Consumer Discretionary","Equity","196,501,286.80","0.35","196,501,286.80","2,286,760.00","819047101","US8190471016","BV0LCR0","85.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHB","FIRST HAWAIIAN INC","Equity","Financials","Equity","193,224,348.45","0.35","193,224,348.45","8,390,115.00","32051X108","US32051X1081","BDC6HG1","23.03","United States","NASDAQ","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Equity","Industrials","Equity","192,063,258.13","0.35","192,063,258.13","9,012,823.00","76118Y104","US76118Y1047","BFD1TJ6","21.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Equity","Industrials","Equity","191,782,665.18","0.35","191,782,665.18","2,486,486.00","03820C105","US03820C1053","2086309","77.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVET","COVETRUS INC","Equity","Health Care","Equity","190,669,552.29","0.34","190,669,552.29","6,357,771.00","22304C100","US22304C1009","BHZSB82","29.99","United States","NASDAQ","USD","1.00","USD","-"
"LXP","LEXINGTON REALTY TRUST REIT","Equity","Real Estate","Equity","188,193,748.56","0.34","188,193,748.56","17,766,698.00","529043101","US5290431015","2139151","10.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEM","SELECT MEDICAL HOLDINGS CORP","Equity","Health Care","Equity","188,049,085.28","0.34","188,049,085.28","6,916,112.00","81619Q105","US81619Q1058","B4MF0Q6","27.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HI","HILLENBRAND INC","Equity","Industrials","Equity","186,943,649.49","0.34","186,943,649.49","4,797,117.00","431571108","US4315711089","B2QGDP1","38.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWR","AMERICAN STATES WATER","Equity","Utilities","Equity","185,411,200.80","0.33","185,411,200.80","2,366,448.00","029899101","US0298991011","2267171","78.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPBI","PACFIC PREMIER BANCORP INC","Swap","Financials","Equity","185,401,650.40","0.33","185,401,650.40","6,054,920.00","69478X105","US69478X1054","2767217","30.62","United States","NASDAQ","USD","1.00","USD","-"
"EXLS","EXLSERVICE HOLDINGS INC","Equity","Information Technology","Equity","184,707,015.56","0.33","184,707,015.56","2,168,941.00","302081104","US3020811044","B07LST0","85.16","United States","NASDAQ","USD","1.00","USD","-"
