Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","233,150,000.00","2.65","233,150,000.00","233,150,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"GME","GAMESTOP CORP CLASS A","Equity","Consumer Discretionary","Equity","91,470,678.18","1.04","91,470,678.18","470,383.00","36467W109","US36467W1099","B0LLFT5","194.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"M","MACYS INC","Equity","Consumer Discretionary","Equity","75,912,273.56","0.86","75,912,273.56","4,581,308.00","55616P104","US55616P1049","2345022","16.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Equity","Industrials","Equity","67,089,500.40","0.76","67,089,500.40","2,321,436.00","76118Y104","US76118Y1047","BFD1TJ6","28.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPBI","PACFIC PREMIER BANCORP INC","Equity","Financials","Equity","64,652,038.68","0.73","64,652,038.68","1,465,036.00","69478X105","US69478X1054","2767217","44.13","United States","NASDAQ","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC.","Equity","Consumer Discretionary","Equity","63,031,624.67","0.72","63,031,624.67","313,481.00","043436104","US0434361046","2855855","201.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKU","BANKUNITED INC","Equity","Financials","Equity","62,361,507.78","0.71","62,361,507.78","1,402,643.00","06652K103","US06652K1034","B3NNTZ4","44.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHB","FIRST HAWAIIAN INC","Equity","Financials","Equity","59,366,237.76","0.67","59,366,237.76","2,123,256.00","32051X108","US32051X1081","BDC6HG1","27.96","United States","NASDAQ","USD","1.00","USD","-"
"BBBY","BED BATH AND BEYOND INC","Equity","Consumer Discretionary","Equity","58,032,689.04","0.66","58,032,689.04","1,965,877.00","075896100","US0758961009","2085878","29.52","United States","NASDAQ","USD","1.00","USD","-"
"ABM","ABM INDUSTRIES INC","Equity","Industrials","Equity","55,459,765.54","0.63","55,459,765.54","1,087,873.00","000957100","US0009571003","2024901","50.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PDCE","PDC ENERGY INC","Equity","Energy","Equity","55,376,617.66","0.63","55,376,617.66","1,618,253.00","69327R101","US69327R1014","B89M5F2","34.22","United States","NASDAQ","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Equity","Financials","Equity","54,945,490.16","0.62","54,945,490.16","1,032,034.00","03076K108","US03076K1088","2038849","53.24","United States","NASDAQ","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Equity","Information Technology","Equity","53,998,294.70","0.61","53,998,294.70","569,302.00","45765U103","US45765U1034","2475060","94.85","United States","NASDAQ","USD","1.00","USD","-"
"AVA","AVISTA CORP","Equity","Utilities","Equity","53,032,503.72","0.60","53,032,503.72","1,123,332.00","05379B107","US05379B1070","2942605","47.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIG","SIGNET JEWELERS LTD","Equity","Consumer Discretionary","Equity","49,750,219.35","0.57","49,750,219.35","848,835.00","G81276100","BMG812761002","B3CTNK6","58.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Equity","Financials","Equity","49,648,058.00","0.56","49,648,058.00","2,517,650.00","680033107","US6800331075","2658441","19.72","United States","NASDAQ","USD","1.00","USD","-"
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Equity","Financials","Equity","48,676,514.64","0.55","48,676,514.64","1,607,016.00","828730200","US8287302009","2810133","30.29","United States","NASDAQ","USD","1.00","USD","-"
"HP","HELMERICH & PAYNE INC","Equity","Energy","Equity","48,015,485.10","0.55","48,015,485.10","1,749,198.00","423452101","US4234521015","2420101","27.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","Financials","Equity","46,548,516.00","0.53","46,548,516.00","1,057,200.00","197236102","US1972361026","2176608","44.03","United States","NASDAQ","USD","1.00","USD","-"
"CTB","COOPER TIRE AND RUBBER","Equity","Consumer Discretionary","Equity","45,979,386.53","0.52","45,979,386.53","817,993.00","216831107","US2168311072","2222608","56.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SKYW","SKYWEST INC","Equity","Industrials","Equity","45,396,454.80","0.52","45,396,454.80","816,483.00","830879102","US8308791024","2814210","55.60","United States","NASDAQ","USD","1.00","USD","-"
"UCBI","UNITED COMMUNITY BANKS INC","Equity","Financials","Equity","45,166,484.79","0.51","45,166,484.79","1,313,361.00","90984P303","US90984P3038","2862156","34.39","United States","NASDAQ","USD","1.00","USD","-"
"ATI","ALLEGHENY TECHNOLOGIES INC","Equity","Materials","Equity","43,791,571.32","0.50","43,791,571.32","2,056,908.00","01741R102","US01741R1023","2526117","21.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
