Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","92,430,000.00","1.68","92,430,000.00","92,430,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Equity","Materials","Equity","76,977,037.20","1.40","76,977,037.20","4,902,996.00","185899101","US1858991011","BYVZ186","15.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEO","NEOGENOMICS INC","Equity","Health Care","Equity","74,776,588.44","1.36","74,776,588.44","1,363,541.00","64049M209","US64049M2098","2598246","54.84","United States","NASDAQ","USD","1.00","USD","-"
"YETI","YETI HOLDINGS INC","Equity","Consumer Discretionary","Equity","64,030,279.82","1.16","64,030,279.82","919,711.00","98585X104","US98585X1046","BGR7KH2","69.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMCL","OMNICELL INC","Equity","Health Care","Equity","61,853,737.05","1.12","61,853,737.05","519,561.00","68213N109","US68213N1090","2789523","119.05","United States","NASDAQ","USD","1.00","USD","-"
"BRKS","BROOKS AUTOMATION INC","Equity","Information Technology","Equity","61,156,780.10","1.11","61,156,780.10","906,698.00","114340102","US1143401024","2145460","67.45","United States","NASDAQ","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Equity","Information Technology","Equity","60,928,983.36","1.11","60,928,983.36","735,147.00","739276103","US7392761034","2133045","82.88","United States","NASDAQ","USD","1.00","USD","-"
"SAIA","SAIA INC","Equity","Industrials","Equity","58,092,774.58","1.05","58,092,774.58","321,203.00","78709Y105","US78709Y1055","2982399","180.86","United States","NASDAQ","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Equity","Industrials","Equity","56,323,372.14","1.02","56,323,372.14","634,058.00","30214U102","US30214U1025","2330318","88.83","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS INC","Equity","Information Technology","Equity","56,104,571.42","1.02","56,104,571.42","548,861.00","011642105","US0116421050","BYN7H26","102.22","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Equity","Industrials","Equity","53,387,125.95","0.97","53,387,125.95","433,513.00","16115Q308","US16115Q3083","B19HNF4","123.15","United States","NASDAQ","USD","1.00","USD","-"
"CROX","CROCS INC","Equity","Consumer Discretionary","Equity","53,224,696.36","0.97","53,224,696.36","828,916.00","227046109","US2270461096","B0T7Z62","64.21","United States","NASDAQ","USD","1.00","USD","-"
"PRLB","PROTO LABS INC","Equity","Industrials","Equity","51,054,627.62","0.93","51,054,627.62","328,558.00","743713109","US7437131094","B6T6J81","155.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Equity","Health Care","Equity","50,476,127.97","0.92","50,476,127.97","626,177.00","29358P101","US29358P1012","B1YWPP8","80.61","United States","NASDAQ","USD","1.00","USD","-"
"IIPR","INNOVATIVE INDUSTRIAL PROPERTIES I","Equity","Real Estate","Equity","49,023,609.24","0.89","49,023,609.24","272,308.00","45781V101","US45781V1017","BD0NN55","180.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPSC","SPS COMMERCE INC","Equity","Information Technology","Equity","48,435,354.00","0.88","48,435,354.00","433,620.00","78463M107","US78463M1071","B57VWJ3","111.70","United States","NASDAQ","USD","1.00","USD","-"
"LPSN","LIVEPERSON INC","Equity","Information Technology","Equity","47,988,512.10","0.87","47,988,512.10","763,905.00","538146101","US5381461012","2577052","62.82","United States","NASDAQ","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","Information Technology","Equity","47,875,829.76","0.87","47,875,829.76","470,016.00","007973100","US0079731008","2049175","101.86","United States","NASDAQ","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Equity","Materials","Equity","46,686,017.94","0.85","46,686,017.94","397,294.00","057665200","US0576652004","2072074","117.51","United States","NASDAQ","USD","1.00","USD","-"
"TRUP","TRUPANION INC","Equity","Financials","Equity","46,079,029.44","0.84","46,079,029.44","395,664.00","898202106","US8982021060","BP3YM85","116.46","United States","NASDAQ","USD","1.00","USD","-"
"STMP","STAMPS.COM INC","Equity","Consumer Discretionary","Equity","45,665,243.30","0.83","45,665,243.30","223,970.00","852857200","US8528572006","B013D75","203.89","United States","NASDAQ","USD","1.00","USD","-"
"WDFC","WD-40","Equity","Consumer Staples","Equity","43,718,933.50","0.79","43,718,933.50","167,827.00","929236107","US9292361071","2944742","260.50","United States","NASDAQ","USD","1.00","USD","-"
"EGHT","8X8 INC","Equity","Information Technology","Equity","43,349,074.00","0.79","43,349,074.00","1,305,695.00","282914100","US2829141009","2037170","33.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Equity","Information Technology","Equity","42,324,076.55","0.77","42,324,076.55","2,812,231.00","925550105","US9255501051","BYXB201","15.05","United States","NASDAQ","USD","1.00","USD","-"
"KWR","QUAKER CHEMICAL CORP","Equity","Materials","Equity","41,533,761.92","0.75","41,533,761.92","162,064.00","747316107","US7473161070","2715186","256.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Equity","Information Technology","Equity","41,046,825.82","0.75","41,046,825.82","950,378.00","346375108","US3463751087","2891826","43.19","United States","NASDAQ","USD","1.00","USD","-"
"LCII","LCI INDUSTRIES","Equity","Consumer Discretionary","Equity","40,662,806.16","0.74","40,662,806.16","308,894.00","50189K103","US50189K1034","BYQ44Y5","131.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HMSY","HMS HOLDINGS CORP","Equity","Health Care","Equity","39,856,728.40","0.72","39,856,728.40","1,087,496.00","40425J101","US40425J1016","2418043","36.65","United States","NASDAQ","USD","1.00","USD","-"
"DIOD","DIODES INC","Equity","Information Technology","Equity","38,318,747.62","0.70","38,318,747.62","517,681.00","254543101","US2545431015","2270500","74.02","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Equity","Information Technology","Equity","38,175,073.69","0.69","38,175,073.69","89,063.00","594972408","US5949724083","2974329","428.63","United States","NASDAQ","USD","1.00","USD","-"
