Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","184,009,761.51","10.46","184,009,761.51","780,463.00","594918104","US5949181045","2588173","235.77","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","137,042,991.36","7.79","137,042,991.36","44,292.00","023135106","US0231351067","2000019","3,094.08","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","118,816,037.90","6.76","118,816,037.90","972,706.00","037833100","US0378331005","2046251","122.15","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","73,312,640.42","4.17","73,312,640.42","248,914.00","30303M102","US30303M1027","B7TL820","294.53","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","53,074,385.73","3.02","53,074,385.73","79,461.00","88160R101","US88160R1014","B616C79","667.93","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","43,560,422.40","2.48","43,560,422.40","21,120.00","02079K305","US02079K3059","BYVY8G0","2,062.52","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","41,875,277.09","2.38","41,875,277.09","20,243.00","02079K107","US02079K1079","BYY88Y7","2,068.63","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","37,161,155.76","2.11","37,161,155.76","175,512.00","92826C839","US92826C8394","B2PZN04","211.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","34,255,347.01","1.95","34,255,347.01","64,157.00","67066G104","US67066G1040","2379504","533.93","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","32,303,704.40","1.84","32,303,704.40","90,728.00","57636Q104","US57636Q1040","B121557","356.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","29,430,508.12","1.67","29,430,508.12","121,193.00","70450Y103","US70450Y1038","BYW36M8","242.84","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","23,907,677.80","1.36","23,907,677.80","45,830.00","64110L106","US64110L1061","2857817","521.66","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","23,577,876.63","1.34","23,577,876.63","49,599.00","00724F101","US00724F1012","2008154","475.37","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","20,120,658.29","1.14","20,120,658.29","94,967.00","79466L302","US79466L3024","2310525","211.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","18,597,028.62","1.06","18,597,028.62","40,749.00","883556102","US8835561023","2886907","456.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
