Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","25,971,655.15","3.99","25,971,655.15","212,621.00","037833100","US0378331005","2046251","122.15","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","15,479,050.86","2.38","15,479,050.86","101,682.00","46625H100","US46625H1005","2190385","152.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","14,395,745.20","2.21","14,395,745.20","87,592.00","478160104","US4781601046","2475833","164.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","11,161,245.76","1.72","11,161,245.76","60,488.00","254687106","US2546871060","2270726","184.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","10,622,953.54","1.63","10,622,953.54","41,582.00","084670702","US0846707026","2073390","255.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","9,794,489.57","1.51","9,794,489.57","253,153.00","060505104","US0605051046","2295677","38.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","8,664,768.00","1.33","8,664,768.00","135,387.00","458140100","US4581401001","2463247","64.00","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","8,242,143.42","1.27","8,242,143.42","152,322.00","20030N101","US20030N1019","2044545","54.11","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","8,122,414.25","1.25","8,122,414.25","59,975.00","742718109","US7427181091","2704407","135.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","8,018,361.65","1.23","8,018,361.65","137,891.00","92343V104","US92343V1044","2090571","58.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","7,875,826.44","1.21","7,875,826.44","141,068.00","30231G102","US30231G1022","2326618","55.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","7,840,631.11","1.21","7,840,631.11","21,073.00","91324P102","US91324P1021","2917766","372.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","7,695,963.00","1.18","7,695,963.00","25,212.00","437076102","US4370761029","2434209","305.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","7,274,459.38","1.12","7,274,459.38","140,678.00","17275R102","US17275R1023","2198163","51.71","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","7,193,483.88","1.11","7,193,483.88","237,644.00","00206R102","US00206R1023","2831811","30.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","6,811,976.85","1.05","6,811,976.85","129,235.00","191216100","US1912161007","2206657","52.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","6,733,599.11","1.03","6,733,599.11","185,857.00","717081103","US7170811035","2684703","36.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","6,726,574.89","1.03","6,726,574.89","64,191.00","166764100","US1667641005","2838555","104.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","6,641,314.40","1.02","6,641,314.40","3,220.00","02079K305","US02079K3059","BYVY8G0","2,062.52","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","6,502,739.40","1.00","6,502,739.40","45,972.00","713448108","US7134481081","2681511","141.45","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","6,499,843.35","1.00","6,499,843.35","84,315.00","58933Y105","US58933Y1055","2778844","77.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","6,383,792.18","0.98","6,383,792.18","3,086.00","02079K107","US02079K1079","BYY88Y7","2,068.63","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","6,367,881.24","0.98","6,367,881.24","58,842.00","00287Y109","US00287Y1091","B92SR70","108.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,274,802.68","0.96","6,274,802.68","46,196.00","931142103","US9311421039","2936921","135.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","5,568,534.16","0.86","5,568,534.16","24,844.00","580135101","US5801351017","2550707","224.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","5,382,165.99","0.83","5,382,165.99","137,757.00","949746101","US9497461015","2649100","39.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","5,306,517.73","0.82","5,306,517.73","44,921.00","G5960L103","IE00BTN1Y115","BTN1Y11","118.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","5,059,980.75","0.78","5,059,980.75","69,553.00","172967424","US1729674242","2297907","72.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","5,030,814.32","0.77","5,030,814.32","23,176.00","438516106","US4385161066","2020459","217.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","4,919,551.20","0.76","4,919,551.20","22,320.00","907818108","US9078181081","2914734","220.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","4,788,597.26","0.74","4,788,597.26","19,246.00","031162100","US0311621009","2023607","248.81","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","4,713,096.41","0.72","4,713,096.41","74,657.00","110122108","US1101221083","2126335","63.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","4,656,536.32","0.72","4,656,536.32","18,281.00","097023105","US0970231058","2108601","254.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","4,622,226.54","0.71","4,622,226.54","9,969.00","11135F101","US11135F1012","BDZ78H9","463.66","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","4,604,984.82","0.71","4,604,984.82","51,893.00","718172109","US7181721090","B2PKRQ3","88.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,336,716.51","0.67","4,336,716.51","61,803.00","68389X105","US68389X1054","2661568","70.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","4,213,077.90","0.65","4,213,077.90","18,170.00","149123101","US1491231015","2180201","231.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,967,949.76","0.61","3,967,949.76","29,776.00","459200101","US4592001014","2005973","133.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","3,912,334.64","0.60","3,912,334.64","50,632.00","75513E101","US75513E1010","BM5M5Y3","77.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,883,388.30","0.60","3,883,388.30","50,005.00","617446448","US6174464486","2262314","77.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","3,836,113.32","0.59","3,836,113.32","292,164.00","369604103","US3696041033","2380498","13.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,749,055.00","0.58","3,749,055.00","11,465.00","38141G104","US38141G1040","2407966","327.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","3,718,145.96","0.57","3,718,145.96","19,297.00","88579Y101","US88579Y1010","2595708","192.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,657,523.47","0.56","3,657,523.47","19,353.00","882508104","US8825081040","2885409","188.99","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","3,566,984.76","0.55","3,566,984.76","4,731.00","09247X101","US09247X1019","2494504","753.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","3,509,993.76","0.54","3,509,993.76","29,289.00","002824100","US0028241000","2002305","119.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","3,427,157.50","0.53","3,427,157.50","12,406.00","G1151C101","IE00B4BNMY34","B4BNMY3","276.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","3,341,432.73","0.51","3,341,432.73","44,193.00","65339F101","US65339F1012","2328915","75.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
