Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"F","FORD MOTOR CO","Consumer Discretionary","Equity","4,837,046.76","1.07","4,837,046.76","388,206.00","345370860","US3453708600","2615468","12.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","4,734,874.48","1.04","4,734,874.48","144,886.00","35671D857","US35671D8570","2352118","32.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","4,345,352.96","0.96","4,345,352.96","71,552.00","-","IE00BY7QL619","BY7QL61","60.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","4,246,955.46","0.94","4,246,955.46","57,971.00","26875P101","US26875P1012","2318024","73.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","4,066,932.06","0.90","4,066,932.06","85,909.00","026874784","US0268747849","2027342","47.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","4,050,822.45","0.89","4,050,822.45","50,705.00","871829107","US8718291078","2868165","79.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","3,926,884.56","0.87","3,926,884.56","124,426.00","40434L105","US40434L1052","BYX4D52","31.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","3,859,221.65","0.85","3,859,221.65","25,055.00","89417E109","US89417E1091","2769503","154.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","3,780,966.88","0.83","3,780,966.88","138,904.00","806857108","AN8068571086","2779201","27.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","3,774,401.16","0.83","3,774,401.16","71,242.00","931427108","US9314271084","BTN1Y44","52.98","United States","NASDAQ","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","3,765,521.87","0.83","3,765,521.87","32,633.00","828806109","US8288061091","2812452","115.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUV","SOUTHWEST AIRLINES","Industrials","Equity","3,632,754.98","0.80","3,632,754.98","58,678.00","844741108","US8447411088","2831543","61.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","3,631,451.04","0.80","3,631,451.04","39,438.00","744320102","US7443201022","2819118","92.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","3,571,595.52","0.79","3,571,595.52","43,392.00","718546104","US7185461040","B78C4Y8","82.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","3,523,488.57","0.78","3,523,488.57","30,087.00","020002101","US0200021014","2019952","117.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","3,469,570.10","0.77","3,469,570.10","73,915.00","22052L104","US22052L1044","BK73B42","46.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","3,467,759.20","0.77","3,467,759.20","64,697.00","56585A102","US56585A1025","B3K3L40","53.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","3,452,943.00","0.76","3,452,943.00","24,708.00","459506101","US4595061015","2464165","139.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","3,438,530.64","0.76","3,438,530.64","81,174.00","14448C104","US14448C1045","BK4N0D7","42.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","3,327,988.00","0.73","3,327,988.00","76,330.00","219350105","US2193501051","2224701","43.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
