Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","27,642,781.57","3.77","27,642,781.57","20,518.00","82509L107","CA82509L1076","BX865C7","1,347.25","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","25,152,732.79","3.43","25,152,732.79","44,697.00","-","NL0010273215","B929F46","562.74","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","18,366,790.25","2.50","18,366,790.25","203,700.00","S67706200","JP3436100006","6770620","90.17","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6758","SONY CORP","Consumer Discretionary","Equity","17,005,090.55","2.32","17,005,090.55","147,900.00","S68215060","JP3435000009","6821506","114.98","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"MC","LVMH","Consumer Discretionary","Equity","14,641,704.80","1.99","14,641,704.80","23,022.00","S40614125","FR0000121014","4061412","635.99","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","14,172,404.67","1.93","14,172,404.67","211,900.00","S62673595","HK0388045442","6267359","66.88","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"SIE","SIEMENS N AG","Industrials","Equity","13,093,670.56","1.78","13,093,670.56","82,075.00","S57279739","DE0007236101","5727973","159.53","Germany","Xetra","USD","0.83","EUR","-"
"6861","KEYENCE CORP","Information Technology","Equity","11,706,592.52","1.60","11,706,592.52","21,700.00","S64909955","JP3236200006","6490995","539.47","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6594","NIDEC CORP","Industrials","Equity","10,090,660.20","1.37","10,090,660.20","74,700.00","S66406828","JP3734800000","6640682","135.08","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","9,534,703.81","1.30","9,534,703.81","44,284.00","S59646513","DK0010268606","5964651","215.31","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.17","DKK","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","9,467,529.68","1.29","9,467,529.68","62,994.00","S48341085","FR0000121972","4834108","150.29","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"ADYEN","ADYEN NV","Information Technology","Equity","9,324,475.86","1.27","9,324,475.86","4,080.00","-","NL0012969182","BZ1HM42","2,285.40","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"7974","NINTENDO LTD","Communication","Equity","8,745,900.47","1.19","8,745,900.47","14,500.00","S66395500","JP3756600007","6639550","603.17","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"2413","M3 INC","Health Care","Equity","8,084,026.81","1.10","8,084,026.81","98,700.00","-","JP3435750009","B02K2M3","81.91","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","8,019,934.41","1.09","8,019,934.41","36,100.00","S62507249","JP3481800005","6250724","222.16","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","7,952,612.85","1.08","7,952,612.85","74,906.00","136375102","CA1363751027","2180632","106.17","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"IBE","IBERDROLA SA","Utilities","Equity","7,914,872.88","1.08","7,914,872.88","594,545.00","-","ES0144580Y14","B288C92","13.31","Spain","Bolsa De Madrid","USD","0.83","EUR","-"
"LONN","LONZA GROUP AG","Health Care","Equity","7,627,474.97","1.04","7,627,474.97","12,030.00","S73333783","CH0013841017","7333378","634.04","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"ORSTED","ORSTED","Utilities","Equity","7,338,440.68","1.00","7,338,440.68","41,254.00","-","DK0060094928","BYT16L4","177.88","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.17","DKK","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","7,173,280.09","0.98","7,173,280.09","101,275.00","-","DK0060534915","BHC8X90","70.83","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.17","DKK","-"
"DPW","DEUTSCHE POST AG","Industrials","Equity","7,149,031.56","0.97","7,149,031.56","140,617.00","S46178596","DE0005552004","4617859","50.84","Germany","Xetra","USD","0.83","EUR","-"
"CP","CANADIAN PACIFIC RAILWAY LTD","Industrials","Equity","6,990,980.75","0.95","6,990,980.75","19,685.00","13645T100","CA13645T1003","2793115","355.14","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"DSV","DSV PANALPINA","Industrials","Equity","6,805,537.42","0.93","6,805,537.42","40,784.00","-","DK0060079531","B1WT5G2","166.87","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.17","DKK","-"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","6,587,314.46","0.90","6,587,314.46","154,370.00","S58895053","DE0006231004","5889505","42.67","Germany","Xetra","USD","0.83","EUR","-"
"PRX","PROSUS NV","Consumer Discretionary","Equity","6,403,024.09","0.87","6,403,024.09","52,648.00","-","NL0013654783","BJDS7L3","121.62","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"SIKA","SIKA AG","Materials","Equity","6,275,747.72","0.86","6,275,747.72","22,353.00","-","CH0418792922","BF2DSG3","280.76","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","6,133,231.90","0.84","6,133,231.90","37,214.00","-","FR0000120073","B1YXBJ7","164.81","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","5,874,404.68","0.80","5,874,404.68","6,600.00","S63324396","JP3802300008","6332439","890.06","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
