Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","513,036,475.51","10.27","513,036,475.51","19,095,024.00","S60996261","INE002A01018","6099626","26.87","India","National Stock Exchange Of India","USD","73.18","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","413,125,017.32","8.27","413,125,017.32","11,400,138.00","S61719001","INE001A01036","6171900","36.24","India","National Stock Exchange Of India","USD","73.18","INR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","403,260,562.06","8.07","403,260,562.06","22,808,471.00","S62051222","INE009A01021","6205122","17.68","India","National Stock Exchange Of India","USD","73.18","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","265,404,908.19","5.31","265,404,908.19","6,279,233.00","-","INE467B01029","B01NPJ1","42.27","India","National Stock Exchange Of India","USD","73.18","INR","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","250,764,600.87","5.02","250,764,600.87","34,156,029.00","-","INE090A01021","BSZ2BY7","7.34","India","National Stock Exchange Of India","USD","73.18","INR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","184,330,821.41","3.69","184,330,821.41","5,504,425.00","S62616743","INE030A01027","6261674","33.49","India","National Stock Exchange Of India","USD","73.18","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","137,628,331.40","2.75","137,628,331.40","15,157,344.00","-","INE238A01034","BPFJHC7","9.08","India","National Stock Exchange Of India","USD","73.18","INR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","126,969,457.78","2.54","126,969,457.78","1,815,063.00","-","INE296A01024","BD2N0P2","69.95","India","National Stock Exchange Of India","USD","73.18","INR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","99,351,096.61","1.99","99,351,096.61","3,709,792.00","S61356614","INE237A01028","6135661","26.78","India","National Stock Exchange Of India","USD","73.18","INR","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","98,429,421.34","1.97","98,429,421.34","7,265,667.00","S62948963","INE860A01027","6294896","13.55","India","National Stock Exchange Of India","USD","73.18","INR","-"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","98,051,182.75","1.96","98,051,182.75","2,568,191.00","-","INE021A01026","BCRWL65","38.18","India","National Stock Exchange Of India","USD","73.18","INR","-"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","95,189,012.40","1.90","95,189,012.40","909,900.00","S66337122","INE585B01010","6633712","104.61","India","National Stock Exchange Of India","USD","73.18","INR","-"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","82,205,064.94","1.64","82,205,064.94","4,605,038.00","-","INE018A01030","B0166K8","17.85","India","National Stock Exchange Of India","USD","73.18","INR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","58,994,528.67","1.18","58,994,528.67","8,398,973.00","S64423270","INE397D01024","6442327","7.02","India","National Stock Exchange Of India","USD","73.18","INR","-"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","57,673,454.55","1.15","57,673,454.55","4,204,213.00","-","INE669C01036","BWFGD63","13.72","India","National Stock Exchange Of India","USD","73.18","INR","-"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","57,284,260.21","1.15","57,284,260.21","225,879.00","S61286050","INE239A01016","6128605","253.61","India","National Stock Exchange Of India","USD","73.18","INR","-"
"ITC","ITC LTD","Consumer Staples","Equity","57,117,959.60","1.14","57,117,959.60","19,767,082.00","-","INE154A01025","B0JGGP5","2.89","India","National Stock Exchange Of India","USD","73.18","INR","-"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","56,404,794.56","1.13","56,404,794.56","772,778.00","-","INE481G01011","B01GZF6","72.99","India","National Stock Exchange Of India","USD","73.18","INR","-"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","56,280,171.24","1.13","56,280,171.24","778,990.00","S64109598","INE089A01023","6410959","72.25","India","National Stock Exchange Of India","USD","73.18","INR","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","54,704,593.52","1.09","54,704,593.52","5,408,925.00","S61001863","INE101A01026","6100186","10.11","India","National Stock Exchange Of India","USD","73.18","INR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","51,100,000.00","1.02","51,100,000.00","51,100,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","51,028,444.69","1.02","51,028,444.69","2,376,991.00","S61393401","INE280A01028","6139340","21.47","India","National Stock Exchange Of India","USD","73.18","INR","-"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","46,648,037.24","0.93","46,648,037.24","888,469.00","S66025180","INE361B01024","6602518","52.50","India","National Stock Exchange Of India","USD","73.18","INR","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","46,352,282.79","0.93","46,352,282.79","5,620,920.00","S65824831","INE044A01036","6582483","8.25","India","National Stock Exchange Of India","USD","73.18","INR","-"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","46,142,870.69","0.92","46,142,870.69","4,730,816.00","-","INE795G01014","BF0TRG6","9.75","India","National Stock Exchange Of India","USD","73.18","INR","-"
"SBIN","STATE BANK OF INDIA","Financials","Equity","46,000,751.03","0.92","46,000,751.03","11,947,542.00","-","INE062A01020","BSQCB24","3.85","India","National Stock Exchange Of India","USD","73.18","INR","-"
"DMART","AVENUE SUPERMARTS LTD","Consumer Staples","Equity","44,308,178.51","0.89","44,308,178.51","1,083,985.00","-","INE192R01011","BYW1G33","40.88","India","National Stock Exchange Of India","USD","73.18","INR","-"
"WIPRO","WIPRO LTD","Information Technology","Equity","42,475,169.16","0.85","42,475,169.16","7,650,078.00","S62060512","INE075A01022","6206051","5.55","India","National Stock Exchange Of India","USD","73.18","INR","-"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","42,074,641.63","0.84","42,074,641.63","4,524,160.00","S61011565","INE081A01012","6101156","9.30","India","National Stock Exchange Of India","USD","73.18","INR","-"
"NTPC","NTPC LTD","Utilities","Equity","39,750,295.66","0.80","39,750,295.66","29,803,558.00","-","INE733E01010","B037HF1","1.33","India","National Stock Exchange Of India","USD","73.18","INR","-"
"ADANIGREEN","ADANI GREEN ENERGY LTD","Utilities","Equity","39,214,904.53","0.78","39,214,904.53","2,617,218.00","-","INE364U01010","BD6H7M6","14.98","India","National Stock Exchange Of India","USD","73.18","INR","-"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","36,000,235.72","0.72","36,000,235.72","10,524,999.00","-","INE038A01020","B0GWF48","3.42","India","National Stock Exchange Of India","USD","73.18","INR","-"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","35,985,968.20","0.72","35,985,968.20","14,007,251.00","-","INE752E01010","B233HS6","2.57","India","National Stock Exchange Of India","USD","73.18","INR","-"
"NAUKRI","INFO EDGE INDIA LTD","Communication","Equity","35,542,804.52","0.71","35,542,804.52","473,379.00","-","INE663F01024","B1685L0","75.08","India","National Stock Exchange Of India","USD","73.18","INR","-"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Consumer Staples","Equity","35,186,789.70","0.70","35,186,789.70","725,094.00","-","INE216A01030","BGSQG47","48.53","India","National Stock Exchange Of India","USD","73.18","INR","-"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","33,623,453.04","0.67","33,623,453.04","802,191.00","S63273270","INE158A01026","6327327","41.91","India","National Stock Exchange Of India","USD","73.18","INR","-"
"CIPLA","CIPLA LTD","Health Care","Equity","33,557,980.84","0.67","33,557,980.84","2,968,497.00","-","INE059A01026","B011108","11.30","India","National Stock Exchange Of India","USD","73.18","INR","-"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","33,425,037.19","0.67","33,425,037.19","914,412.00","-","INE066A01021","BMW4CV8","36.55","India","National Stock Exchange Of India","USD","73.18","INR","-"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","33,398,275.51","0.67","33,398,275.51","4,009,519.00","S61214888","INE192A01025","6121488","8.33","India","National Stock Exchange Of India","USD","73.18","INR","-"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","33,133,818.03","0.66","33,133,818.03","2,677,544.00","-","INE123W01016","BZ60N32","12.37","India","National Stock Exchange Of India","USD","73.18","INR","-"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","30,815,929.22","0.62","30,815,929.22","255,648.00","-","INE918I01018","B2QKWK1","120.54","India","National Stock Exchange Of India","USD","73.18","INR","-"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","30,587,070.28","0.61","30,587,070.28","5,662,961.00","-","INE019A01038","BZBYJJ7","5.40","India","National Stock Exchange Of India","USD","73.18","INR","-"
