Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HDFCBANK","HDFC BANK LTD","Financials","Equity","71,974,181.87","10.44","71,974,181.87","3,502,032.00","-","INE040A01034","BK1N461","20.55","India","National Stock Exchange Of India","USD","73.17","INR","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","71,709,381.52","10.40","71,709,381.52","2,602,239.00","S60996261","INE002A01018","6099626","27.56","India","National Stock Exchange Of India","USD","73.17","INR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","53,669,747.13","7.78","53,669,747.13","2,982,683.00","S62051222","INE009A01021","6205122","17.99","India","National Stock Exchange Of India","USD","73.17","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","52,521,644.25","7.61","52,521,644.25","1,446,448.00","S61719001","INE001A01036","6171900","36.31","India","National Stock Exchange Of India","USD","73.17","INR","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","41,494,256.66","6.02","41,494,256.66","5,556,297.00","-","INE090A01021","BSZ2BY7","7.47","India","National Stock Exchange Of India","USD","73.17","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","37,683,794.82","5.46","37,683,794.82","845,652.00","-","INE467B01029","B01NPJ1","44.56","India","National Stock Exchange Of India","USD","73.17","INR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","30,408,854.46","4.41","30,408,854.46","1,179,169.00","S61356614","INE237A01028","6135661","25.79","India","National Stock Exchange Of India","USD","73.17","INR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","23,208,072.35","3.36","23,208,072.35","718,614.00","S62616743","INE030A01027","6261674","32.30","India","National Stock Exchange Of India","USD","73.17","INR","-"
"ITC","ITC LTD","Consumer Staples","Equity","21,031,295.83","3.05","21,031,295.83","7,031,814.00","-","INE154A01025","B0JGGP5","2.99","India","National Stock Exchange Of India","USD","73.17","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","18,239,562.76","2.64","18,239,562.76","1,995,715.00","-","INE238A01034","BPFJHC7","9.14","India","National Stock Exchange Of India","USD","73.17","INR","-"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","18,196,853.58","2.64","18,196,853.58","972,011.00","-","INE018A01030","B0166K8","18.72","India","National Stock Exchange Of India","USD","73.17","INR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","15,639,099.80","2.27","15,639,099.80","1,932,048.00","S64423270","INE397D01024","6442327","8.09","India","National Stock Exchange Of India","USD","73.17","INR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","14,462,981.70","2.10","14,462,981.70","213,402.00","-","INE296A01024","BD2N0P2","67.77","India","National Stock Exchange Of India","USD","73.17","INR","-"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","13,116,498.31","1.90","13,116,498.31","362,854.00","-","INE021A01026","BCRWL65","36.15","India","National Stock Exchange Of India","USD","73.17","INR","-"
"SBIN","STATE BANK OF INDIA","Financials","Equity","12,604,504.95","1.83","12,604,504.95","3,088,758.00","-","INE062A01020","BSQCB24","4.08","India","National Stock Exchange Of India","USD","73.17","INR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","12,080,000.00","1.75","12,080,000.00","12,080,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","11,746,904.79","1.70","11,746,904.79","873,660.00","S62948963","INE860A01027","6294896","13.45","India","National Stock Exchange Of India","USD","73.17","INR","-"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","11,583,036.63","1.68","11,583,036.63","106,980.00","S66337122","INE585B01010","6633712","108.27","India","National Stock Exchange Of India","USD","73.17","INR","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","8,523,669.97","1.24","8,523,669.97","771,856.00","S61001863","INE101A01026","6100186","11.04","India","National Stock Exchange Of India","USD","73.17","INR","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","7,076,404.95","1.03","7,076,404.95","867,988.00","S65824831","INE044A01036","6582483","8.15","India","National Stock Exchange Of India","USD","73.17","INR","-"
"WIPRO","WIPRO LTD","Information Technology","Equity","7,032,574.36","1.02","7,032,574.36","1,196,028.00","S62060512","INE075A01022","6206051","5.88","India","National Stock Exchange Of India","USD","73.17","INR","-"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","6,982,175.21","1.01","6,982,175.21","93,059.00","-","INE481G01011","B01GZF6","75.03","India","National Stock Exchange Of India","USD","73.17","INR","-"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","6,966,437.68","1.01","6,966,437.68","335,385.00","S61393401","INE280A01028","6139340","20.77","India","National Stock Exchange Of India","USD","73.17","INR","-"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","6,960,177.25","1.01","6,960,177.25","28,685.00","S61286050","INE239A01016","6128605","242.64","India","National Stock Exchange Of India","USD","73.17","INR","-"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","6,808,266.30","0.99","6,808,266.30","97,895.00","S64109598","INE089A01023","6410959","69.55","India","National Stock Exchange Of India","USD","73.17","INR","-"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","6,758,426.87","0.98","6,758,426.87","498,268.00","-","INE669C01036","BWFGD63","13.56","India","National Stock Exchange Of India","USD","73.17","INR","-"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","6,050,026.78","0.88","6,050,026.78","633,735.00","-","INE795G01014","BF0TRG6","9.55","India","National Stock Exchange Of India","USD","73.17","INR","-"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","5,942,888.12","0.86","5,942,888.12","48,728.00","-","INE918I01018","B2QKWK1","121.96","India","National Stock Exchange Of India","USD","73.17","INR","-"
