Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","26,346,816.44","2.86","26,346,816.44","76,868.00","S71103881","CH0012032048","7110388","342.75","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"RIO","RIO TINTO PLC","Materials","Equity","24,902,932.02","2.70","24,902,932.02","322,839.00","S07188758","GB0007188757","0718875","77.14","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BHP","BHP GROUP PLC","Materials","Equity","24,641,866.98","2.67","24,641,866.98","878,129.00","-","GB00BH0P3Z91","BH0P3Z9","28.06","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"6501","HITACHI LTD","Information Technology","Equity","22,615,578.63","2.45","22,615,578.63","492,800.00","S64291040","JP3788600009","6429104","45.89","Japan","Tokyo Stock Exchange","USD","105.47","JPY","-"
"PHIA","KONINKLIJKE PHILIPS NV","Health Care","Equity","20,938,541.72","2.27","20,938,541.72","369,834.00","S59866228","NL0000009538","5986622","56.62","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Communication","Equity","17,135,468.64","1.86","17,135,468.64","659,800.00","S66413733","JP3735400008","6641373","25.97","Japan","Tokyo Stock Exchange","USD","105.47","JPY","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","16,825,056.33","1.83","16,825,056.33","236,227.00","-","DK0060534915","BHC8X90","71.22","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.18","DKK","-"
"RIO","RIO TINTO LTD","Materials","Equity","16,515,033.76","1.79","16,515,033.76","190,279.00","S62201033","AU000000RIO1","6220103","86.79","Australia","Asx - All Markets","USD","1.31","AUD","Jan 02, 1985"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Consumer Staples","Equity","15,842,842.91","1.72","15,842,842.91","564,213.00","-","NL0011794037","BD0Q398","28.08","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"FMG","FORTESCUE METALS GROUP LTD","Materials","Equity","15,442,750.67","1.68","15,442,750.67","868,024.00","S60862539","AU000000FMG4","6086253","17.79","Australia","Asx - All Markets","USD","1.31","AUD","-"
"6702","FUJITSU LTD","Information Technology","Equity","15,277,940.55","1.66","15,277,940.55","100,800.00","S63569453","JP3818000006","6356945","151.57","Japan","Tokyo Stock Exchange","USD","105.47","JPY","-"
"FERG","FERGUSON PLC","Industrials","Equity","13,774,694.25","1.49","13,774,694.25","115,275.00","-","JE00BJVNSS43","BJVNSS4","119.49","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrials","Equity","13,555,780.95","1.47","13,555,780.95","265,236.00","S73804825","FR0000125007","7380482","51.11","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","12,852,392.45","1.39","12,852,392.45","10,309.00","21037X100","CA21037X1006","B15C4L6","1,246.72","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"8591","ORIX CORP","Financials","Equity","11,741,305.65","1.27","11,741,305.65","670,800.00","S66611443","JP3200450009","6661144","17.50","Japan","Tokyo Stock Exchange","USD","105.47","JPY","-"
"WKL","WOLTERS KLUWER NV","Industrials","Equity","11,571,596.83","1.26","11,571,596.83","139,944.00","S56715196","NL0000395903","5671519","82.69","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"MG","MAGNA INTERNATIONAL INC","Consumer Discretionary","Equity","11,110,269.66","1.21","11,110,269.66","145,416.00","559222401","CA5592224011","2554475","76.40","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","10,616,331.48","1.15","10,616,331.48","184,700.00","S63565253","JP3814000000","6356525","57.48","Japan","Tokyo Stock Exchange","USD","105.47","JPY","-"
"STM","STMICROELECTRONICS NV","Information Technology","Equity","10,571,659.03","1.15","10,571,659.03","260,939.00","S59623322","NL0000226223","5962332","40.51","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"COLO B","COLOPLAST B","Health Care","Equity","9,966,480.68","1.08","9,966,480.68","60,895.00","-","DK0060448595","B8FMRX8","163.67","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.18","DKK","-"
"1","CK HUTCHISON HOLDINGS LTD","Industrials","Equity","9,484,701.12","1.03","9,484,701.12","1,386,000.00","-","KYG217651051","BW9P816","6.84","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"GIB.A","CGI INC","Information Technology","Equity","9,452,821.58","1.03","9,452,821.58","118,084.00","12532H104","CA12532H1047","BJ2L575","80.05","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"AV.","AVIVA PLC","Financials","Equity","9,448,703.16","1.03","9,448,703.16","2,014,058.00","S02162386","GB0002162385","0216238","4.69","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","9,334,700.06","1.01","9,334,700.06","84,295.00","-","CH0025751329","B18ZRK2","110.74","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"STLA","STELLANTIS NV","Consumer Discretionary","Equity","8,931,760.19","0.97","8,931,760.19","555,773.00","-","NL00150001Q9","BMD8KX7","16.07","Italy","Borsa Italiana","USD","0.83","EUR","-"
