Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"1299","AIA GROUP LTD","Financials","Equity","25,479,983.49","2.23","25,479,983.49","1,902,800.00","-","HK0000069689","B4TX8S1","13.39","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","24,577,124.65","2.15","24,577,124.65","328,700.00","S69006435","JP3633400001","6900643","74.77","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","21,309,048.95","1.86","21,309,048.95","246,700.00","S67706200","JP3436100006","6770620","86.38","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"6758","SONY CORP","Consumer Discretionary","Equity","21,257,101.48","1.86","21,257,101.48","207,600.00","S68215060","JP3435000009","6821506","102.39","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","18,426,312.72","1.61","18,426,312.72","278,111.00","S62150354","AU000000CBA7","6215035","66.26","Australia","Asx - All Markets","USD","1.29","AUD","-"
"BHP","BHP GROUP LTD","Materials","Equity","16,675,186.43","1.46","16,675,186.43","456,687.00","S61446902","AU000000BHP4","6144690","36.51","Australia","Asx - All Markets","USD","1.29","AUD","Jan 02, 1985"
"6861","KEYENCE CORP","Information Technology","Equity","16,146,297.19","1.41","16,146,297.19","29,400.00","S64909955","JP3236200006","6490995","549.19","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"CSL","CSL LTD","Health Care","Equity","14,829,217.35","1.30","14,829,217.35","71,048.00","S61854956","AU000000CSL8","6185495","208.72","Australia","Asx - All Markets","USD","1.29","AUD","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","12,384,023.94","1.08","12,384,023.94","186,400.00","S62673595","HK0388045442","6267359","66.44","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"7974","NINTENDO LTD","Communication","Equity","10,907,405.62","0.95","10,907,405.62","18,000.00","S66395500","JP3756600007","6639550","605.97","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","10,799,584.82","0.94","10,799,584.82","25,300.00","S68956754","JP3571400005","6895675","426.86","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","9,796,485.47","0.86","9,796,485.47","52,900.00","S68045855","JP3371200001","6804585","185.19","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","9,592,891.78","0.84","9,592,891.78","566,142.00","S60761467","AU000000WBC1","6076146","16.94","Australia","Asx - All Markets","USD","1.29","AUD","-"
"6594","NIDEC CORP","Industrials","Equity","9,585,468.77","0.84","9,585,468.77","69,400.00","S66406828","JP3734800000","6640682","138.12","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","9,316,162.98","0.81","9,316,162.98","207,500.00","-","JP3970300004","BQRRZ00","44.90","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","9,237,738.31","0.81","9,237,738.31","489,542.00","S66246083","AU000000NAB4","6624608","18.87","Australia","Asx - All Markets","USD","1.29","AUD","-"
"6954","FANUC CORP","Industrials","Equity","9,160,297.38","0.80","9,160,297.38","34,600.00","S63569347","JP3802400006","6356934","264.75","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","9,101,774.65","0.80","9,101,774.65","261,200.00","-","JP3475350009","B0J7D91","34.85","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","8,845,939.94","0.77","8,845,939.94","86,800.00","S66104035","JP3914400001","6610403","101.91","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","8,586,892.92","0.75","8,586,892.92","1,833,700.00","S63351712","JP3902900004","6335171","4.68","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","8,410,336.00","0.74","8,410,336.00","37,700.00","S62507249","JP3481800005","6250724","223.09","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","8,394,140.20","0.73","8,394,140.20","242,100.00","S68704451","JP3463000004","6870445","34.67","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","8,338,109.49","0.73","8,338,109.49","9,400.00","S63324396","JP3802300008","6332439","887.03","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Financials","Equity","8,128,167.44","0.71","8,128,167.44","423,081.00","S60655867","AU000000ANZ3","6065586","19.21","Australia","Asx - All Markets","USD","1.29","AUD","Jan 01, 1998"
"9433","KDDI CORP","Communication","Equity","8,069,541.37","0.71","8,069,541.37","260,200.00","S62489901","JP3496400007","6248990","31.01","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","7,237,678.86","0.63","7,237,678.86","259,200.00","S64351455","JP3854600008","6435145","27.92","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"2413","M3 INC","Health Care","Equity","6,871,893.41","0.60","6,871,893.41","69,200.00","-","JP3435750009","B02K2M3","99.30","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","6,794,805.54","0.59","6,794,805.54","167,496.00","S69488369","AU000000WES1","6948836","40.57","Australia","Asx - All Markets","USD","1.29","AUD","-"
"7741","HOYA CORP","Health Care","Equity","6,752,462.10","0.59","6,752,462.10","51,900.00","S64415060","JP3837800006","6441506","130.11","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","6,735,686.01","0.59","6,735,686.01","207,500.00","S65630246","JP3890350006","6563024","32.46","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"6501","HITACHI LTD","Information Technology","Equity","6,575,572.08","0.58","6,575,572.08","156,200.00","S64291040","JP3788600009","6429104","42.10","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"8001","ITOCHU CORP","Industrials","Equity","6,270,879.60","0.55","6,270,879.60","207,500.00","S64678030","JP3143600009","6467803","30.22","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","6,168,860.40","0.54","6,168,860.40","197,071.00","S69812394","AU000000WOW2","6981239","31.30","Australia","Asx - All Markets","USD","1.29","AUD","-"
"6273","SMC (JAPAN) CORP","Industrials","Equity","6,022,593.42","0.53","6,022,593.42","9,200.00","S67639658","JP3162600005","6763965","654.63","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"9434","SOFTBANK CORP","Communication","Equity","5,882,114.03","0.51","5,882,114.03","451,100.00","-","JP3732000009","BF5M0K5","13.04","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","5,811,052.48","0.51","5,811,052.48","53,662.00","-","AU000000MQG1","B28YTC2","108.29","Australia","Asx - All Markets","USD","1.29","AUD","-"
"4452","KAO CORP","Consumer Staples","Equity","5,724,763.93","0.50","5,724,763.93","77,800.00","S64838097","JP3205800000","6483809","73.58","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","5,672,569.28","0.50","5,672,569.28","103,800.00","S61964086","JP3519400000","6196408","54.65","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","5,581,889.64","0.49","5,581,889.64","279,200.00","S61752036","SG1L01001701","6175203","19.99","Singapore","Singapore Exchange","USD","1.32","SGD","Jan 01, 1998"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","5,551,300.57","0.49","5,551,300.57","103,800.00","S65131260","JP3910660004","6513126","53.48","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Communication","Equity","5,469,489.23","0.48","5,469,489.23","207,500.00","S66413733","JP3735400008","6641373","26.36","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"6702","FUJITSU LTD","Information Technology","Equity","5,406,980.79","0.47","5,406,980.79","34,600.00","S63569453","JP3818000006","6356945","156.27","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"8058","MITSUBISHI CORP","Industrials","Equity","5,401,371.05","0.47","5,401,371.05","207,500.00","S65967853","JP3898400001","6596785","26.03","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"RIO","RIO TINTO LTD","Materials","Equity","5,375,982.56","0.47","5,375,982.56","56,801.00","S62201033","AU000000RIO1","6220103","94.65","Australia","Asx - All Markets","USD","1.29","AUD","Jan 02, 1985"
"4661","ORIENTAL LAND LTD","Consumer Discretionary","Equity","5,323,462.39","0.47","5,323,462.39","34,600.00","S66488917","JP3198900007","6648891","153.86","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"4503","ASTELLAS PHARMA INC","Health Care","Equity","5,158,967.37","0.45","5,158,967.37","311,100.00","S69853836","JP3942400007","6985383","16.58","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"8031","MITSUI LTD","Industrials","Equity","5,136,177.95","0.45","5,136,177.95","259,300.00","S65973026","JP3893600001","6597302","19.81","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","4,916,814.14","0.43","4,916,814.14","363,220.00","S65910143","JP3885780001","6591014","13.54","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"FMG","FORTESCUE METALS GROUP LTD","Materials","Equity","4,866,207.21","0.43","4,866,207.21","251,968.00","S60862539","AU000000FMG4","6086253","19.31","Australia","Asx - All Markets","USD","1.29","AUD","-"
