Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TRPCN","TC ENERGY CUMULATIVE REDEEMABLE MI","Energy","Equity","1,716,023.65","3.81","1,716,023.65","86,074.00","87807B818","CA87807B8188","BK62TG8","19.94","Canada","Toronto Stock Exchange","USD","1.26","CAD","May 08, 2019"
"KLOV PREF","KLOVERN PREF","Real Estate","Equity","1,359,533.22","3.02","1,359,533.22","35,385.00","-","SE0006593927","BTJR9T6","38.42","Sweden","Nasdaq Omx Nordic","USD","8.29","SEK","-"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","1,342,259.43","2.98","1,342,259.43","68,859.00","136070208","CA1360702080","BYWDKG0","19.49","Canada","Toronto Stock Exchange","USD","1.26","CAD","Jun 02, 2017"
"RY","ROYAL BANK OF CANADA NON CUMULATIV","Financials","Equity","1,063,929.32","2.37","1,063,929.32","52,285.00","78013N274","CA78013N2749","BZ78BH5","20.35","Canada","Toronto Stock Exchange","USD","1.26","CAD","Mar 07, 2016"
"BMO","BANK OF MONTREAL RegS","Financials","Equity","1,053,750.40","2.34","1,053,750.40","51,644.00","06367X705","CA06367X7053","BDDR826","20.40","Canada","-","USD","1.26","CAD","Oct 21, 2016"
"RY","ROYAL BANK OF CANADA NON CUMULATI","Financials","Equity","1,020,471.98","2.27","1,020,471.98","50,543.00","78013L211","CA78013L2113","BD34MS1","20.19","Canada","Toronto Stock Exchange","USD","1.26","CAD","Dec 16, 2015"
"ENBCN","ENBRIDGE INC","Energy","Equity","896,766.01","1.99","896,766.01","45,542.00","29250N535","CA29250N5358","BZCP5V3","19.69","Canada","-","USD","1.26","CAD","Nov 23, 2016"
"TD","TORONTO-DOMINION BANK/THE","Financials","Equity","875,655.94","1.95","875,655.94","43,507.00","891160665","CA8911606652","BYT4K99","20.13","Canada","-","USD","1.26","CAD","Sep 08, 2016"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","871,311.69","1.94","871,311.69","43,037.00","064151111","CA0641511112","BZ6SJY9","20.25","Canada","Toronto Stock Exchange","USD","1.26","CAD","Sep 16, 2016"
"BMO","BANK OF MONTREAL","Financials","Equity","851,532.40","1.89","851,532.40","43,037.00","06368A209","CA06368A2092","BD36NX9","19.79","Canada","-","USD","1.26","CAD","Mar 09, 2017"
"MFCCN","MANULIFE FINANCIAL CORP","Financials","Equity","813,812.36","1.81","813,812.36","40,885.00","56501R635","CA56501R6352","BD8FXR5","19.90","Canada","-","USD","1.26","CAD","Nov 22, 2016"
