Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","117,746,295.06","4.16","117,746,295.06","329,448.00","S71103881","CH0012032048","7110388","357.40","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","106,745,333.34","3.77","106,745,333.34","186,702.00","-","NL0010273215","B929F46","571.74","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"NESN","NESTLE SA","Consumer Staples","Equity","92,475,242.79","3.26","92,475,242.79","816,622.00","S71238703","CH0038863350","7123870","113.24","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"1299","AIA GROUP LTD","Financials","Equity","72,462,887.66","2.56","72,462,887.66","5,411,400.00","-","HK0000069689","B4TX8S1","13.39","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"MC","LVMH","Consumer Discretionary","Equity","68,932,112.11","2.43","68,932,112.11","111,765.00","S40614125","FR0000121014","4061412","616.76","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","63,501,876.07","2.24","63,501,876.07","875,921.00","-","DK0060534915","BHC8X90","72.50","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.12","DKK","-"
"ALV","ALLIANZ","Financials","Equity","49,089,614.15","1.73","49,089,614.15","203,800.00","S52314853","DE0008404005","5231485","240.87","Germany","Xetra","USD","0.82","EUR","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","47,916,291.99","1.69","47,916,291.99","801,956.00","-","GB00B10RZP78","B10RZP7","59.75","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"FP","TOTAL","Energy","Equity","47,744,315.98","1.69","47,744,315.98","1,077,289.00","-","FR0000120271","B15C557","44.32","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"RIO","RIO TINTO PLC","Materials","Equity","47,018,164.72","1.66","47,018,164.72","578,238.00","S07188758","GB0007188757","0718875","81.31","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SAP","SAP","Information Technology","Equity","46,850,146.89","1.65","46,850,146.89","367,501.00","S48462881","DE0007164600","4846288","127.48","Germany","Xetra","USD","0.82","EUR","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","44,706,060.68","1.58","44,706,060.68","672,900.00","S62673595","HK0388045442","6267359","66.44","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"CSL","CSL LTD","Health Care","Equity","41,002,009.54","1.45","41,002,009.54","196,444.00","S61854956","AU000000CSL8","6185495","208.72","Australia","Asx - All Markets","USD","1.29","AUD","-"
"7974","NINTENDO LTD","Communication","Equity","38,781,886.65","1.37","38,781,886.65","64,000.00","S66395500","JP3756600007","6639550","605.97","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","36,382,286.00","1.28","36,382,286.00","896,845.00","S69488369","AU000000WES1","6948836","40.57","Australia","Asx - All Markets","USD","1.29","AUD","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","29,773,376.02","1.05","29,773,376.02","70,647.00","S59838169","CH0011075394","5983816","421.44","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","28,898,493.77","1.02","28,898,493.77","67,700.00","S68956754","JP3571400005","6895675","426.86","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","28,418,303.01","1.00","28,418,303.01","262,163.00","136375102","CA1363751027","2180632","108.40","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"IBE","IBERDROLA SA","Utilities","Equity","27,815,063.97","0.98","27,815,063.97","1,956,591.00","-","ES0144580Y14","B288C92","14.22","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"9433","KDDI CORP","Communication","Equity","27,539,403.30","0.97","27,539,403.30","888,000.00","S62489901","JP3496400007","6248990","31.01","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","25,093,077.15","0.89","25,093,077.15","135,500.00","S68045855","JP3371200001","6804585","185.19","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"NESTE","NESTE","Energy","Equity","24,543,123.31","0.87","24,543,123.31","322,466.00","-","FI0009013296","B06YV46","76.11","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"PRU","PRUDENTIAL PLC","Financials","Equity","24,422,046.22","0.86","24,422,046.22","1,247,724.00","S07099542","GB0007099541","0709954","19.57","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","23,624,520.67","0.83","23,624,520.67","148,252.00","-","FR0000120073","B1YXBJ7","159.35","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"LSE","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","23,506,083.34","0.83","23,506,083.34","186,712.00","-","GB00B0SWJX34","B0SWJX3","125.90","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ENEL","ENEL","Utilities","Equity","23,177,904.29","0.82","23,177,904.29","2,255,075.00","S71445696","IT0003128367","7144569","10.28","Italy","Borsa Italiana","USD","0.82","EUR","-"
"KER","KERING SA","Consumer Discretionary","Equity","23,030,531.57","0.81","23,030,531.57","34,450.00","S55050728","FR0000121485","5505072","668.52","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"OR","LOREAL SA","Consumer Staples","Equity","22,799,504.88","0.80","22,799,504.88","63,694.00","S40578080","FR0000120321","4057808","357.95","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"CP","CANADIAN PACIFIC RAILWAY LTD","Industrials","Equity","22,468,036.80","0.79","22,468,036.80","64,324.00","13645T100","CA13645T1003","2793115","349.29","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","22,273,486.53","0.79","22,273,486.53","496,100.00","-","JP3970300004","BQRRZ00","44.90","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","21,950,372.46","0.77","21,950,372.46","549,736.00","S02374007","GB0002374006","0237400","39.93","United Kingdom","London Stock Exchange","USD","0.73","GBP","Jan 01, 1998"
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","21,063,006.36","0.74","21,063,006.36","371,977.00","-","SE0011166610","BD97BN2","56.62","Sweden","Nasdaq Omx Nordic","USD","8.29","SEK","-"
"RB.","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","19,880,153.95","0.70","19,880,153.95","231,367.00","-","GB00B24CGK77","B24CGK7","85.93","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","19,801,204.69","0.70","19,801,204.69","81,389.00","S59646513","DK0010268606","5964651","243.29","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.12","DKK","-"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","19,192,715.95","0.68","19,192,715.95","18,040.00","S52539731","FR0000052292","5253973","1,063.90","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","19,098,927.13","0.67","19,098,927.13","986,838.00","-","GB00BD6K4575","BD6K457","19.35","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","18,242,807.84","0.64","18,242,807.84","110,723.00","S70219639","DE0005810055","7021963","164.76","Germany","Xetra","USD","0.82","EUR","-"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","17,977,133.99","0.63","17,977,133.99","14,718.00","-","CH0024608827","B119QG0","1,221.44","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
