Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DDD","3D SYSTEMS CORP","Information Technology","Equity","7,686,561.30","2.42","7,686,561.30","240,130.00","88554D205","US88554D2053","2889768","32.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","4,832,829.00","1.52","4,832,829.00","7,659.00","594972408","US5949724083","2974329","631.00","United States","NASDAQ","USD","1.00","USD","-"
"SSYS","STRATASYS LTD","Information Technology","Equity","4,568,662.32","1.44","4,568,662.32","139,416.00","-","IL0011267213","B7WD7D7","32.77","United States","NASDAQ","USD","1.00","USD","-"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","4,357,749.00","1.37","4,357,749.00","17,501.00","056752108","US0567521085","B0FXT17","249.00","China","NASDAQ","USD","1.00","USD","-"
"7012","KAWASAKI HEAVY INDUSTRIES LTD","Industrials","Equity","4,020,411.27","1.26","4,020,411.27","162,800.00","S64846207","JP3224200000","6484620","24.70","Japan","Tokyo Stock Exchange","USD","103.83","JPY","-"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","4,012,194.34","1.26","4,012,194.34","29,970.00","S65207391","KR7066570003","6520739","133.87","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","-"
"992","LENOVO GROUP LTD","Information Technology","Equity","3,904,049.11","1.23","3,904,049.11","3,432,000.00","S62180898","HK0992009065","6218089","1.14","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"DOMO","DOMO INC CLASS B","Information Technology","Equity","3,885,536.50","1.22","3,885,536.50","55,907.00","257554105","US2575541055","BFZNZC5","69.50","United States","NASDAQ","USD","1.00","USD","-"
"MTSC","MTS SYSTEMS CORP","Information Technology","Equity","3,869,356.40","1.22","3,869,356.40","65,416.00","553777103","US5537771033","2608985","59.15","United States","NASDAQ","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","3,865,665.28","1.22","3,865,665.28","73,408.00","08265T208","US08265T2087","BMC1PR6","52.66","United States","NASDAQ","USD","1.00","USD","-"
"NNDM","NANO DIMENSION SPONSORED ADR REPR","Information Technology","Equity","3,530,362.80","1.11","3,530,362.80","340,440.00","63008G203","US63008G2030","BKTR9P9","10.37","Israel","NASDAQ","USD","1.00","USD","-"
"CEVA","CEVA INC","Information Technology","Equity","3,443,968.88","1.08","3,443,968.88","61,864.00","157210105","US1572101053","2986937","55.67","United States","NASDAQ","USD","1.00","USD","-"
"3443","GLOBAL UNICHIP CORP","Information Technology","Equity","3,361,892.33","1.06","3,361,892.33","222,000.00","-","TW0003443008","B056381","15.14","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","-"
"FUBO","FUBOTV INC","Information Technology","Equity","3,308,029.40","1.04","3,308,029.40","92,870.00","35953D104","US35953D1046","BMW4TN9","35.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TME","TENCENT MUSIC ENTERTAINMENT GROUP","Communication","Equity","3,291,890.00","1.04","3,291,890.00","151,700.00","88034P109","US88034P1093","BFZYWR2","21.70","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
