Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLUG","PLUG POWER INC","Industrials","Equity","988,231.20","0.40","988,231.20","29,040.00","72919P202","US72919P2020","2508386","34.03","United States","NASDAQ","USD","1.00","USD","-"
"AAL","AMERICAN AIRLINES GROUP INC","Industrials","Equity","844,993.43","0.34","844,993.43","36,851.00","02376R102","US02376R1023","BCV7KT2","22.93","United States","NASDAQ","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","793,976.04","0.32","793,976.04","10,476.00","25278X109","US25278X1090","B7Y8YR3","75.79","United States","NASDAQ","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","777,412.38","0.31","777,412.38","34,187.00","25179M103","US25179M1036","2480677","22.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBNY","SIGNATURE BANK","Financials","Equity","729,806.34","0.29","729,806.34","3,317.00","82669G104","US82669G1040","B00JQL9","220.02","United States","NASDAQ","USD","1.00","USD","-"
"NVAX","NOVAVAX INC","Health Care","Equity","715,003.12","0.29","715,003.12","3,926.00","670002401","US6700024010","BJDQXG4","182.12","United States","NASDAQ","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","674,317.60","0.27","674,317.60","16,132.00","876030107","US8760301072","BF09HX3","41.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","647,614.70","0.26","647,614.70","4,570.00","50212V100","US50212V1008","B75JX34","141.71","United States","NASDAQ","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","602,638.32","0.24","602,638.32","8,124.00","27579R104","US27579R1041","2487407","74.18","United States","NASDAQ","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","586,678.20","0.24","586,678.20","11,652.00","858119100","US8581191009","2849472","50.35","United States","NASDAQ","USD","1.00","USD","-"
