Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ASM","ASM INTERNATIONAL NV","Information Technology","Equity","3,019,826.70","1.87","3,019,826.70","11,002.00","S51652949","NL0000334118","5165294","274.48","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"LIGHT","SIGNIFY NV","Industrials","Equity","1,653,834.59","1.02","1,653,834.59","32,814.00","-","NL0011821392","BYY7VY5","50.40","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"TECN","TECAN GROUP AG","Health Care","Equity","1,547,062.34","0.96","1,547,062.34","3,055.00","S71109029","CH0012100191","7110902","506.40","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ASRNL","ASR NEDERLAND NV","Financials","Equity","1,496,075.06","0.93","1,496,075.06","35,929.00","-","NL0011872643","BD9PNF2","41.64","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"HWDN","HOWDEN JOINERY GROUP PLC","Industrials","Equity","1,459,083.27","0.90","1,459,083.27","152,468.00","S05576814","GB0005576813","0557681","9.57","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DSG","DESCARTES SYSTEMS GROUP INC","Information Technology","Equity","1,349,498.49","0.83","1,349,498.49","21,291.00","249906108","CA2499061083","2141941","63.38","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"CHC","CHARTER HALL GROUP STAPLED UNITS","Real Estate","Equity","1,316,180.52","0.81","1,316,180.52","119,951.00","-","AU000000CHC0","B15F6S6","10.97","Australia","Asx - All Markets","USD","1.29","AUD","-"
"RMG","ROYAL MAIL PLC","Industrials","Equity","1,302,990.19","0.81","1,302,990.19","229,407.00","-","GB00BDVZYZ77","BDVZYZ7","5.68","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","1,290,032.80","0.80","1,290,032.80","18,529.00","-","NL0012866412","BG0SCK9","69.62","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"MIN","MINERAL RESOURCES LTD","Materials","Equity","1,233,142.64","0.76","1,233,142.64","40,843.00","-","AU000000MIN4","B17ZL56","30.19","Australia","Asx - All Markets","USD","1.29","AUD","-"
