Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"JAPAN (GOVERNMENT OF) 5YR #133","Treasuries","Fixed Income","1,872,248.06","3.17","1,872,248.06","195,000,000.00","-","JP1051331H91","BDCLKQ7","0.96","Japan","-","USD","1.61","-0.13","104.59","Sep 20, 2022","0.10","1.61","-","-0.13","1.61","-0.13","JPY","Sep 20, 2017","Sep 20, 2017"
"JAPAN (GOVERNMENT OF) 10YR #321","Treasuries","Fixed Income","1,428,480.47","2.42","1,428,480.47","147,000,000.00","-","JP1103211C33","B6VJX86","0.97","Japan","-","USD","1.11","-0.12","104.59","Mar 20, 2022","1.00","1.10","-","-0.12","1.10","-0.12","JPY","Mar 21, 2012","Mar 20, 2012"
"FRANCE (REPUBLIC OF) RegS","Treasuries","Fixed Income","1,262,608.82","2.14","1,262,608.82","1,035,000.00","-","FR0013219177","BDSF8N6","121.99","France","-","USD","1.29","-0.65","0.83","May 25, 2022","0.00","1.30","-","-0.65","1.30","-0.65","EUR","Nov 21, 2016","May 25, 2016"
"JAPAN (GOVERNMENT OF) 5YR #135","Treasuries","Fixed Income","1,249,346.23","2.12","1,249,346.23","130,000,000.00","-","JP1051351J37","BFD1DN8","0.96","Japan","-","USD","2.11","-0.12","104.59","Mar 20, 2023","0.10","2.11","-","-0.12","2.11","-0.12","JPY","Mar 20, 2018","Mar 20, 2018"
"SWEDEN (KINGDOM OF)","Treasuries","Fixed Income","1,207,557.68","2.05","1,207,557.68","9,375,000.00","-","SE0003784461","B4L5335","12.59","Sweden","-","USD","1.28","-0.31","8.34","Jun 01, 2022","3.50","1.28","-","-0.31","1.28","-0.31","SEK","Feb 14, 2011","Jun 01, 2010"
"SWEDEN (KINGDOM OF)","Treasuries","Fixed Income","1,138,084.47","1.93","1,138,084.47","9,000,000.00","-","SE0004869071","B7XXQS4","12.60","Sweden","-","USD","2.72","-0.34","8.34","Nov 13, 2023","1.50","2.73","-","-0.34","2.73","-0.34","SEK","Oct 22, 2012","Nov 13, 2011"
"AUSTRALIA (COMMONWEALTH OF) RegS","Treasuries","Fixed Income","1,121,078.68","1.90","1,121,078.68","1,279,000.00","-","AU3TB0000101","B3WCKZ9","86.36","Australia","-","USD","2.07","0.12","1.29","Apr 21, 2023","5.50","2.07","-","0.12","2.07","0.12","AUD","May 23, 2011","Apr 21, 2011"
"FRANCE (REPUBLIC OF) RegS","Treasuries","Fixed Income","1,040,831.61","1.76","1,040,831.61","750,000.00","-","FR0010466938","B1XC366","137.27","France","-","USD","2.60","-0.66","0.83","Oct 25, 2023","4.25","2.61","-","-0.66","2.61","-0.66","EUR","May 09, 2007","Oct 25, 2006"
"DENMARK (KINGDOM OF)","Treasuries","Fixed Income","1,001,992.44","1.70","1,001,992.44","5,800,000.00","-","DK0009923054","B8QBWS4","17.22","Denmark","-","USD","2.73","-0.59","6.15","Nov 15, 2023","1.50","2.74","-","-0.59","2.74","-0.59","DKK","Sep 07, 2012","Nov 15, 2011"
"DENMARK (KINGDOM OF)","Treasuries","Fixed Income","991,287.32","1.68","991,287.32","6,005,000.00","-","DK0009923997","BJV3MD7","16.50","Denmark","-","USD","1.77","-0.55","6.15","Nov 15, 2022","0.25","1.77","-","-0.55","1.77","-0.55","DKK","May 10, 2019","Nov 15, 2018"
