Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"7741","HOYA CORP","Health Care","Equity","67,619.69","0.24","67,619.69","500.00","S64415060","JP3837800006","6441506","135.24","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"6594","NIDEC CORP","Industrials","Equity","60,074.25","0.21","60,074.25","500.00","S66406828","JP3734800000","6640682","120.15","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"6383","DAIFUKU LTD","Industrials","Equity","58,242.13","0.20","58,242.13","500.00","S62500251","JP3497400006","6250025","116.48","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"5947","RINNAI CORP","Consumer Discretionary","Equity","56,747.50","0.20","56,747.50","500.00","S67405829","JP3977400005","6740582","113.50","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"4612","NIPPON PAINT HOLDINGS LTD","Materials","Equity","56,265.37","0.20","56,265.37","500.00","S66405077","JP3749400002","6640507","112.53","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"6869","SYSMEX CORP","Health Care","Equity","55,976.09","0.19","55,976.09","500.00","S68838077","JP3351100007","6883807","111.95","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"6920","LASERTEC CORP","Information Technology","Equity","55,204.67","0.19","55,204.67","500.00","S65062671","JP3979200007","6506267","110.41","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","54,063.96","0.19","54,063.96","935.00","-","GB00B10RZP78","B10RZP7","57.82","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"3064","MONOTARO LTD","Industrials","Equity","50,913.65","0.18","50,913.65","1,000.00","-","JP3922950005","B1GHR88","50.91","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"CYBR","CYBER ARK SOFTWARE LTD","Information Technology","Equity","50,480.40","0.18","50,480.40","310.00","M2682V108","IL0011334468","BQT3XY6","162.84","Israel","NASDAQ","USD","1.00","USD","-"
"8227","SHIMAMURA LTD","Consumer Discretionary","Equity","50,190.44","0.17","50,190.44","500.00","S68040351","JP3358200008","6804035","100.38","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"6923","STANLEY ELECTRIC LTD","Consumer Discretionary","Equity","48,310.11","0.17","48,310.11","1,500.00","S68411065","JP3399400005","6841106","32.21","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","47,453.05","0.17","47,453.05","5.00","S59622803","CH0010570767","5962280","9,490.61","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"6963","ROHM LTD","Information Technology","Equity","46,622.63","0.16","46,622.63","500.00","S67472043","JP3982800009","6747204","93.25","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"3659","NEXON LTD","Communication","Equity","46,212.82","0.16","46,212.82","1,500.00","-","JP3758190007","B63QM77","30.81","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"6465","HOSHIZAKI CORP","Industrials","Equity","45,513.72","0.16","45,513.72","500.00","-","JP3845770001","B3FF8W8","91.03","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"1878","DAITO TRUST CONSTRUCTION LTD","Real Estate","Equity","45,272.65","0.16","45,272.65","500.00","S62505086","JP3486800000","6250508","90.55","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"9735","SECOM LTD","Industrials","Equity","44,694.08","0.16","44,694.08","500.00","S67915918","JP3421800008","6791591","89.39","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"4062","IBIDEN LTD","Information Technology","Equity","44,549.44","0.15","44,549.44","1,000.00","S64561020","JP3148800000","6456102","44.55","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"2413","M3 INC","Health Care","Equity","44,390.34","0.15","44,390.34","500.00","-","JP3435750009","B02K2M3","88.78","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"4182","MITSUBISHI GAS CHEMICAL INC","Materials","Equity","43,970.88","0.15","43,970.88","2,000.00","S65969230","JP3896800004","6596923","21.99","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"2282","NH FOODS LTD","Consumer Staples","Equity","43,778.02","0.15","43,778.02","1,000.00","S66407677","JP3743000006","6640767","43.78","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
"7282","TOYODA GOSEI LTD","Consumer Discretionary","Equity","43,305.53","0.15","43,305.53","1,500.00","S69005577","JP3634200004","6900557","28.87","Japan","Tokyo Stock Exchange","USD","103.71","JPY","-"
