Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BA","BOEING","Industrials","Equity","522,254,973.60","18.60","522,254,973.60","2,464,048.00","097023105","US0970231058","2108601","211.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","511,198,972.57","18.21","511,198,972.57","7,051,993.00","75513E101","US75513E1010","BM5M5Y3","72.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","147,790,472.88","5.26","147,790,472.88","437,457.00","539830109","US5398301094","2522096","337.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","129,303,930.08","4.61","129,303,930.08","809,972.00","369550108","US3695501086","2365161","159.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","125,826,240.67","4.48","125,826,240.67","209,651.00","893641100","US8936411003","B11FJK3","600.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","123,502,784.37","4.40","123,502,784.37","663,031.00","502431109","US5024311095","BK9DTN5","186.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","123,363,634.42","4.39","123,363,634.42","411,034.00","666807102","US6668071029","2648806","300.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Industrials","Equity","122,434,045.08","4.36","122,434,045.08","316,318.00","879360105","US8793601050","2503477","387.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","100,268,537.72","3.57","100,268,537.72","549,748.00","05464C101","US05464C1018","BDT5S35","182.39","United States","NASDAQ","USD","1.00","USD","-"
"TXT","TEXTRON INC","Industrials","Equity","98,478,485.10","3.51","98,478,485.10","1,979,865.00","883203101","US8832031012","2885937","49.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","93,642,999.86","3.34","93,642,999.86","3,375,739.00","443201108","US4432011082","BKLJ8V2","27.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HEIA","HEICO CORP CLASS A","Industrials","Equity","73,997,879.06","2.64","73,997,879.06","635,666.00","422806208","US4228062083","2237561","116.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPCE","VIRGIN GALACTIC HOLDINGS INC SHS C","Industrials","Equity","62,714,025.00","2.23","62,714,025.00","1,114,916.00","92766K106","US92766K1060","BKWBFH2","56.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Industrials","Equity","57,804,030.70","2.06","57,804,030.70","350,285.00","446413106","US4464131063","B40SSC9","165.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HEI","HEICO CORP","Industrials","Equity","48,203,208.96","1.72","48,203,208.96","365,619.00","422806109","US4228061093","2419217","131.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BWXT","BWX TECHNOLOGIES INC","Industrials","Equity","46,987,229.18","1.67","46,987,229.18","824,482.00","05605H100","US05605H1005","BZ0W624","56.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CW","CURTISS WRIGHT CORP","Industrials","Equity","40,781,081.80","1.45","40,781,081.80","359,020.00","231561101","US2315611010","2241205","113.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROLL","RBC BEARINGS INC","Industrials","Equity","39,426,646.98","1.40","39,426,646.98","217,131.00","75524B104","US75524B1044","B0GLYB5","181.58","United States","NASDAQ","USD","1.00","USD","-"
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Industrials","Equity","36,753,800.18","1.31","36,753,800.18","913,819.00","848574109","US8485741099","B1HMMS7","40.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
