Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DHI","D R HORTON INC","Consumer Discretionary","Equity","264,782,701.68","13.50","264,782,701.68","3,817,513.00","23331A109","US23331A1097","2250687","69.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP","Consumer Discretionary","Equity","242,582,894.28","12.37","242,582,894.28","3,167,292.00","526057104","US5260571048","2511920","76.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVR","NVR INC","Consumer Discretionary","Equity","161,468,656.65","8.23","161,468,656.65","40,267.00","62944T105","US62944T1051","2637785","4,009.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","131,791,116.10","6.72","131,791,116.10","3,086,443.00","745867101","US7458671010","2708841","42.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","90,168,531.70","4.60","90,168,531.70","526,255.00","548661107","US5486611073","2536763","171.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","87,443,329.05","4.46","87,443,329.05","317,295.00","437076102","US4370761029","2434209","275.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","84,839,287.05","4.33","84,839,287.05","116,931.00","824348106","US8243481061","2804211","725.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLD","TOPBUILD CORP","Consumer Discretionary","Equity","76,124,843.01","3.88","76,124,843.01","380,187.00","89055F103","US89055F1030","BZ0P3W2","200.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TOL","TOLL BROTHERS INC","Consumer Discretionary","Equity","58,984,962.80","3.01","58,984,962.80","1,321,940.00","889478103","US8894781033","2896092","44.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAS","MASCO CORP","Industrials","Equity","50,420,927.61","2.57","50,420,927.61","898,929.00","574599106","US5745991068","2570200","56.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
