Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","1,861,511,948.12","5.46","1,861,511,948.12","13,549,108.00","037833100","US0378331005","2046251","137.39","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,551,196,492.38","4.55","1,551,196,492.38","6,409,638.00","594918104","US5949181045","2588173","242.01","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,204,589,530.00","3.53","1,204,589,530.00","361,630.00","023135106","US0231351067","2000019","3,331.00","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","546,495,970.56","1.60","546,495,970.56","642,944.00","88160R101","US88160R1014","B616C79","849.99","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","543,143,395.62","1.59","543,143,395.62","2,038,138.00","30303M102","US30303M1027","B7TL820","266.49","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","523,570,914.87","1.53","523,570,914.87","254,949.00","02079K305","US02079K3059","BYVY8G0","2,053.63","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","507,409,015.84","1.49","507,409,015.84","246,032.00","02079K107","US02079K1079","BYY88Y7","2,062.37","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","388,984,191.42","1.14","388,984,191.42","1,649,846.00","084670702","US0846707026","2073390","235.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","361,535,275.63","1.06","361,535,275.63","2,231,837.00","478160104","US4781601046","2475833","161.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","357,260,396.50","1.05","357,260,396.50","2,584,162.00","46625H100","US46625H1005","2190385","138.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","300,800,013.75","0.88","300,800,013.75","1,437,515.00","92826C839","US92826C8394","B2PZN04","209.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","286,704,933.21","0.84","286,704,933.21","524,553.00","67066G104","US67066G1040","2379504","546.57","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","276,365,763.38","0.81","276,365,763.38","1,533,406.00","254687106","US2546871060","2270726","180.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","271,245,704.73","0.79","271,245,704.73","2,102,191.00","742718109","US7427181091","2704407","129.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","268,636,778.67","0.79","268,636,778.67","993,369.00","70450Y103","US70450Y1038","BYW36M8","270.43","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","264,906,325.28","0.78","264,906,325.28","804,404.00","91324P102","US91324P1021","2917766","329.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","254,476,783.44","0.75","254,476,783.44","912,692.00","437076102","US4370761029","2434209","278.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","254,188,287.36","0.74","254,188,287.36","745,792.00","57636Q104","US57636Q1040","B121557","340.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","209,752,367.50","0.61","209,752,367.50","6,453,919.00","060505104","US0605051046","2295677","32.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","207,020,244.48","0.61","207,020,244.48","374,928.00","64110L106","US64110L1061","2857817","552.16","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","204,253,332.73","0.60","204,253,332.73","3,474,287.00","458140100","US4581401001","2463247","58.79","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","199,063,634.46","0.58","199,063,634.46","406,767.00","00724F101","US00724F1012","2008154","489.38","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","198,846,583.95","0.58","198,846,583.95","3,864,851.00","20030N101","US20030N1019","2044545","51.45","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","193,442,258.28","0.57","193,442,258.28","3,508,202.00","92343V104","US92343V1044","2090571","55.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","184,870,003.40","0.54","184,870,003.40","776,830.00","79466L302","US79466L3024","2310525","237.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","179,595,391.72","0.53","179,595,391.72","1,499,878.00","002824100","US0028241000","2002305","119.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","174,462,405.39","0.51","174,462,405.39","6,038,851.00","00206R102","US00206R1023","2831811","28.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
