Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","1,198,076,615.01","11.65","1,198,076,615.01","9,153,309.00","037833100","US0378331005","2046251","130.89","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","936,781,838.58","9.11","936,781,838.58","4,330,137.00","594918104","US5949181045","2588173","216.34","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","773,278,130.17","7.52","773,278,130.17","244,253.00","023135106","US0231351067","2000019","3,165.89","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","371,140,324.62","3.61","371,140,324.62","434,382.00","88160R101","US88160R1014","B616C79","854.41","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","346,407,875.64","3.37","346,407,875.64","1,376,601.00","30303M102","US30303M1027","B7TL820","251.64","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","300,857,230.25","2.93","300,857,230.25","172,189.00","02079K305","US02079K3059","BYVY8G0","1,747.25","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","291,718,123.20","2.84","291,718,123.20","166,278.00","02079K107","US02079K1079","BYY88Y7","1,754.40","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","191,905,113.42","1.87","191,905,113.42","354,546.00","67066G104","US67066G1040","2379504","541.27","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","164,362,186.00","1.60","164,362,186.00","671,140.00","70450Y103","US70450Y1038","BYW36M8","244.90","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","129,714,147.45","1.26","129,714,147.45","274,789.00","00724F101","US00724F1012","2008154","472.05","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","128,492,704.97","1.25","128,492,704.97","253,043.00","64110L106","US64110L1061","2857817","507.79","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","121,998,293.80","1.19","121,998,293.80","582,748.00","92826C839","US92826C8394","B2PZN04","209.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","121,671,896.85","1.18","121,671,896.85","443,977.00","437076102","US4370761029","2434209","274.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","118,664,779.55","1.15","118,664,779.55","342,635.00","57636Q104","US57636Q1040","B121557","346.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
