Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","207,776,419.68","2.77","207,776,419.68","936,436.00","084670702","US0846707026","2073390","221.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","178,458,134.13","2.38","178,458,134.13","1,466,739.00","46625H100","US46625H1005","2190385","121.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","148,491,608.30","1.98","148,491,608.30","871,174.00","254687106","US2546871060","2270726","170.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","117,459,059.31","1.57","117,459,059.31","1,991,169.00","92343V104","US92343V1044","2090571","58.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","116,073,461.52","1.55","116,073,461.52","760,041.00","478160104","US4781601046","2475833","152.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","106,998,596.01","1.43","106,998,596.01","3,663,081.00","060505104","US0605051046","2295677","29.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","98,264,620.30","1.31","98,264,620.30","2,674,595.00","717081103","US7170811035","2684703","36.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","97,380,504.40","1.30","97,380,504.40","3,428,891.00","00206R102","US00206R1023","2831811","28.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","96,193,512.80","1.28","96,193,512.80","667,084.00","931142103","US9311421039","2936921","144.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","91,041,422.58","1.22","91,041,422.58","1,971,874.00","458140100","US4581401001","2463247","46.17","United States","NASDAQ","USD","1.00","USD","-"
