Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","557,157,207.20","3.03","557,157,207.20","2,426,960.00","084670702","US0846707026","2073390","229.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","475,258,392.63","2.59","475,258,392.63","3,801,763.00","46625H100","US46625H1005","2190385","125.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","400,354,747.20","2.18","400,354,747.20","2,258,064.00","254687106","US2546871060","2270726","177.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","303,657,341.40","1.65","303,657,341.40","1,970,010.00","478160104","US4781601046","2475833","154.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","303,523,350.04","1.65","303,523,350.04","5,161,084.00","92343V104","US92343V1044","2090571","58.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","284,934,686.58","1.55","284,934,686.58","9,494,658.00","060505104","US0605051046","2295677","30.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","256,849,569.60","1.40","256,849,569.60","6,932,512.00","717081103","US7170811035","2684703","37.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","253,653,331.22","1.38","253,653,331.22","8,887,643.00","00206R102","US00206R1023","2831811","28.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","252,436,241.20","1.37","252,436,241.20","5,111,080.00","458140100","US4581401001","2463247","49.39","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","249,505,811.10","1.36","249,505,811.10","1,729,077.00","931142103","US9311421039","2936921","144.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","235,258,201.44","1.28","235,258,201.44","5,270,121.00","17275R102","US17275R1023","2198163","44.64","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","222,599,984.58","1.21","222,599,984.58","1,608,149.00","742718109","US7427181091","2704407","138.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","217,637,757.70","1.18","217,637,757.70","5,273,510.00","30231G102","US30231G1022","2326618","41.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","203,144,548.72","1.11","203,144,548.72","2,400,952.00","166764100","US1667641005","2838555","84.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","197,239,571.35","1.07","197,239,571.35","567,841.00","91324P102","US91324P1021","2917766","347.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","194,015,448.90","1.06","194,015,448.90","1,678,770.00","G5960L103","IE00BTN1Y115","BTN1Y11","115.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","183,020,537.76","1.00","183,020,537.76","875,152.00","438516106","US4385161066","2020459","209.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","181,346,087.13","0.99","181,346,087.13","845,949.00","92826C839","US92826C8394","B2PZN04","214.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","169,724,560.87","0.92","169,724,560.87","3,135,499.00","191216100","US1912161007","2206657","54.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","164,392,486.05","0.89","164,392,486.05","3,188,991.00","20030N101","US20030N1019","2044545","51.55","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","159,016,510.35","0.87","159,016,510.35","1,942,305.00","718172109","US7181721090","B2PKRQ3","81.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","158,161,768.77","0.86","158,161,768.77","2,596,647.00","172967424","US1729674242","2297907","60.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","153,563,399.10","0.84","153,563,399.10","5,156,595.00","949746101","US9497461015","2649100","29.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","147,373,857.54","0.80","147,373,857.54","999,687.00","713448108","US7134481081","2681511","147.42","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","143,066,242.50","0.78","143,066,242.50","661,578.00","097023105","US0970231058","2108601","216.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","137,583,396.80","0.75","137,583,396.80","1,111,336.00","459200101","US4592001014","2005973","123.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","133,598,169.84","0.73","133,598,169.84","1,640,852.00","58933Y105","US58933Y1055","2778844","81.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","133,235,777.12","0.73","133,235,777.12","1,894,168.00","75513E101","US75513E1010","BM5M5Y3","70.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
