Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BATS","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","24,894,053.07","2.90","24,894,053.07","639,583.00","S02875805","GB0002875804","0287580","38.92","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"NOVN","NOVARTIS AG","Health Care","Equity","22,215,618.21","2.59","22,215,618.21","253,182.00","S71030654","CH0012005267","7103065","87.75","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","18,723,713.22","2.18","18,723,713.22","242,800.00","S69006435","JP3633400001","6900643","77.12","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"6501","HITACHI LTD","Information Technology","Equity","17,839,480.73","2.08","17,839,480.73","366,300.00","S64291040","JP3788600009","6429104","48.70","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"SAN","SANOFI SA","Health Care","Equity","17,546,486.29","2.04","17,546,486.29","176,563.00","S56717358","FR0000120578","5671735","99.38","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BAYN","BAYER AG","Health Care","Equity","15,257,889.27","1.78","15,257,889.27","243,076.00","S50692110","DE000BAY0017","5069211","62.77","Germany","Xetra","USD","0.85","EUR","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","12,333,939.15","1.44","12,333,939.15","2,189,000.00","S63351712","JP3902900004","6335171","5.63","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"BNP","BNP PARIBAS SA","Financials","Equity","11,592,942.17","1.35","11,592,942.17","194,494.00","S73096810","FR0000131104","7309681","59.61","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"8001","ITOCHU CORP","Industrials","Equity","11,529,561.81","1.34","11,529,561.81","350,000.00","S64678030","JP3143600009","6467803","32.94","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8058","MITSUBISHI CORP","Industrials","Equity","11,062,858.70","1.29","11,062,858.70","370,800.00","S65967853","JP3898400001","6596785","29.84","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8031","MITSUI LTD","Industrials","Equity","10,387,805.41","1.21","10,387,805.41","477,200.00","S65973026","JP3893600001","6597302","21.77","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"RIO","RIO TINTO PLC","Materials","Equity","10,235,183.56","1.19","10,235,183.56","135,633.00","S07188758","GB0007188757","0718875","75.46","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","9,720,051.83","1.13","9,720,051.83","112,100.00","S55290274","DE0007100000","5529027","86.71","Germany","Xetra","USD","0.85","EUR","-"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","9,716,347.80","1.13","9,716,347.80","35,951.00","S54971684","DE0007664039","5497168","270.27","Germany","Xetra","USD","0.85","EUR","Jan 02, 1990"
"SAN","BANCO SANTANDER SA","Financials","Equity","9,363,241.96","1.09","9,363,241.96","2,779,180.00","S57059461","ES0113900J37","5705946","3.37","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"ENEL","ENEL","Utilities","Equity","9,133,459.98","1.06","9,133,459.98","912,688.00","S71445696","IT0003128367","7144569","10.01","Italy","Borsa Italiana","USD","0.85","EUR","-"
"STLA","STELLANTIS NV","Consumer Discretionary","Equity","9,092,267.85","1.06","9,092,267.85","527,160.00","-","NL00150001Q9","BMD8KX7","17.25","Italy","Borsa Italiana","USD","0.85","EUR","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","8,687,974.86","1.01","8,687,974.86","228,700.00","S65630246","JP3890350006","6563024","37.99","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"BARC","BARCLAYS PLC","Financials","Equity","8,208,674.29","0.96","8,208,674.29","3,304,722.00","S31348659","GB0031348658","3134865","2.48","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","8,147,763.51","0.95","8,147,763.51","98,500.00","S67706200","JP3436100006","6770620","82.72","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","8,043,373.42","0.94","8,043,373.42","265,700.00","S64351455","JP3854600008","6435145","30.27","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"1","CK HUTCHISON HOLDINGS LTD","Industrials","Equity","7,913,703.27","0.92","7,913,703.27","990,500.00","-","KYG217651051","BW9P816","7.99","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","7,885,669.66","0.92","7,885,669.66","203,935.00","-","GB00B1XZS820","B1XZS82","38.67","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"FP","TOTAL","Energy","Equity","7,818,910.33","0.91","7,818,910.33","167,235.00","-","FR0000120271","B15C557","46.75","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"INGA","ING GROEP NV","Financials","Equity","6,935,953.96","0.81","6,935,953.96","584,705.00","-","NL0011821202","BZ57390","11.86","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","6,636,721.08","0.77","6,636,721.08","40,930.00","S57279739","DE0007236101","5727973","162.15","Germany","Xetra","USD","0.85","EUR","-"
"GLEN","GLENCORE PLC","Materials","Equity","6,426,220.30","0.75","6,426,220.30","1,639,149.00","-","JE00B4T3BW64","B4T3BW6","3.92","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrials","Equity","6,415,257.71","0.75","6,415,257.71","108,162.00","S73804825","FR0000125007","7380482","59.31","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"CS","AXA SA","Financials","Equity","6,413,612.71","0.75","6,413,612.71","240,659.00","S70884291","FR0000120628","7088429","26.65","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","6,199,764.69","0.72","6,199,764.69","407,270.00","S65910143","JP3885780001","6591014","15.22","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"RDSA","ROYAL DUTCH SHELL PLC","Energy","Equity","6,182,473.74","0.72","6,182,473.74","311,090.00","-","GB00B03MLX29","B03MLX2","19.87","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"3382","SEVEN & I HOLDINGS LTD","Consumer Staples","Equity","6,106,650.27","0.71","6,106,650.27","146,200.00","-","JP3422950000","B0FS5D6","41.77","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
