Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","15,723,858,824.28","6.48","15,723,858,824.28","119,093,076.00","037833100","US0378331005","2046251","132.03","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,639,351,718.74","5.21","12,639,351,718.74","56,340,161.00","594918104","US5949181045","2588173","224.34","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,371,145,648.44","4.27","10,371,145,648.44","3,178,038.00","023135106","US0231351067","2000019","3,263.38","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,805,487,285.35","1.98","4,805,487,285.35","5,650,523.00","88160R101","US88160R1014","B616C79","850.45","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","4,791,411,234.36","1.97","4,791,411,234.36","17,913,157.00","30303M102","US30303M1027","B7TL820","267.48","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,211,751,614.70","1.74","4,211,751,614.70","2,240,210.00","02079K305","US02079K3059","BYVY8G0","1,880.07","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,082,160,971.80","1.68","4,082,160,971.80","2,163,422.00","02079K107","US02079K1079","BYY88Y7","1,886.90","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,404,388,573.20","1.40","3,404,388,573.20","14,501,570.00","084670702","US0846707026","2073390","234.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,186,131,862.90","1.31","3,186,131,862.90","19,621,455.00","478160104","US4781601046","2475833","162.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,088,348,204.41","1.27","3,088,348,204.41","22,713,453.00","46625H100","US46625H1005","2190385","135.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","2,603,736,492.84","1.07","2,603,736,492.84","12,638,884.00","92826C839","US92826C8394","B2PZN04","206.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","2,480,505,108.76","1.02","2,480,505,108.76","7,070,189.00","91324P102","US91324P1021","2917766","350.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,466,779,612.22","1.02","2,466,779,612.22","4,613,994.00","67066G104","US67066G1040","2379504","534.63","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,437,631,954.51","1.00","2,437,631,954.51","18,476,707.00","742718109","US7427181091","2704407","131.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,343,293,157.72","0.97","2,343,293,157.72","13,495,123.00","254687106","US2546871060","2270726","173.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,201,303,308.10","0.91","2,201,303,308.10","8,025,167.00","437076102","US4370761029","2434209","274.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","2,195,410,069.84","0.90","2,195,410,069.84","6,555,224.00","57636Q104","US57636Q1040","B121557","334.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","2,132,603,038.98","0.88","2,132,603,038.98","8,730,873.00","70450Y103","US70450Y1038","BYW36M8","244.26","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,931,040,429.20","0.80","1,931,040,429.20","3,293,380.00","64110L106","US64110L1061","2857817","586.34","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,835,382,026.94","0.76","1,835,382,026.94","56,752,691.00","060505104","US0605051046","2295677","32.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,792,437,554.59","0.74","1,792,437,554.59","30,551,177.00","458140100","US4581401001","2463247","58.67","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,765,607,805.50","0.73","1,765,607,805.50","30,834,925.00","92343V104","US92343V1044","2090571","57.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,679,837,152.48","0.69","1,679,837,152.48","3,576,176.00","00724F101","US00724F1012","2008154","469.73","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,663,023,319.36","0.69","1,663,023,319.36","34,022,572.00","20030N101","US20030N1019","2044545","48.88","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,561,395,111.90","0.64","1,561,395,111.90","31,524,230.00","30231G102","US30231G1022","2326618","49.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","1,554,571,542.72","0.64","1,554,571,542.72","18,852,432.00","58933Y105","US58933Y1055","2778844","82.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,538,491,022.40","0.63","1,538,491,022.40","53,124,690.00","00206R102","US00206R1023","2831811","28.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,524,245,299.20","0.63","1,524,245,299.20","2,954,880.00","883556102","US8835561023","2886907","515.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","1,523,452,128.24","0.63","1,523,452,128.24","6,818,171.00","79466L302","US79466L3024","2310525","223.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,511,760,905.50","0.62","1,511,760,905.50","41,418,107.00","717081103","US7170811035","2684703","36.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","1,503,929,809.27","0.62","1,503,929,809.27","10,335,577.00","931142103","US9311421039","2936921","145.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,490,893,525.56","0.61","1,490,893,525.56","13,206,604.00","002824100","US0028241000","2002305","112.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","1,482,392,846.70","0.61","1,482,392,846.70","13,162,785.00","00287Y109","US00287Y1091","B92SR70","112.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","1,456,116,347.49","0.60","1,456,116,347.49","10,302,953.00","713448108","US7134481081","2681511","141.33","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,427,587,436.46","0.59","1,427,587,436.46","31,486,269.00","17275R102","US17275R1023","2198163","45.34","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","1,403,659,516.92","0.58","1,403,659,516.92","28,834,419.00","191216100","US1912161007","2206657","48.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,392,197,772.24","0.57","1,392,197,772.24","3,014,198.00","11135F101","US11135F1012","BDZ78H9","461.88","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,387,189,708.60","0.57","1,387,189,708.60","8,427,641.00","747525103","US7475251036","2714923","164.60","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","1,368,173,068.72","0.56","1,368,173,068.72","14,344,444.00","166764100","US1667641005","2838555","95.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,335,216,556.80","0.55","1,335,216,556.80","9,350,256.00","654106103","US6541061031","2640147","142.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,235,333,603.20","0.51","1,235,333,603.20","4,720,960.00","G1151C101","IE00B4BNMY34","B4BNMY3","261.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,226,960,891.40","0.51","1,226,960,891.40","14,597,988.00","65339F101","US65339F1012","2328915","84.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,197,256,947.96","0.49","1,197,256,947.96","10,036,524.00","G5960L103","IE00BTN1Y115","BTN1Y11","119.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","1,190,680,323.80","0.49","1,190,680,323.80","5,916,130.00","532457108","US5324571083","2516152","201.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","1,188,654,238.10","0.49","1,188,654,238.10","3,289,937.00","22160K105","US22160K1051","2701271","361.30","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","1,186,888,758.45","0.49","1,186,888,758.45","5,555,815.00","580135101","US5801351017","2550707","213.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,185,583,093.22","0.49","1,185,583,093.22","6,840,034.00","882508104","US8825081040","2885409","173.33","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,117,605,886.10","0.46","1,117,605,886.10","4,714,642.00","235851102","US2358511028","2250870","237.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,116,369,342.50","0.46","1,116,369,342.50","16,850,858.00","110122108","US1101221083","2126335","66.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,095,534,361.38","0.45","1,095,534,361.38","5,021,241.00","907818108","US9078181081","2914734","218.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,094,765,691.96","0.45","1,094,765,691.96","4,338,111.00","031162100","US0311621009","2023607","252.36","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,088,750,717.28","0.45","1,088,750,717.28","5,232,366.00","438516106","US4385161066","2020459","208.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,007,462,055.60","0.42","1,007,462,055.60","3,913,994.00","G5494J103","IE00BZ12WP82","BZ12WP8","257.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,000,028,978.40","0.41","1,000,028,978.40","30,808,040.00","949746101","US9497461015","2649100","32.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","982,054,350.75","0.40","982,054,350.75","15,526,551.00","172967424","US1729674242","2297907","63.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","948,077,110.70","0.39","948,077,110.70","11,604,371.00","718172109","US7181721090","B2PKRQ3","81.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","941,206,130.11","0.39","941,206,130.11","5,459,749.00","548661107","US5486611073","2536763","172.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","922,340,293.88","0.38","922,340,293.88","8,745,878.00","855244109","US8552441094","2842255","105.46","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","870,116,249.52","0.36","870,116,249.52","14,134,442.00","68389X105","US68389X1054","2661568","61.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","863,695,167.84","0.36","863,695,167.84","6,639,723.00","459200101","US4592001014","2005973","130.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","852,562,584.00","0.35","852,562,584.00","5,333,850.00","911312106","US9113121068","2517382","159.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","836,109,669.40","0.34","836,109,669.40","3,954,172.00","097023105","US0970231058","2108601","211.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","797,949,543.32","0.33","797,949,543.32","10,662,073.00","617446448","US6174464486","2262314","74.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","796,087,500.00","0.33","796,087,500.00","8,970,000.00","007903107","US0079031078","2007849","88.75","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","786,779,499.66","0.32","786,779,499.66","1,451,114.00","81762P102","US81762P1021","B80NXX8","542.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","783,705,447.48","0.32","783,705,447.48","1,056,862.00","09247X101","US09247X1019","2494504","741.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","779,799,625.24","0.32","779,799,625.24","11,327,711.00","75513E101","US75513E1010","BM5M5Y3","68.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","779,423,421.14","0.32","779,423,421.14","4,052,321.00","149123101","US1491231015","2180201","192.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","763,283,181.00","0.31","763,283,181.00","1,959,850.00","461202103","US4612021034","2459020","389.46","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","744,681,424.64","0.31","744,681,424.64","2,563,712.00","38141G104","US38141G1040","2407966","290.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","743,468,843.97","0.31","743,468,843.97","65,273,823.00","369604103","US3696041033","2380498","11.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","737,400,908.88","0.30","737,400,908.88","3,309,996.00","03027X100","US03027X1000","B7FBFL2","222.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
