Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","1,492,873,904.04","5.70","1,492,873,904.04","11,678,588.00","037833100","US0378331005","2046251","127.83","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,172,902,861.48","4.48","1,172,902,861.48","5,419,067.00","594918104","US5949181045","2588173","216.44","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","957,611,447.52","3.66","957,611,447.52","306,852.00","023135106","US0231351067","2000019","3,120.76","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","462,256,841.55","1.77","462,256,841.55","547,341.00","88160R101","US88160R1014","B616C79","844.55","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","453,789,450.10","1.73","453,789,450.10","1,737,991.00","30303M102","US30303M1027","B7TL820","261.10","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","387,656,478.33","1.48","387,656,478.33","217,239.00","02079K305","US02079K3059","BYVY8G0","1,784.47","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","376,888,277.86","1.44","376,888,277.86","210,451.00","02079K107","US02079K1079","BYY88Y7","1,790.86","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","319,296,667.80","1.22","319,296,667.80","1,361,316.00","084670702","US0846707026","2073390","234.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","310,572,194.28","1.19","310,572,194.28","1,907,926.00","478160104","US4781601046","2475833","162.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","302,506,515.64","1.16","302,506,515.64","2,191,441.00","46625H100","US46625H1005","2190385","138.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","246,331,924.86","0.94","246,331,924.86","1,221,521.00","92826C839","US92826C8394","B2PZN04","201.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
