Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FCEL","FUELCELL ENERGY INC","Industrials","Equity","13,204,733.12","1.18","13,204,733.12","728,537.00","35952H601","US35952H6018","BK6S6J8","18.13","United States","NASDAQ","USD","1.00","USD","-"
"APPS","DIGITAL TURBINE INC","Information Technology","Equity","12,373,787.88","1.11","12,373,787.88","213,084.00","25400W102","US25400W1027","BVFNZL6","58.07","United States","NASDAQ","USD","1.00","USD","-"
"NTLA","INTELLIA THERAPEUTICS INC","Health Care","Equity","10,604,766.40","0.95","10,604,766.40","126,730.00","45826J105","US45826J1051","BYZM6C2","83.68","United States","NASDAQ","USD","1.00","USD","-"
"MGNI","MAGNITE INC","Consumer Discretionary","Equity","9,438,690.30","0.85","9,438,690.30","271,930.00","55955D100","US55955D1000","BLPNRR6","34.71","United States","NASDAQ","USD","1.00","USD","-"
"MAXR","MAXAR TECHNOLOGIES INC","Industrials","Equity","8,463,910.55","0.76","8,463,910.55","154,705.00","57778K105","US57778K1051","BF2KYF5","54.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OSTK","OVERSTOCK COM INC","Consumer Discretionary","Equity","6,804,443.40","0.61","6,804,443.40","108,110.00","690370101","US6903701018","2855930","62.94","United States","NASDAQ","USD","1.00","USD","-"
"CELH","CELSIUS HOLDINGS INC","Consumer Staples","Equity","6,255,450.74","0.56","6,255,450.74","89,903.00","15118V207","US15118V2079","B19HX21","69.58","United States","NASDAQ","USD","1.00","USD","-"
"SRNE","SORRENTO THERAPEUTICS INC","Health Care","Equity","5,978,365.39","0.54","5,978,365.39","633,973.00","83587F202","US83587F2020","BCT5QQ7","9.43","United States","NASDAQ","USD","1.00","USD","-"
"GME","GAMESTOP CORP CLASS A","Consumer Discretionary","Equity","5,731,721.28","0.51","5,731,721.28","145,623.00","36467W109","US36467W1099","B0LLFT5","39.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WKHS","WORKHORSE GROUP INC","Consumer Discretionary","Equity","5,672,818.80","0.51","5,672,818.80","238,755.00","98138J206","US98138J2069","BYPLQF2","23.76","United States","NASDAQ","USD","1.00","USD","-"
