Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,106,908,326.24","2.51","1,106,908,326.24","4,766,226.00","084670702","US0846707026","2073390","232.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","1,025,371,105.99","2.32","1,025,371,105.99","7,674,359.00","46625H100","US46625H1005","2190385","133.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","932,958,798.75","2.11","932,958,798.75","5,785,791.00","478160104","US4781601046","2475833","161.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","810,302,317.44","1.83","810,302,317.44","4,579,014.00","254687106","US2546871060","2270726","176.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","608,102,015.87","1.38","608,102,015.87","19,597,229.00","060505104","US0605051046","2295677","31.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","602,880,188.00","1.36","602,880,188.00","10,394,486.00","458140100","US4581401001","2463247","58.00","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","587,593,434.42","1.33","587,593,434.42","11,480,919.00","20030N101","US20030N1019","2044545","51.18","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","572,154,625.00","1.30","572,154,625.00","10,498,250.00","92343V104","US92343V1044","2090571","54.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","515,632,922.04","1.17","515,632,922.04","18,067,026.00","00206R102","US00206R1023","2831811","28.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","497,002,280.46","1.12","497,002,280.46","3,530,598.00","931142103","US9311421039","2936921","140.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","493,073,145.86","1.12","493,073,145.86","10,758,742.00","17275R102","US17275R1023","2198163","45.83","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","492,986,496.46","1.12","492,986,496.46","14,089,354.00","717081103","US7170811035","2684703","34.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","489,291,813.27","1.11","489,291,813.27","10,723,029.00","30231G102","US30231G1022","2326618","45.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","439,740,060.84","1.00","439,740,060.84","3,414,396.00","742718109","US7427181091","2704407","128.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","424,845,399.90","0.96","424,845,399.90","4,879,915.00","166764100","US1667641005","2838555","87.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","411,290,671.56","0.93","411,290,671.56","4,959,492.00","65339F101","US65339F1012","2328915","82.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","388,765,434.35","0.88","388,765,434.35","1,586,215.00","235851102","US2358511028","2250870","245.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","387,257,365.75","0.88","387,257,365.75","3,398,485.00","G5960L103","IE00BTN1Y115","BTN1Y11","113.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","370,374,379.20","0.84","370,374,379.20","1,360,870.00","437076102","US4370761029","2434209","272.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","355,991,066.56","0.81","355,991,066.56","1,778,888.00","438516106","US4385161066","2020459","200.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","339,114,587.04","0.77","339,114,587.04","1,616,679.00","580135101","US5801351017","2550707","209.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","335,742,479.75","0.76","335,742,479.75","1,330,991.00","G5494J103","IE00BZ12WP82","BZ12WP8","252.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","326,931,687.60","0.74","326,931,687.60","170,355.00","02079K305","US02079K3059","BYVY8G0","1,919.12","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","324,561,787.92","0.73","324,561,787.92","2,699,283.00","002824100","US0028241000","2002305","120.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","318,066,135.14","0.72","318,066,135.14","165,014.00","02079K107","US02079K1079","BYY88Y7","1,927.51","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","314,412,477.84","0.71","314,412,477.84","5,277,148.00","172967424","US1729674242","2297907","59.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","312,585,628.81","0.71","312,585,628.81","3,943,303.00","718172109","US7181721090","B2PKRQ3","79.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","292,283,362.50","0.66","292,283,362.50","9,505,150.00","949746101","US9497461015","2649100","30.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","271,989,972.72","0.62","271,989,972.72","1,353,588.00","097023105","US0970231058","2108601","200.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","271,984,591.50","0.62","271,984,591.50","372,837.00","09247X101","US09247X1019","2494504","729.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","268,620,560.00","0.61","268,620,560.00","2,249,000.00","459200101","US4592001014","2005973","119.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","264,037,042.50","0.60","264,037,042.50","1,371,621.00","149123101","US1491231015","2180201","192.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","253,136,452.38","0.57","253,136,452.38","3,609,017.00","75513E101","US75513E1010","BM5M5Y3","70.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","247,441,732.36","0.56","247,441,732.36","22,014,389.00","369604103","US3696041033","2380498","11.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","240,793,370.33","0.55","240,793,370.33","839,089.00","38141G104","US38141G1040","2407966","286.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","239,564,732.55","0.54","239,564,732.55","3,376,529.00","617446448","US6174464486","2262314","70.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","237,884,295.44","0.54","237,884,295.44","3,311,768.00","126650100","US1266501006","2577609","71.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","234,822,758.43","0.53","234,822,758.43","1,265,277.00","87612E106","US87612E1064","2259101","185.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","229,911,623.48","0.52","229,911,623.48","2,816,854.00","595112103","US5951121038","2588184","81.62","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","229,788,778.92","0.52","229,788,778.92","3,650,918.00","110122108","US1101221083","2126335","62.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","215,988,449.18","0.49","215,988,449.18","713,917.00","244199105","US2441991054","2261203","302.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","214,165,853.25","0.48","214,165,853.25","413,025.00","883556102","US8835561023","2886907","518.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","207,098,420.10","0.47","207,098,420.10","3,179,770.00","375558103","US3755581036","2369174","65.13","United States","NASDAQ","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","206,832,964.64","0.47","206,832,964.64","1,563,127.00","31620M106","US31620M1062","2769796","132.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","203,933,599.50","0.46","203,933,599.50","1,167,002.00","882508104","US8825081040","2885409","174.75","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","200,775,762.72","0.45","200,775,762.72","3,575,067.00","609207105","US6092071058","B8CKK03","56.16","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","199,934,842.70","0.45","199,934,842.70","1,656,461.00","025816109","US0258161092","2026082","120.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","199,172,162.56","0.45","199,172,162.56","1,863,512.00","74340W103","US74340W1036","B44WZD7","106.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","197,916,785.28","0.45","197,916,785.28","4,042,418.00","191216100","US1912161007","2206657","48.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","190,308,549.06","0.43","190,308,549.06","3,489,339.00","808513105","US8085131055","2779397","54.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","183,725,803.47","0.42","183,725,803.47","1,393,023.00","872590104","US8725901040","B94Q9V0","131.89","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","180,436,419.84","0.41","180,436,419.84","698,716.00","075887109","US0758871091","2087807","258.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","173,538,652.51","0.39","173,538,652.51","842,707.00","907818108","US9078181081","2914734","205.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","173,167,806.96","0.39","173,167,806.96","1,931,814.00","126408103","US1264081035","2160753","89.64","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","173,169,258.50","0.39","173,169,258.50","1,860,035.00","26441C204","US26441C2044","B7VD3F2","93.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","172,623,902.36","0.39","172,623,902.36","899,036.00","12572Q105","US12572Q1058","2965839","192.01","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","171,532,562.88","0.39","171,532,562.88","1,138,692.00","-","CH0044328745","B3BQMF6","150.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","171,307,080.52","0.39","171,307,080.52","3,411,812.00","89832Q109","US89832Q1094","BKP7287","50.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","168,252,732.05","0.38","168,252,732.05","2,133,833.00","194162103","US1941621039","2209106","78.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","166,939,250.72","0.38","166,939,250.72","3,166,526.00","37045V100","US37045V1008","B665KZ5","52.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","161,591,865.60","0.37","161,591,865.60","1,074,414.00","693475105","US6934751057","2692665","150.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","159,758,960.40","0.36","159,758,960.40","648,504.00","655844108","US6558441084","2641894","246.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","159,503,422.68","0.36","159,503,422.68","2,674,437.00","842587107","US8425871071","2829601","59.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","152,373,414.75","0.34","152,373,414.75","3,443,467.00","902973304","US9029733048","2736035","44.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","150,344,566.48","0.34","150,344,566.48","2,066,024.00","25746U109","US25746U1097","2542049","72.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","148,322,942.50","0.34","148,322,942.50","611,641.00","31428X106","US31428X1063","2142784","242.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPN","GLOBAL PAYMENTS INC","Information Technology","Equity","143,877,207.84","0.33","143,877,207.84","754,192.00","37940X102","US37940X1028","2712013","190.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA CORP","Health Care","Equity","142,885,320.29","0.32","142,885,320.29","656,009.00","125523100","US1255231003","BHJ0775","217.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","141,225,761.41","0.32","141,225,761.41","3,447,053.00","20825C104","US20825C1045","2685717","40.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","139,793,073.49","0.32","139,793,073.49","467,551.00","036752103","US0367521038","BSPHGL4","298.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","139,123,834.57","0.31","139,123,834.57","591,689.00","863667101","US8636671013","2853688","235.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","136,146,471.68","0.31","136,146,471.68","401,944.00","91324P102","US91324P1021","2917766","338.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","133,802,932.95","0.30","133,802,932.95","488,421.00","009158106","US0091581068","2011602","273.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","132,634,931.36","0.30","132,634,931.36","3,619,949.00","101137107","US1011371077","2113434","36.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","129,488,946.62","0.29","129,488,946.62","935,749.00","713448108","US7134481081","2681511","138.38","United States","NASDAQ","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","127,441,349.55","0.29","127,441,349.55","1,253,727.00","855244109","US8552441094","2842255","101.65","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","126,412,207.02","0.29","126,412,207.02","1,508,859.00","291011104","US2910111044","2313405","83.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","124,496,495.59","0.28","124,496,495.59","819,757.00","032654105","US0326541051","2032067","151.87","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","122,085,933.04","0.28","122,085,933.04","1,013,666.00","-","IE00B8KQN827","B8KQN82","120.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","121,679,733.56","0.28","121,679,733.56","1,147,489.00","14040H105","US14040H1059","2654461","106.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
