Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","7,353,270,132.36","11.44","7,353,270,132.36","56,166,133.00","037833100","US0378331005","2046251","130.92","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","5,689,128,334.21","8.85","5,689,128,334.21","26,062,249.00","594918104","US5949181045","2588173","218.29","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","4,666,494,376.80","7.26","4,666,494,376.80","1,475,730.00","023135106","US0231351067","2000019","3,162.16","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","2,246,021,961.48","3.50","2,246,021,961.48","8,357,602.00","30303M102","US30303M1027","B7TL820","268.74","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","2,147,716,907.08","3.34","2,147,716,907.08","2,631,877.00","88160R101","US88160R1014","B616C79","816.04","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,438,618,902.94","2.24","1,438,618,902.94","810,791.00","02079K305","US02079K3059","BYVY8G0","1,774.34","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,403,663,256.00","2.18","1,403,663,256.00","785,376.00","02079K107","US02079K1079","BYY88Y7","1,787.25","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","1,256,565,004.77","1.96","1,256,565,004.77","5,877,017.00","92826C839","US92826C8394","B2PZN04","213.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","1,096,786,060.80","1.71","1,096,786,060.80","2,054,830.00","67066G104","US67066G1040","2379504","533.76","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","1,074,368,980.44","1.67","1,074,368,980.44","3,070,854.00","57636Q104","US57636Q1040","B121557","349.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","998,006,621.20","1.55","998,006,621.20","2,734,040.00","91324P102","US91324P1021","2917766","365.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","960,832,943.20","1.50","960,832,943.20","4,087,955.00","70450Y103","US70450Y1038","BYW36M8","235.04","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","800,003,338.92","1.25","800,003,338.92","1,674,558.00","00724F101","US00724F1012","2008154","477.74","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","753,345,489.30","1.17","753,345,489.30","1,480,370.00","64110L106","US64110L1061","2857817","508.89","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","645,837,962.34","1.01","645,837,962.34","7,686,717.00","58933Y105","US58933Y1055","2778844","84.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","618,525,421.80","0.96","618,525,421.80","4,267,164.00","654106103","US6541061031","2640147","144.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","616,764,818.88","0.96","616,764,818.88","2,829,456.00","79466L302","US79466L3024","2310525","217.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","615,181,229.22","0.96","615,181,229.22","5,764,982.00","00287Y109","US00287Y1091","B92SR70","106.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","610,045,211.70","0.95","610,045,211.70","3,918,081.00","747525103","US7475251036","2714923","155.70","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","584,050,012.00","0.91","584,050,012.00","2,219,035.00","G1151C101","IE00B4BNMY34","B4BNMY3","263.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","577,953,100.93","0.90","577,953,100.93","1,303,487.00","11135F101","US11135F1012","BDZ78H9","443.39","United States","NASDAQ","USD","1.00","USD","-"
