Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","70,729,089.90","8.00","70,729,089.90","522,410.00","037833100","US0378331005","2046251","135.39","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","58,863,210.30","6.66","58,863,210.30","242,415.00","594918104","US5949181045","2588173","242.82","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","45,111,597.08","5.10","45,111,597.08","13,726.00","023135106","US0231351067","2000019","3,286.58","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","21,134,358.19","2.39","21,134,358.19","77,737.00","30303M102","US30303M1027","B7TL820","271.87","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","20,272,239.68","2.29","20,272,239.68","9,716.00","02079K305","US02079K3059","BYVY8G0","2,086.48","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","19,723,811.94","2.23","19,723,811.94","9,413.00","02079K107","US02079K1079","BYY88Y7","2,095.38","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","19,702,798.42","2.23","19,702,798.42","24,481.00","88160R101","US88160R1014","B616C79","804.82","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","14,609,688.48","1.65","14,609,688.48","60,894.00","084670702","US0846707026","2073390","239.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","14,248,242.96","1.61","14,248,242.96","85,416.00","478160104","US4781601046","2475833","166.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","13,703,299.54","1.55","13,703,299.54","98,119.00","46625H100","US46625H1005","2190385","139.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","11,293,470.11","1.28","11,293,470.11","19,123.00","67066G104","US67066G1040","2379504","590.57","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","11,291,442.24","1.28","11,291,442.24","54,696.00","92826C839","US92826C8394","B2PZN04","206.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","11,104,922.43","1.26","11,104,922.43","58,561.00","254687106","US2546871060","2270726","189.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","10,758,008.20","1.22","10,758,008.20","37,990.00","70450Y103","US70450Y1038","BYW36M8","283.18","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","10,196,372.20","1.15","10,196,372.20","30,583.00","91324P102","US91324P1021","2917766","333.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","10,123,225.44","1.15","10,123,225.44","78,952.00","742718109","US7427181091","2704407","128.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","9,683,362.74","1.10","9,683,362.74","34,746.00","437076102","US4370761029","2434209","278.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","9,554,729.69","1.08","9,554,729.69","28,589.00","57636Q104","US57636Q1040","B121557","334.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","8,251,694.94","0.93","8,251,694.94","250,203.00","060505104","US0605051046","2295677","32.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","7,817,196.60","0.88","7,817,196.60","132,810.00","458140100","US4581401001","2463247","58.86","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","7,754,434.81","0.88","7,754,434.81","13,759.00","64110L106","US64110L1061","2857817","563.59","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","7,731,936.75","0.87","7,731,936.75","146,577.00","20030N101","US20030N1019","2044545","52.75","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","7,664,467.19","0.87","7,664,467.19","15,557.00","00724F101","US00724F1012","2008154","492.67","United States","NASDAQ","USD","1.00","USD","-"
