Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GME","GAMESTOP CORP CLASS A","Consumer Discretionary","Equity","115,199,937.60","0.88","115,199,937.60","595,041.00","36467W109","US36467W1099","B0LLFT5","193.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAR","DARLING INGREDIENTS INC","Consumer Staples","Equity","107,404,292.20","0.82","107,404,292.20","1,674,268.00","237266101","US2372661015","2250289","64.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PENN","PENN NATIONAL GAMING INC","Consumer Discretionary","Equity","86,241,991.22","0.66","86,241,991.22","805,774.00","707569109","US7075691094","2682105","107.03","United States","NASDAQ","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","65,855,952.82","0.50","65,855,952.82","4,108,294.00","185899101","US1858991011","BYVZ186","16.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFGC","PERFORMANCE FOOD GROUP","Consumer Staples","Equity","65,591,560.16","0.50","65,591,560.16","1,361,951.00","71377A103","US71377A1034","BYVYD43","48.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVAX","NOVAVAX INC","Health Care","Equity","62,734,503.33","0.48","62,734,503.33","468,133.00","670002401","US6700024010","BJDQXG4","134.01","United States","NASDAQ","USD","1.00","USD","-"
"CZR","CAESARS ENTERTAINMENT INC","Consumer Discretionary","Equity","56,892,474.72","0.43","56,892,474.72","771,528.00","12769G100","US12769G1004","BMWWGB0","73.74","United States","NASDAQ","USD","1.00","USD","-"
"BEPC","BROOKFIELD RENEWABLE SUBORDINATE V","Utilities","Equity","54,829,131.12","0.42","54,829,131.12","976,824.00","11284V105","CA11284V1058","BMW8YT2","56.13","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SF","STIFEL FINANCIAL CORP","Financials","Equity","54,483,356.72","0.41","54,483,356.72","1,045,144.00","860630102","US8606301021","2849234","52.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSB","SOUTH STATE CORP","Financials","Equity","53,522,163.50","0.41","53,522,163.50","730,678.00","840441109","US8404411097","BNFX071","73.25","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","50,381,516.64","0.38","50,381,516.64","1,153,423.00","-","BMG3198U1027","BFWGXR8","43.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDD","3D SYSTEMS CORP","Information Technology","Equity","47,808,173.59","0.36","47,808,173.59","1,258,441.00","88554D205","US88554D2053","2889768","37.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"THC","TENET HEALTHCARE CORP","Health Care","Equity","47,432,636.31","0.36","47,432,636.31","976,583.00","88033G407","US88033G4073","B8DMK08","48.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","47,267,358.30","0.36","47,267,358.30","374,870.00","16115Q308","US16115Q3083","B19HNF4","126.09","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","47,222,094.78","0.36","47,222,094.78","518,127.00","29084Q100","US29084Q1004","2474164","91.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Consumer Discretionary","Equity","46,469,808.00","0.35","46,469,808.00","365,904.00","57164Y107","US57164Y1073","B45K9N8","127.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"M","MACYS INC","Consumer Discretionary","Equity","46,462,032.18","0.35","46,462,032.18","2,984,074.00","55616P104","US55616P1049","2345022","15.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OVV","OVINTIV INC","Energy","Equity","45,069,866.56","0.34","45,069,866.56","2,734,822.00","69047Q102","US69047Q1022","BJ01KB6","16.48","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRNC","CERENCE INC","Information Technology","Equity","45,060,800.08","0.34","45,060,800.08","382,552.00","156727109","US1567271093","BJNPYY6","117.79","United States","NASDAQ","USD","1.00","USD","-"
"HASI","HANNON ARMSTRONG SUSTAINABLE INFRA","Financials","Equity","44,627,773.23","0.34","44,627,773.23","726,009.00","41068X100","US41068X1000","B9HHD96","61.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RXN","REXNORD CORP","Industrials","Equity","44,384,950.72","0.34","44,384,950.72","1,151,062.00","76169B102","US76169B1026","B4NPMX6","38.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAD","LITHIA MOTORS INC CLASS A","Consumer Discretionary","Equity","44,253,084.64","0.34","44,253,084.64","138,412.00","536797103","US5367971034","2515030","319.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","43,656,016.00","0.33","43,656,016.00","1,296,200.00","909907107","US9099071071","2905794","33.68","United States","NASDAQ","USD","1.00","USD","-"
"MTZ","MASTEC INC","Industrials","Equity","43,439,912.30","0.33","43,439,912.30","549,455.00","576323109","US5763231090","2155306","79.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBBY","BED BATH AND BEYOND INC","Consumer Discretionary","Equity","43,377,367.12","0.33","43,377,367.12","1,289,458.00","075896100","US0758961009","2085878","33.64","United States","NASDAQ","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","43,210,088.88","0.33","43,210,088.88","4,170,858.00","919794107","US9197941076","2935326","10.36","United States","NASDAQ","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","43,043,639.38","0.33","43,043,639.38","896,369.00","37637Q105","US37637Q1058","2370585","48.02","United States","NASDAQ","USD","1.00","USD","-"
"ARNA","ARENA PHARMACEUTICALS INC","Health Care","Equity","42,970,262.50","0.33","42,970,262.50","554,455.00","040047607","US0400476075","BF3N4P3","77.50","United States","NASDAQ","USD","1.00","USD","-"
"STAG","STAG INDUSTRIAL REIT INC","Real Estate","Equity","42,923,122.94","0.33","42,923,122.94","1,430,294.00","85254J102","US85254J1025","B64BRQ5","30.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"X","US STEEL CORP","Materials","Equity","42,572,390.96","0.32","42,572,390.96","2,272,952.00","912909108","US9129091081","2824770","18.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVET","COVETRUS INC","Health Care","Equity","42,354,609.76","0.32","42,354,609.76","1,207,372.00","22304C100","US22304C1009","BHZSB82","35.08","United States","NASDAQ","USD","1.00","USD","-"
"HR","HEALTHCARE REALTY TRUST REIT INC","Real Estate","Equity","42,241,525.40","0.32","42,241,525.40","1,405,708.00","421946104","US4219461047","2417921","30.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","41,565,266.19","0.32","41,565,266.19","618,807.00","816300107","US8163001071","2766173","67.17","United States","NASDAQ","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","40,263,010.40","0.31","40,263,010.40","2,005,130.00","750236101","US7502361014","2173911","20.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WCC","WESCO INTERNATIONAL INC","Industrials","Equity","40,216,604.40","0.31","40,216,604.40","510,363.00","95082P105","US95082P1057","2416973","78.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNM","PNM RESOURCES INC","Utilities","Equity","39,926,663.28","0.30","39,926,663.28","822,213.00","69349H107","US69349H1077","2707826","48.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","39,919,146.07","0.30","39,919,146.07","1,026,463.00","12008R107","US12008R1077","B0BV2M7","38.89","United States","NASDAQ","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","39,477,731.47","0.30","39,477,731.47","935,713.00","736508847","US7365088472","B125XQ6","42.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","39,071,197.20","0.30","39,071,197.20","655,557.00","092113109","US0921131092","2101741","59.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIT","CIT GROUP INC","Financials","Equity","39,037,955.28","0.30","39,037,955.28","1,032,204.00","125581801","US1255818015","B4Z73G0","37.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BXMT","BLACKSTONE MORTGAGE TRUST REIT CLA","Financials","Equity","39,012,760.80","0.30","39,012,760.80","1,425,905.00","09257W100","US09257W1009","B94QHZ0","27.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BYD","BOYD GAMING CORP","Consumer Discretionary","Equity","38,871,962.59","0.30","38,871,962.59","844,859.00","103304101","US1033041013","2117232","46.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOC","PHYSICIANS REALTY TRUST REIT","Real Estate","Equity","38,452,447.88","0.29","38,452,447.88","2,171,228.00","71943U104","US71943U1043","BC9S149","17.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBR","KBR INC","Information Technology","Equity","38,017,956.62","0.29","38,017,956.62","1,296,214.00","48242W106","US48242W1062","B1HHB18","29.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVNT","AVIENT CORP","Materials","Equity","37,625,357.40","0.29","37,625,357.40","947,742.00","05368V106","US05368V1061","BMHWY55","39.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","36,421,466.40","0.28","36,421,466.40","2,137,410.00","78573L106","US78573L1061","B5NLBP6","17.04","United States","NASDAQ","USD","1.00","USD","-"
"ADC","AGREE REALTY REIT CORP","Real Estate","Equity","36,398,812.14","0.28","36,398,812.14","566,166.00","008492100","US0084921008","2062161","64.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIMC","ALTRA INDUSTRIAL MOTION CORP","Industrials","Equity","36,233,340.66","0.28","36,233,340.66","668,142.00","02208R106","US02208R1068","B1L82T2","54.23","United States","NASDAQ","USD","1.00","USD","-"
