Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","141,364,940.00","0.55","141,364,940.00","372,013.00","90138F102","US90138F1021","BD6P5Q0","380.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","127,351,747.50","0.49","127,351,747.50","412,275.00","482480100","US4824801009","2480138","308.90","United States","NASDAQ","USD","1.00","USD","-"
"ROKU","ROKU INC CLASS A","Communication","Equity","123,610,407.20","0.48","123,610,407.20","289,730.00","77543R102","US77543R1023","BZ1LFG7","426.64","United States","NASDAQ","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","117,328,479.92","0.45","117,328,479.92","10,392,248.00","345370860","US3453708600","2615468","11.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","116,110,958.84","0.45","116,110,958.84","348,044.00","-","LU1778762911","BFZ1K46","333.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOCU","DOCUSIGN INC","Information Technology","Equity","115,849,754.80","0.45","115,849,754.80","474,017.00","256163106","US2561631068","BFYT7B7","244.40","United States","NASDAQ","USD","1.00","USD","-"
"ALGN","ALIGN TECHNOLOGY INC","Health Care","Equity","112,168,760.28","0.43","112,168,760.28","207,924.00","016255101","US0162551016","2679204","539.47","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","111,584,649.96","0.43","111,584,649.96","3,850,402.00","35671D857","US35671D8570","2352118","28.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","111,520,815.00","0.43","111,520,815.00","758,645.00","60770K107","US60770K1079","BGSXTS3","147.00","United States","NASDAQ","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","110,088,749.76","0.43","110,088,749.76","74,068.00","169656105","US1696561059","B0X7DZ3","1,486.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","109,407,902.82","0.42","109,407,902.82","223,642.00","45168D104","US45168D1046","2459202","489.21","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","108,428,738.57","0.42","108,428,738.57","402,139.00","871607107","US8716071076","2867719","269.63","United States","NASDAQ","USD","1.00","USD","-"
"PTON","PELOTON INTERACTIVE CLASS A INC","Consumer Discretionary","Equity","106,179,655.14","0.41","106,179,655.14","675,701.00","70614W100","US70614W1009","BJ7WJS2","157.14","United States","NASDAQ","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","105,215,175.00","0.41","105,215,175.00","359,710.00","922475108","US9224751084","BFH3N85","292.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","103,256,111.72","0.40","103,256,111.72","822,889.00","00846U101","US00846U1016","2520153","125.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","103,109,228.56","0.40","103,109,228.56","776,308.00","032095101","US0320951017","2145084","132.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","102,693,979.50","0.40","102,693,979.50","302,050.00","550021109","US5500211090","B23FN39","339.99","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","99,653,975.10","0.39","99,653,975.10","733,289.00","127387108","US1273871087","2302232","135.90","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","99,571,497.80","0.39","99,571,497.80","1,934,930.00","-","IE00BY7QL619","BY7QL61","51.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","99,178,630.64","0.38","99,178,630.64","713,464.00","G6095L109","JE00B783TY65","B783TY6","139.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","99,157,857.48","0.38","99,157,857.48","664,686.00","595017104","US5950171042","2592174","149.18","United States","NASDAQ","USD","1.00","USD","-"
"TWTR","TWITTER INC","Communication","Equity","99,155,241.12","0.38","99,155,241.12","2,072,643.00","90184L102","US90184L1026","BFLR866","47.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","96,721,093.56","0.37","96,721,093.56","392,314.00","231021106","US2310211063","2240202","246.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Information Technology","Equity","96,171,223.97","0.37","96,171,223.97","1,766,879.00","G5876H105","BMG5876H1051","2594653","54.43","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","96,047,148.12","0.37","96,047,148.12","636,411.00","-","IE00BK9ZQ967","BK9ZQ96","150.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","94,491,915.21","0.37","94,491,915.21","601,821.00","74144T108","US74144T1088","2702337","157.01","United States","NASDAQ","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Industrials","Equity","94,453,019.54","0.37","94,453,019.54","103,879.00","22160N109","US22160N1090","2262864","909.26","United States","NASDAQ","USD","1.00","USD","-"
"XLNX","XILINX INC","Information Technology","Equity","94,328,082.54","0.37","94,328,082.54","649,911.00","983919101","US9839191015","2985677","145.14","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","92,983,824.50","0.36","92,983,824.50","1,398,253.00","98389B100","US98389B1008","2614807","66.50","United States","NASDAQ","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","92,602,263.36","0.36","92,602,263.36","505,968.00","46266C105","US46266C1053","BDR73G1","183.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INFO","IHS MARKIT LTD","Industrials","Equity","92,192,955.60","0.36","92,192,955.60","1,052,431.00","-","BMG475671050","BD0Q558","87.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","91,617,129.24","0.35","91,617,129.24","339,612.00","701094104","US7010941042","2671501","269.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","91,555,861.14","0.35","91,555,861.14","3,659,307.00","40434L105","US40434L1052","BYX4D52","25.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALXN","ALEXION PHARMACEUTICALS INC","Health Care","Equity","91,324,703.88","0.35","91,324,703.88","566,109.00","015351109","US0153511094","2036070","161.32","United States","NASDAQ","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","89,980,959.70","0.35","89,980,959.70","2,313,730.00","14448C104","US14448C1045","BK4N0D7","38.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","89,406,695.70","0.35","89,406,695.70","247,815.00","697435105","US6974351057","B87ZMX0","360.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","88,488,385.77","0.34","88,488,385.77","903,542.00","693718108","US6937181088","2665861","97.94","United States","NASDAQ","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","88,388,190.00","0.34","88,388,190.00","628,650.00","693506107","US6935061076","2698470","140.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","87,853,889.15","0.34","87,853,889.15","551,465.00","98956P102","US98956P1021","2783815","159.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","87,786,793.64","0.34","87,786,793.64","403,636.00","22788C105","US22788C1053","BJJP138","217.49","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","87,117,525.90","0.34","87,117,525.90","215,910.00","55354G100","US55354G1004","B2972D2","403.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","86,448,293.52","0.33","86,448,293.52","1,054,762.00","744320102","US7443201022","2819118","81.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTD","TRADE DESK INC CLASS A","Information Technology","Equity","86,077,096.30","0.33","86,077,096.30","109,570.00","88339J105","US88339J1051","BD8FDD1","785.59","United States","NASDAQ","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","85,572,840.85","0.33","85,572,840.85","190,183.00","67103H107","US67103H1077","B65LWX6","449.95","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
