Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FCX","FREEPORT MCMORAN INC","Materials","Equity","91,052,009.40","0.73","91,052,009.40","2,834,745.00","35671D857","US35671D8570","2352118","32.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TWTR","TWITTER INC","Communication","Equity","88,717,926.60","0.71","88,717,926.60","1,524,363.00","90184L102","US90184L1026","BFLR866","58.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","88,151,149.92","0.71","88,151,149.92","7,625,532.00","345370860","US3453708600","2615468","11.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","77,907,724.83","0.63","77,907,724.83","523,679.00","G6095L109","JE00B783TY65","B783TY6","148.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","73,517,399.75","0.59","73,517,399.75","1,421,725.00","-","IE00BY7QL619","BY7QL61","51.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","73,497,387.60","0.59","73,497,387.60","2,692,212.00","40434L105","US40434L1052","BYX4D52","27.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","69,748,050.24","0.56","69,748,050.24","250,316.00","701094104","US7010941042","2671501","278.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","69,582,002.88","0.56","69,582,002.88","467,056.00","-","IE00BK9ZQ967","BK9ZQ96","148.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","68,881,457.58","0.55","68,881,457.58","288,678.00","231021106","US2310211063","2240202","238.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","68,322,244.20","0.55","68,322,244.20","553,620.00","00846U101","US00846U1016","2520153","123.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Information Technology","Equity","67,202,446.80","0.54","67,202,446.80","1,302,373.00","G5876H105","BMG5876H1051","2594653","51.60","United States","NASDAQ","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","64,766,776.68","0.52","64,766,776.68","461,894.00","693506107","US6935061076","2698470","140.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","64,707,708.24","0.52","64,707,708.24","404,904.00","98956P102","US98956P1021","2783815","159.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","64,176,412.45","0.52","64,176,412.45","663,185.00","693718108","US6937181088","2665861","96.77","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","64,071,288.68","0.51","64,071,288.68","1,469,188.00","22052L104","US22052L1044","BK73B42","43.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
