Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","601,085,440.60","5.69","601,085,440.60","4,495,105.00","037833100","US0378331005","2046251","133.72","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","462,382,139.12","4.38","462,382,139.12","2,085,809.00","594918104","US5949181045","2588173","221.68","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","388,062,170.85","3.68","388,062,170.85","118,101.00","023135106","US0231351067","2000019","3,285.85","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","181,835,627.71","1.72","181,835,627.71","668,833.00","30303M102","US30303M1027","B7TL820","271.87","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","146,335,258.38","1.39","146,335,258.38","210,621.00","88160R101","US88160R1014","B616C79","694.78","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","145,176,543.75","1.38","145,176,543.75","83,615.00","02079K305","US02079K3059","BYVY8G0","1,736.25","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","140,888,943.36","1.33","140,888,943.36","80,993.00","02079K107","US02079K1079","BYY88Y7","1,739.52","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","120,329,710.50","1.14","120,329,710.50","523,970.00","084670702","US0846707026","2073390","229.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","114,614,667.70","1.09","114,614,667.70","734,474.00","478160104","US4781601046","2475833","156.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","105,763,348.72","1.00","105,763,348.72","843,677.00","46625H100","US46625H1005","2190385","125.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","102,691,650.96","0.97","102,691,650.96","470,286.00","92826C839","US92826C8394","B2PZN04","218.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","93,514,831.75","0.89","93,514,831.75","678,775.00","742718109","US7427181091","2704407","137.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","91,199,890.98","0.86","91,199,890.98","503,394.00","254687106","US2546871060","2270726","181.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","90,713,395.55","0.86","90,713,395.55","262,945.00","91324P102","US91324P1021","2917766","344.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","87,368,234.85","0.83","87,368,234.85","245,727.00","57636Q104","US57636Q1040","B121557","355.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","86,463,278.56","0.82","86,463,278.56","164,432.00","67066G104","US67066G1040","2379504","525.83","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","79,366,322.52","0.75","79,366,322.52","299,202.00","437076102","US4370761029","2434209","265.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","75,728,078.55","0.72","75,728,078.55","327,105.00","70450Y103","US70450Y1038","BYW36M8","231.51","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","67,100,885.64","0.64","67,100,885.64","1,154,126.00","92343V104","US92343V1044","2090571","58.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","66,652,330.60","0.63","66,652,330.60","133,988.00","00724F101","US00724F1012","2008154","497.45","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","64,632,653.10","0.61","64,632,653.10","1,262,110.00","20030N101","US20030N1019","2044545","51.21","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","64,581,956.64","0.61","64,581,956.64","2,154,168.00","060505104","US0605051046","2295677","29.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","62,130,341.24","0.59","62,130,341.24","118,436.00","64110L106","US64110L1061","2857817","524.59","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","58,602,645.72","0.56","58,602,645.72","1,076,463.00","191216100","US1912161007","2206657","54.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","56,932,368.80","0.54","56,932,368.80","386,480.00","713448108","US7134481081","2681511","147.31","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","56,894,865.94","0.54","56,894,865.94","1,548,581.00","717081103","US7170811035","2684703","36.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","56,691,438.45","0.54","56,691,438.45","703,455.00","58933Y105","US58933Y1055","2778844","80.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","56,577,322.34","0.54","56,577,322.34","1,985,866.00","00206R102","US00206R1023","2831811","28.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","55,946,309.58","0.53","55,946,309.58","388,031.00","931142103","US9311421039","2936921","144.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","55,707,648.75","0.53","55,707,648.75","1,142,721.00","458140100","US4581401001","2463247","48.75","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","54,310,969.60","0.51","54,310,969.60","244,204.00","79466L302","US79466L3024","2310525","222.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","52,585,279.04","0.50","52,585,279.04","1,182,223.00","17275R102","US17275R1023","2198163","44.48","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","52,280,984.36","0.50","52,280,984.36","482,119.00","002824100","US0028241000","2002305","108.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
