Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","502,453,473.61","13.89","502,453,473.61","3,718,297.00","037833100","US0378331005","2046251","135.13","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","421,832,043.95","11.66","421,832,043.95","1,725,355.00","594918104","US5949181045","2588173","244.49","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","318,706,838.87","8.81","318,706,838.87","97,699.00","023135106","US0231351067","2000019","3,262.13","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","149,594,619.45","4.14","149,594,619.45","553,255.00","30303M102","US30303M1027","B7TL820","270.39","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","141,406,593.54","3.91","141,406,593.54","174,219.00","88160R101","US88160R1014","B616C79","811.66","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","112,105,301.25","3.10","112,105,301.25","53,671.00","02079K305","US02079K3059","BYVY8G0","2,088.75","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","108,961,129.32","3.01","108,961,129.32","51,988.00","02079K107","US02079K1079","BYY88Y7","2,095.89","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","82,971,400.36","2.29","82,971,400.36","136,012.00","67066G104","US67066G1040","2379504","610.03","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","81,950,110.56","2.27","81,950,110.56","389,016.00","92826C839","US92826C8394","B2PZN04","210.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","77,093,489.25","2.13","77,093,489.25","270,475.00","70450Y103","US70450Y1038","BYW36M8","285.03","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","69,691,756.20","1.93","69,691,756.20","203,260.00","57636Q104","US57636Q1040","B121557","342.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","60,249,698.44","1.67","60,249,698.44","180,892.00","91324P102","US91324P1021","2917766","333.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","55,014,073.74","1.52","55,014,073.74","110,777.00","00724F101","US00724F1012","2008154","496.62","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","54,598,655.21","1.51","54,598,655.21","97,919.00","64110L106","US64110L1061","2857817","557.59","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","45,173,637.44","1.25","45,173,637.44","187,256.00","79466L302","US79466L3024","2310525","241.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","41,268,791.74","1.14","41,268,791.74","86,266.00","11135F101","US11135F1012","BDZ78H9","478.39","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","40,536,413.70","1.12","40,536,413.70","282,405.00","654106103","US6541061031","2640147","143.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","39,612,268.75","1.09","39,612,268.75","381,805.00","00287Y109","US00287Y1091","B92SR70","103.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","39,334,148.28","1.09","39,334,148.28","194,166.00","532457108","US5324571083","2516152","202.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","38,057,454.29","1.05","38,057,454.29","146,957.00","G1151C101","IE00B4BNMY34","B4BNMY3","258.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","38,048,340.24","1.05","38,048,340.24","509,076.00","58933Y105","US58933Y1055","2778844","74.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
