Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XOM","EXXON MOBIL CORP","Energy","Equity","176,742,560.90","13.52","176,742,560.90","3,146,005.00","30231G102","US30231G1022","2326618","56.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","150,411,907.80","11.51","150,411,907.80","1,431,540.00","166764100","US1667641005","2838555","105.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FP","TOTAL","Energy","Equity","84,705,295.35","6.48","84,705,295.35","1,856,588.00","-","FR0000120271","B15C557","45.62","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BP.","BP PLC","Energy","Equity","60,364,764.32","4.62","60,364,764.32","14,978,287.00","S07980592","GB0007980591","0798059","4.03","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"RDSA","ROYAL DUTCH SHELL PLC","Energy","Equity","59,427,785.94","4.55","59,427,785.94","3,047,741.00","-","GB00B03MLX29","B03MLX2","19.50","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ENB","ENBRIDGE INC","Energy","Equity","55,218,097.90","4.22","55,218,097.90","1,504,896.00","29250N105","CA29250N1050","2466149","36.69","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","53,926,561.92","4.13","53,926,561.92","1,006,656.00","20825C104","US20825C1045","2685717","53.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Energy","Equity","51,057,891.57","3.91","51,057,891.57","2,754,166.00","-","GB00B03MM408","B03MM40","18.54","United Kingdom","London Stock Exchange","USD","0.73","GBP","Dec 12, 1988"
"TRP","TC ENERGY CORP","Energy","Equity","34,321,352.97","2.63","34,321,352.97","727,555.00","87807B107","CA87807B1076","BJMY6G0","47.17","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","31,703,596.32","2.43","31,703,596.32","434,058.00","26875P101","US26875P1012","2318024","73.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","28,471,093.40","2.18","28,471,093.40","1,039,091.00","806857108","AN8068571086","2779201","27.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","26,855,433.44","2.05","26,855,433.44","880,956.00","136385101","CA1363851017","2171573","30.48","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"PSX","PHILLIPS","Energy","Equity","26,792,835.12","2.05","26,792,835.12","324,998.00","718546104","US7185461040","B78C4Y8","82.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","26,084,223.96","2.00","26,084,223.96","484,117.00","56585A102","US56585A1025","B3K3L40","53.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","24,663,653.76","1.89","24,663,653.76","152,896.00","723787107","US7237871071","2690830","161.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SU","SUNCOR ENERGY INC","Energy","Equity","23,886,916.91","1.83","23,886,916.91","1,134,786.00","867224107","CA8672241079","B3NB1P2","21.05","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","23,698,441.60","1.81","23,698,441.60","1,448,560.00","49456B101","US49456B1017","B3NQ4P8","16.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENI","ENI","Energy","Equity","22,333,373.36","1.71","22,333,373.36","1,875,590.00","S71450563","IT0003132476","7145056","11.91","Italy","Borsa Italiana","USD","0.85","EUR","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","21,973,314.30","1.68","21,973,314.30","303,415.00","91913Y100","US91913Y1001","2041364","72.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
