Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","25,089,924.96","6.54","25,089,924.96","104,646.00","084670702","US0846707026","2073390","239.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","22,856,435.32","5.96","22,856,435.32","164,116.00","46625H100","US46625H1005","2190385","139.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","13,479,714.96","3.51","13,479,714.96","409,967.00","060505104","US0605051046","2295677","32.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"1299","AIA GROUP LTD","Financials","Equity","8,778,856.94","2.29","8,778,856.94","657,600.00","-","HK0000069689","B4TX8S1","13.35","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"WFC","WELLS FARGO","Financials","Equity","7,293,058.96","1.90","7,293,058.96","222,893.00","949746101","US9497461015","2649100","32.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","7,092,683.20","1.85","7,092,683.20","112,226.00","172967424","US1729674242","2297907","63.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","6,450,186.35","1.68","6,450,186.35","95,468.00","S62150354","AU000000CBA7","6215035","67.56","Australia","Asx - All Markets","USD","1.29","AUD","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","6,401,988.84","1.67","6,401,988.84","76,744.00","780087102","CA7800871021","2754383","83.42","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","6,112,347.40","1.59","6,112,347.40","1,113,081.00","S05405287","GB0005405286","0540528","5.49","United Kingdom","London Stock Exchange","USD","0.72","GBP","Jan 01, 1998"
"TD","TORONTO DOMINION","Financials","Equity","5,805,701.14","1.51","5,805,701.14","97,977.00","891160509","CA8911605092","2897222","59.26","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"MS","MORGAN STANLEY","Financials","Equity","5,697,376.48","1.49","5,697,376.48","77,284.00","617446448","US6174464486","2262314","73.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","5,611,966.16","1.46","5,611,966.16","18,563.00","38141G104","US38141G1040","2407966","302.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","5,500,182.32","1.43","5,500,182.32","7,624.00","09247X101","US09247X1019","2494504","721.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALV","ALLIANZ","Financials","Equity","5,367,575.25","1.40","5,367,575.25","22,511.00","S52314853","DE0008404005","5231485","238.44","Germany","Xetra","USD","0.82","EUR","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","4,518,436.65","1.18","4,518,436.65","35,215.00","025816109","US0258161092","2026082","128.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","4,510,978.22","1.18","4,510,978.22","80,654.00","808513105","US8085131055","2779397","55.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","4,415,803.29","1.15","4,415,803.29","13,011.00","78409V104","US78409V1044","BYV2325","339.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","4,276,376.01","1.11","4,276,376.01","5,321,720.00","-","CNE1000002H1","B0LMTQ3","0.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"CB","CHUBB LTD","Financials","Equity","4,044,583.95","1.05","4,044,583.95","24,387.00","-","CH0044328745","B3BQMF6","165.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","3,891,963.01","1.01","3,891,963.01","56,400.00","S62673595","HK0388045442","6267359","69.01","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","3,843,967.40","1.00","3,843,967.40","72,830.00","89832Q109","US89832Q1094","BKP7287","52.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","3,650,800.13","0.95","3,650,800.13","65,479.00","064149107","CA0641491075","2076281","55.76","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","3,635,294.89","0.95","3,635,294.89","22,819.00","693475105","US6934751057","2692665","159.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","3,540,919.80","0.92","3,540,919.80","19,380.00","12572Q105","US12572Q1058","2965839","182.71","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","3,500,563.50","0.91","3,500,563.50","74,086.00","902973304","US9029733048","2736035","47.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","3,459,472.58","0.90","3,459,472.58","177,933.00","S66246083","AU000000NAB4","6624608","19.44","Australia","Asx - All Markets","USD","1.29","AUD","-"
"BNP","BNP PARIBAS SA","Financials","Equity","3,450,465.15","0.90","3,450,465.15","62,241.00","S73096810","FR0000131104","7309681","55.44","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
