Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","184,682,016.80","6.81","184,682,016.80","1,119,760.00","478160104","US4781601046","2475833","164.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","151,600,966.40","5.59","151,600,966.40","402,680.00","91324P102","US91324P1021","2917766","376.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","96,687,923.50","3.57","96,687,923.50","299,282.00","S71103881","CH0012032048","7110388","323.07","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","92,119,393.08","3.40","92,119,393.08","754,644.00","002824100","US0028241000","2002305","122.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOVN","NOVARTIS AG","Health Care","Equity","91,553,147.61","3.38","91,553,147.61","1,050,938.00","S71030654","CH0012005267","7103065","87.12","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"PFE","PFIZER INC","Health Care","Equity","85,982,498.75","3.17","85,982,498.75","2,371,931.00","717081103","US7170811035","2684703","36.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","83,417,674.93","3.08","83,417,674.93","1,077,887.00","58933Y105","US58933Y1055","2778844","77.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","79,843,106.42","2.94","79,843,106.42","753,379.00","00287Y109","US00287Y1091","B92SR70","105.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","77,172,304.64","2.85","77,172,304.64","167,744.00","883556102","US8835561023","2886907","460.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","68,046,089.28","2.51","68,046,089.28","573,938.00","G5960L103","IE00BTN1Y115","BTN1Y11","118.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","62,805,821.13","2.32","62,805,821.13","338,923.00","532457108","US5324571083","2516152","185.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","62,205,582.88","2.29","62,205,582.88","246,008.00","031162100","US0311621009","2023607","252.86","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","61,046,740.92","2.25","61,046,740.92","269,796.00","235851102","US2358511028","2250870","226.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","61,019,156.86","2.25","61,019,156.86","954,319.00","110122108","US1101221083","2126335","63.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","56,105,137.93","2.07","56,105,137.93","559,496.00","S09895293","GB0009895292","0989529","100.28","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SAN","SANOFI SA","Health Care","Equity","48,114,361.89","1.77","48,114,361.89","488,037.00","S56717358","FR0000120578","5671735","98.59","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
