Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","938,237,913.28","18.30","938,237,913.28","7,004,912.00","037833100","US0378331005","2046251","133.94","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","805,260,447.00","15.71","805,260,447.00","3,313,829.00","594918104","US5949181045","2588173","243.00","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","187,027,516.37","3.65","187,027,516.37","8,296,600.00","S68891068","TW0002330008","6889106","22.54","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","Nov 10, 1994"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","170,800,083.08","3.33","170,800,083.08","2,250,281.00","S67717207","KR7005930003","6771720","75.90","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.60","KRW","-"
"V","VISA INC CLASS A","Information Technology","Equity","149,656,792.80","2.92","149,656,792.80","743,230.00","92826C839","US92826C8394","B2PZN04","201.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","146,840,021.86","2.86","146,840,021.86","271,313.00","67066G104","US67066G1040","2379504","541.22","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","129,345,612.00","2.52","129,345,612.00","513,480.00","70450Y103","US70450Y1038","BYW36M8","251.90","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","128,317,752.54","2.50","128,317,752.54","385,547.00","57636Q104","US57636Q1040","B121557","332.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","103,694,393.04","2.02","103,694,393.04","1,797,753.00","458140100","US4581401001","2463247","57.68","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","102,346,451.71","2.00","102,346,451.71","186,372.00","-","NL0010273215","B929F46","549.15","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"ADBE","ADOBE INC","Information Technology","Equity","101,259,102.72","1.98","101,259,102.72","210,116.00","00724F101","US00724F1012","2008154","481.92","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","94,058,559.92","1.83","94,058,559.92","400,556.00","79466L302","US79466L3024","2310525","234.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","84,858,266.55","1.66","84,858,266.55","1,854,015.00","17275R102","US17275R1023","2198163","45.77","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","82,597,740.83","1.61","82,597,740.83","177,557.00","11135F101","US11135F1012","BDZ78H9","465.19","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","80,576,756.40","1.57","80,576,756.40","496,468.00","747525103","US7475251036","2714923","162.30","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","68,971,603.89","1.35","68,971,603.89","277,697.00","G1151C101","IE00B4BNMY34","B4BNMY3","248.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","67,917,510.40","1.32","67,917,510.40","402,880.00","882508104","US8825081040","2885409","168.58","United States","NASDAQ","USD","1.00","USD","-"
"SAP","SAP","Information Technology","Equity","62,468,664.05","1.22","62,468,664.05","478,145.00","S48462881","DE0007164600","4846288","130.65","Germany","Xetra","USD","0.83","EUR","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","58,922,297.18","1.15","58,922,297.18","48,230.00","82509L107","CA82509L1076","BX865C7","1,221.69","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","51,648,784.39","1.01","51,648,784.39","830,767.00","68389X105","US68389X1054","2661568","62.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","49,266,092.75","0.96","49,266,092.75","85,435.00","81762P102","US81762P1021","B80NXX8","576.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","46,600,696.96","0.91","46,600,696.96","391,208.00","459200101","US4592001014","2005973","119.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","46,289,289.97","0.90","46,289,289.97","526,673.00","007903107","US0079031078","2007849","87.89","United States","NASDAQ","USD","1.00","USD","-"
"6861","KEYENCE CORP","Information Technology","Equity","43,834,929.34","0.86","43,834,929.34","81,840.00","S64909955","JP3236200006","6490995","535.62","Japan","Tokyo Stock Exchange","USD","105.08","JPY","-"
"INTU","INTUIT INC","Information Technology","Equity","43,687,598.30","0.85","43,687,598.30","114,922.00","461202103","US4612021034","2459020","380.15","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","39,987,448.65","0.78","39,987,448.65","400,395.00","038222105","US0382221051","2046552","99.87","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","38,542,075.56","0.75","38,542,075.56","487,196.00","595112103","US5951121038","2588184","79.11","United States","NASDAQ","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","35,741,648.35","0.70","35,741,648.35","271,655.00","31620M106","US31620M1062","2769796","131.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","31,733,956.59","0.62","31,733,956.59","62,923.00","512807108","US5128071082","2502247","504.33","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","31,412,921.19","0.61","31,412,921.19","188,293.00","053015103","US0530151036","2065308","166.83","United States","NASDAQ","USD","1.00","USD","-"
"ADYEN","ADYEN NV","Information Technology","Equity","29,138,526.65","0.57","29,138,526.65","13,306.00","-","NL0012969182","BZ1HM42","2,189.87","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"ADSK","AUTODESK INC","Information Technology","Equity","28,340,851.60","0.55","28,340,851.60","96,776.00","052769106","US0527691069","2065159","292.85","United States","NASDAQ","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","27,494,895.03","0.54","27,494,895.03","235,737.00","S64502677","KR7000660001","6450267","116.63","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.60","KRW","-"
"FISV","FISERV INC","Information Technology","Equity","27,042,639.20","0.53","27,042,639.20","245,396.00","337738108","US3377381088","2342034","110.20","United States","NASDAQ","USD","1.00","USD","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","26,889,707.35","0.52","26,889,707.35","69,200.00","S68956754","JP3571400005","6895675","388.58","Japan","Tokyo Stock Exchange","USD","105.08","JPY","-"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","26,332,237.93","0.51","26,332,237.93","280,700.00","S66104035","JP3914400001","6610403","93.81","Japan","Tokyo Stock Exchange","USD","105.08","JPY","-"
