Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FB","FACEBOOK CLASS A INC","Communication","Equity","41,770,861.44","13.13","41,770,861.44","149,856.00","30303M102","US30303M1027","B7TL820","278.74","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","36,545,663.26","11.49","36,545,663.26","17,981.00","02079K305","US02079K3059","BYVY8G0","2,032.46","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","35,232,500.24","11.07","35,232,500.24","17,234.00","02079K107","US02079K1079","BYY88Y7","2,044.36","United States","NASDAQ","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","28,385,225.80","8.92","28,385,225.80","363,900.00","-","KYG875721634","BMMV2K8","78.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","14,481,277.50","4.55","14,481,277.50","252,375.00","92343V104","US92343V1044","2090571","57.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","14,448,807.68","4.54","14,448,807.68","480,346.00","00206R102","US00206R1023","2831811","30.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","14,357,658.72","4.51","14,357,658.72","28,552.00","64110L106","US64110L1061","2857817","502.86","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","14,176,452.60","4.46","14,176,452.60","251,802.00","20030N101","US20030N1019","2044545","56.30","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","13,803,677.32","4.34","13,803,677.32","73,852.00","254687106","US2546871060","2270726","186.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","9,537,751.41","3.00","9,537,751.41","114,700.00","S67706200","JP3436100006","6770620","83.15","Japan","Tokyo Stock Exchange","USD","109.14","JPY","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","6,264,373.38","1.97","6,264,373.38","9,822.00","16119P108","US16119P1084","BZ6VT82","637.79","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","5,009,089.68","1.57","5,009,089.68","40,566.00","872590104","US8725901040","B94Q9V0","123.48","United States","NASDAQ","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","4,888,184.25","1.54","4,888,184.25","53,805.00","00507V109","US00507V1098","2575818","90.85","United States","NASDAQ","USD","1.00","USD","-"
"7974","NINTENDO LTD","Communication","Equity","4,681,742.80","1.47","4,681,742.80","8,200.00","S66395500","JP3756600007","6639550","570.94","Japan","Tokyo Stock Exchange","USD","109.14","JPY","-"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Communication","Equity","4,499,989.00","1.41","4,499,989.00","165,300.00","S66413733","JP3735400008","6641373","27.22","Japan","Tokyo Stock Exchange","USD","109.14","JPY","-"
