Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","455,228,182.40","1.75","455,228,182.40","21,195,000.00","S68891068","TW0002330008","6889106","21.48","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","410,850,808.64","1.58","410,850,808.64","4,939,000.00","-","KYG875721634","BMMV2K8","83.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","397,596,717.14","1.53","397,596,717.14","1,633,109.00","01609W102","US01609W1027","BP41ZD1","243.46","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","328,840,740.37","1.27","328,840,740.37","4,108,454.00","S67717207","KR7005930003","6771720","80.04","Korea (South)","Korea Exchange (Stock Market)","USD","1,099.45","KRW","-"
"NESN","NESTLE SA","Consumer Staples","Equity","276,798,764.14","1.07","276,798,764.14","2,442,568.00","S71238703","CH0038863350","7123870","113.32","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","213,433,198.05","0.82","213,433,198.05","600,026.00","S71103881","CH0012032048","7110388","355.71","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","192,558,306.63","0.74","192,558,306.63","365,350.00","-","NL0010273215","B929F46","527.05","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"NOVN","NOVARTIS AG","Health Care","Equity","182,052,066.39","0.70","182,052,066.39","1,899,915.00","S71030654","CH0012005267","7103065","95.82","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"MC","LVMH","Consumer Discretionary","Equity","142,091,457.69","0.55","142,091,457.69","237,886.00","S40614125","FR0000121014","4061412","597.31","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"1299","AIA GROUP LTD","Financials","Equity","140,304,078.00","0.54","140,304,078.00","10,420,400.00","-","HK0000069689","B4TX8S1","13.46","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","138,649,649.99","0.53","138,649,649.99","2,323,416.00","-","GB00B10RZP78","B10RZP7","59.68","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","135,200,012.52","0.52","135,200,012.52","1,816,100.00","S69006435","JP3633400001","6900643","74.45","Japan","Tokyo Stock Exchange","USD","103.88","JPY","-"
"3690","MEITUAN","Consumer Discretionary","Equity","123,404,178.60","0.48","123,404,178.60","3,110,700.00","-","KYG596691041","BGJW376","39.67","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","116,462,498.60","0.45","116,462,498.60","1,129,531.00","S09895293","GB0009895292","0989529","103.11","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"SAP","SAP","Information Technology","Equity","112,013,461.34","0.43","112,013,461.34","894,808.00","S48462881","DE0007164600","4846288","125.18","Germany","Xetra","USD","0.83","EUR","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","110,637,647.17","0.43","110,637,647.17","1,349,200.00","S67706200","JP3436100006","6770620","82.00","Japan","Tokyo Stock Exchange","USD","103.88","JPY","-"
