Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","145,928,009.85","9.96","145,928,009.85","47,445.00","023135106","US0231351067","2000019","3,075.73","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","111,324,248.85","7.60","111,324,248.85","602,241.00","254687106","US2546871060","2270726","184.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","74,098,231.20","5.06","74,098,231.20","245,196.00","437076102","US4370761029","2434209","302.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","66,916,638.74","4.57","66,916,638.74","489,622.00","931142103","US9311421039","2936921","136.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","66,498,448.65","4.54","66,498,448.65","129,387.00","64110L106","US64110L1061","2857817","513.95","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","62,975,929.25","4.30","62,975,929.25","1,141,075.00","20030N101","US20030N1019","2044545","55.19","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","59,864,892.60","4.09","59,864,892.60","263,316.00","580135101","US5801351017","2550707","227.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","55,678,354.10","3.80","55,678,354.10","156,334.00","22160K105","US22160K1051","2701271","356.15","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","48,696,025.40","3.32","48,696,025.40","258,170.00","548661107","US5486611073","2536763","188.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","45,375,271.83","3.10","45,375,271.83","415,791.00","855244109","US8552441094","2842255","109.13","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","35,062,754.37","2.39","35,062,754.37","176,897.00","87612E106","US87612E1064","2259101","198.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","34,017,125.12","2.32","34,017,125.12","14,467.00","09857L108","US09857L1089","BDRXDB4","2,351.36","United States","NASDAQ","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","31,800,255.96","2.17","31,800,255.96","49,947.00","16119P108","US16119P1084","BZ6VT82","636.68","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","27,786,751.43","1.90","27,786,751.43","424,031.00","872540109","US8725401090","2989301","65.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","27,661,494.85","1.89","27,661,494.85","518,491.00","90353T100","US90353T1007","BK6N347","53.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Discretionary","Equity","17,598,929.92","1.20","17,598,929.92","86,528.00","256677105","US2566771059","B5B1S13","203.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
