Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XOM","EXXON MOBIL CORP","Energy","Equity","123,986,326.88","22.24","123,986,326.88","2,757,703.00","30231G102","US30231G1022","2326618","44.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","113,274,999.24","20.32","113,274,999.24","1,255,542.00","166764100","US1667641005","2838555","90.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","31,135,561.50","5.58","31,135,561.50","696,545.00","20825C104","US20825C1045","2685717","44.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","22,588,278.32","4.05","22,588,278.32","907,889.00","806857108","AN8068571086","2779201","24.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","22,303,972.08","4.00","22,303,972.08","380,484.00","26875P101","US26875P1012","2318024","58.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","20,471,979.82","3.67","20,471,979.82","284,887.00","718546104","US7185461040","B78C4Y8","71.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","18,744,113.71","3.36","18,744,113.71","424,363.00","56585A102","US56585A1025","B3K3L40","44.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","18,538,598.20","3.33","18,538,598.20","1,269,767.00","49456B101","US49456B1017","B3NQ4P8","14.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","17,049,211.56","3.06","17,049,211.56","791,514.00","969457100","US9694571004","2967181","21.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","15,870,071.88","2.85","15,870,071.88","265,964.00","91913Y100","US91913Y1001","2041364","59.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","14,156,191.48","2.54","14,156,191.48","107,252.00","723787107","US7237871071","2690830","131.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","11,796,569.40","2.12","11,796,569.40","289,842.00","682680103","US6826801036","2130109","40.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","11,732,690.75","2.10","11,732,690.75","576,545.00","406216101","US4062161017","2405302","20.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","11,242,512.93","2.02","11,242,512.93","546,549.00","674599105","US6745991058","2655408","20.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HES","HESS CORP","Energy","Equity","10,901,708.84","1.96","10,901,708.84","178,249.00","42809H107","US42809H1077","2023748","61.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","10,138,522.74","1.82","10,138,522.74","447,222.00","05722G100","US05722G1004","BDHLTQ5","22.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY INC","Energy","Equity","9,699,379.84","1.74","9,699,379.84","149,728.00","16411R208","US16411R2085","2654364","64.78","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"CXO","CONCHO RESOURCES INC","Energy","Equity","8,343,845.44","1.50","8,343,845.44","128,032.00","20605P101","US20605P1012","B1YWRK7","65.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","7,137,026.67","1.28","7,137,026.67","384,331.00","25179M103","US25179M1036","2480677","18.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","5,851,641.60","1.05","5,851,641.60","103,040.00","25278X109","US25278X1090","B7Y8YR3","56.79","United States","NASDAQ","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","5,832,884.00","1.05","5,832,884.00","55,288.00","336433107","US3364331070","B1HMF22","105.50","United States","NASDAQ","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","4,551,486.72","0.82","4,551,486.72","149,376.00","87612G101","US87612G1013","B55PZY3","30.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COG","CABOT OIL & GAS CORP","Energy","Equity","4,527,667.04","0.81","4,527,667.04","259,912.00","127097103","US1270971039","2162340","17.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APA","APACHE CORP","Energy","Equity","4,210,822.33","0.76","4,210,822.33","246,103.00","037411105","US0374111054","2043962","17.11","United States","NASDAQ","USD","1.00","USD","-"
"OGE","OGE ENERGY CORP","Utilities","Equity","4,200,715.40","0.75","4,200,715.40","130,457.00","670837103","US6708371033","2657802","32.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRO","MARATHON OIL CORP","Energy","Equity","3,957,696.95","0.71","3,957,696.95","514,655.00","565849106","US5658491064","2910970","7.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOV","NOV INC","Energy","Equity","3,811,872.96","0.68","3,811,872.96","252,108.00","62955J103","US62955J1034","BN2RYW9","15.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PE","PARSLEY ENERGY INC CLASS A","Energy","Equity","3,282,158.07","0.59","3,282,158.07","199,281.00","701877102","US7018771029","BMMV736","16.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
