Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","133,771,647.48","7.90","133,771,647.48","569,823.00","084670702","US0846707026","2073390","234.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","121,353,089.03","7.17","121,353,089.03","892,499.00","46625H100","US46625H1005","2190385","135.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","102,281,492.88","6.04","102,281,492.88","496,488.00","92826C839","US92826C8394","B2PZN04","206.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","73,000,047.12","4.31","73,000,047.12","2,257,268.00","060505104","US0605051046","2295677","32.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","71,508,978.47","4.22","71,508,978.47","213,517.00","57636Q104","US57636Q1040","B121557","334.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","39,793,850.10","2.35","39,793,850.10","1,225,935.00","949746101","US9497461015","2649100","32.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","39,045,743.00","2.31","39,045,743.00","617,324.00","172967424","US1729674242","2297907","63.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","31,717,341.68","1.87","31,717,341.68","423,802.00","617446448","US6174464486","2262314","74.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","31,181,757.00","1.84","31,181,757.00","42,050.00","09247X101","US09247X1019","2494504","741.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","29,634,330.34","1.75","29,634,330.34","102,022.00","38141G104","US38141G1040","2407966","290.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","29,342,799.36","1.73","29,342,799.36","131,712.00","03027X100","US03027X1000","B7FBFL2","222.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","25,923,261.61","1.53","25,923,261.61","442,301.00","808513105","US8085131055","2779397","58.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","24,934,932.96","1.47","24,934,932.96","193,384.00","025816109","US0258161092","2026082","128.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","22,969,131.24","1.36","22,969,131.24","71,346.00","78409V104","US78409V1044","BYV2325","321.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","21,994,226.98","1.30","21,994,226.98","219,197.00","74340W103","US74340W1036","B44WZD7","100.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","20,853,078.96","1.23","20,853,078.96","133,828.00","-","CH0044328745","B3BQMF6","155.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","20,638,421.31","1.22","20,638,421.31","399,737.00","89832Q109","US89832Q1094","BKP7287","51.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Real Estate","Equity","20,340,274.68","1.20","20,340,274.68","127,878.00","22822V101","US22822V1017","BTGQCX1","159.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","20,206,644.18","1.19","20,206,644.18","106,446.00","12572Q105","US12572Q1058","2965839","189.83","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","19,631,881.36","1.16","19,631,881.36","125,636.00","693475105","US6934751057","2692665","156.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","19,232,712.72","1.14","19,232,712.72","26,428.00","29444U700","US29444U7000","BVLZX12","727.74","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","19,088,544.84","1.13","19,088,544.84","166,436.00","45866F104","US45866F1049","BFSSDS9","114.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","18,526,765.86","1.09","18,526,765.86","406,467.00","902973304","US9029733048","2736035","45.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","17,060,014.72","1.01","17,060,014.72","150,388.00","571748102","US5717481023","2567741","113.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","16,679,185.98","0.98","16,679,185.98","173,633.00","743315103","US7433151039","2705024","96.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","15,105,578.36","0.89","15,105,578.36","135,622.00","14040H105","US14040H1059","2654461","111.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","14,368,896.18","0.85","14,368,896.18","67,797.00","-","IE00BLP1HW54","BLP1HW5","211.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","13,194,305.11","0.78","13,194,305.11","47,887.00","615369105","US6153691059","2252058","275.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE GROUP INC CLASS A","Financials","Equity","13,033,825.68","0.77","13,033,825.68","199,844.00","09260D107","US09260D1072","BKF2SL7","65.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","11,715,149.70","0.69","11,715,149.70","226,818.00","59156R108","US59156R1086","2573209","51.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","11,691,299.04","0.69","11,691,299.04","83,082.00","253868103","US2538681030","B03GQS4","140.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","10,891,437.06","0.64","10,891,437.06","75,103.00","89417E109","US89417E1091","2769503","145.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","10,749,336.00","0.63","10,749,336.00","255,450.00","026874784","US0268747849","2027342","42.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","10,711,036.98","0.63","10,711,036.98","67,137.00","74144T108","US74144T1088","2702337","159.54","United States","NASDAQ","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Industrials","Equity","10,524,609.69","0.62","10,524,609.69","11,697.00","22160N109","US22160N1090","2262864","899.77","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","10,288,058.64","0.61","10,288,058.64","24,582.00","55354G100","US55354G1004","B2972D2","418.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","10,270,852.76","0.61","10,270,852.76","241,724.00","064058100","US0640581007","B1Z77F6","42.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","10,144,123.22","0.60","10,144,123.22","45,089.00","74460D109","US74460D1090","2852533","224.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","10,007,982.00","0.59","10,007,982.00","90,162.00","020002101","US0200021014","2019952","111.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","9,864,118.16","0.58","9,864,118.16","117,416.00","744320102","US7443201022","2819118","84.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","9,264,093.80","0.55","9,264,093.80","97,220.00","828806109","US8288061091","2812452","95.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
