Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"JPM","JPMORGAN CHASE & CO","Financials","Equity","156,878,009.82","12.20","156,878,009.82","1,123,929.00","46625H100","US46625H1005","2190385","139.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","129,126,836.52","10.04","129,126,836.52","625,251.00","92826C839","US92826C8394","B2PZN04","206.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","108,156,932.48","8.41","108,156,932.48","324,367.00","57636Q104","US57636Q1040","B121557","333.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","92,487,816.30","7.19","92,487,816.30","2,806,914.00","060505104","US0605051046","2295677","32.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","50,704,836.74","3.94","50,704,836.74","1,524,499.00","949746101","US9497461015","2649100","33.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","48,454,636.08","3.77","48,454,636.08","767,659.00","172967424","US1729674242","2297907","63.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","39,124,405.76","3.04","39,124,405.76","526,999.00","617446448","US6174464486","2262314","74.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","38,117,256.98","2.96","38,117,256.98","126,863.00","38141G104","US38141G1040","2407966","300.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","38,115,511.20","2.96","38,115,511.20","52,299.00","09247X101","US09247X1019","2494504","728.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","30,950,469.45","2.41","30,950,469.45","550,035.00","808513105","US8085131055","2779397","56.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","30,464,133.08","2.37","30,464,133.08","240,481.00","025816109","US0258161092","2026082","126.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
