Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","85,834,673.82","6.49","85,834,673.82","351,407.00","70450Y103","US70450Y1038","BYW36M8","244.26","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","49,721,748.39","3.76","49,721,748.39","190,017.00","G1151C101","IE00B4BNMY34","B4BNMY3","261.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","44,094,832.54","3.33","44,094,832.54","202,103.00","907818108","US9078181081","2914734","218.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","43,789,187.52","3.31","43,789,187.52","210,444.00","438516106","US4385161066","2020459","208.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","34,285,839.84","2.59","34,285,839.84","214,501.00","911312106","US9113121068","2517382","159.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","33,653,113.30","2.54","33,653,113.30","159,154.00","097023105","US0970231058","2108601","211.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","31,356,069.28","2.37","31,356,069.28","455,492.00","75513E101","US75513E1010","BM5M5Y3","68.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","31,338,340.88","2.37","31,338,340.88","162,932.00","149123101","US1491231015","2180201","192.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","29,924,115.53","2.26","29,924,115.53","2,627,227.00","369604103","US3696041033","2380498","11.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","29,448,570.66","2.23","29,448,570.66","173,003.00","88579Y101","US88579Y1010","2595708","170.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","28,285,049.66","2.14","28,285,049.66","93,989.00","244199105","US2441991054","2261203","300.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SQ","SQUARE INC CLASS A","Information Technology","Equity","26,090,588.10","1.97","26,090,588.10","115,114.00","852234103","US8522341036","BYNZGK1","226.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","25,231,304.49","1.91","25,231,304.49","73,847.00","539830109","US5398301094","2522096","341.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","24,395,455.73","1.84","24,395,455.73","186,097.00","31620M106","US31620M1062","2769796","131.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","21,379,577.70","1.62","21,379,577.70","229,370.00","126408103","US1264081035","2160753","93.21","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","20,879,671.15","1.58","20,879,671.15","128,609.00","053015103","US0530151036","2065308","162.35","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","19,304,269.96","1.46","19,304,269.96","76,172.00","655844108","US6558441084","2641894","253.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Information Technology","Equity","18,810,279.00","1.42","18,810,279.00","172,350.00","337738108","US3377381088","2342034","109.14","United States","NASDAQ","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","18,255,005.92","1.38","18,255,005.92","72,452.00","31428X106","US31428X1063","2142784","251.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","18,045,488.42","1.36","18,045,488.42","24,511.00","824348106","US8243481061","2804211","736.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
