Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LIN","LINDE PLC","Materials","Equity","116,401,775.29","18.41","116,401,775.29","434,773.00","G5494J103","IE00BZ12WP82","BZ12WP8","267.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","53,219,642.31","8.42","53,219,642.31","183,093.00","009158106","US0091581068","2011602","290.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","50,753,737.98","8.03","50,753,737.98","607,902.00","26614N102","US26614N1028","BK0VN47","83.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","44,631,709.44","7.06","44,631,709.44","205,714.00","278865100","US2788651006","2304227","216.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","41,305,288.41","6.53","41,305,288.41","665,463.00","651639106","US6516391066","2636607","62.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","36,885,133.35","5.83","36,885,133.35","614,445.00","260557103","US2605571031","BHXCF84","60.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","36,779,296.16","5.82","36,779,296.16","1,203,511.00","35671D857","US35671D8570","2352118","30.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","29,744,252.73","4.70","29,744,252.73","195,673.00","693506107","US6935061076","2698470","152.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","27,234,785.37","4.31","27,234,785.37","617,149.00","22052L104","US22052L1044","BK73B42","44.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","20,689,362.90","3.27","20,689,362.90","212,985.00","-","NL0009434992","B3SPXZ3","97.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","15,865,705.44","2.51","15,865,705.44","88,182.00","012653101","US0126531013","2046853","179.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","14,183,227.71","2.24","14,183,227.71","250,101.00","670346105","US6703461052","2651086","56.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CE","CELANESE CORP","Materials","Equity","13,247,028.00","2.09","13,247,028.00","96,835.00","150870103","US1508701034","B05MZT4","136.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FMC","FMC CORP","Materials","Equity","13,104,693.12","2.07","13,104,693.12","107,486.00","302491303","US3024913036","2328603","121.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","11,961,210.03","1.89","11,961,210.03","112,217.00","277432100","US2774321002","2298386","106.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","10,763,147.92","1.70","10,763,147.92","88,571.00","459506101","US4595061015","2464165","121.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPM","RPM INTERNATIONAL INC","Materials","Equity","9,441,022.50","1.49","9,441,022.50","107,590.00","749685103","US7496851038","2756174","87.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOS","MOSAIC","Materials","Equity","8,032,272.60","1.27","8,032,272.60","285,846.00","61945C103","US61945C1036","B3NPHP6","28.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","8,026,882.57","1.27","8,026,882.57","177,233.00","125269100","US1252691001","B0G4K50","45.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMG","SCOTTS MIRACLE GRO","Materials","Equity","7,575,311.20","1.20","7,575,311.20","33,710.00","810186106","US8101861065","2781518","224.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","6,972,368.76","1.10","6,972,368.76","52,773.00","759509102","US7595091023","2729068","132.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","6,745,539.68","1.07","6,745,539.68","165,616.00","858119100","US8581191009","2849472","40.73","United States","NASDAQ","USD","1.00","USD","-"
