Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","336,929,785.92","8.90","336,929,785.92","1,481,922.00","03027X100","US03027X1000","B7FBFL2","227.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","254,489,239.20","6.72","254,489,239.20","2,465,981.00","74340W103","US74340W1036","B44WZD7","103.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Real Estate","Equity","229,132,776.84","6.05","229,132,776.84","1,438,734.00","22822V101","US22822V1017","BTGQCX1","159.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","183,399,086.00","4.85","183,399,086.00","247,850.00","29444U700","US29444U7000","BVLZX12","739.96","United States","NASDAQ","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","136,272,426.75","3.60","136,272,426.75","946,665.00","253868103","US2538681030","B03GQS4","143.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Industrials","Equity","119,816,180.12","3.17","119,816,180.12","133,172.00","22160N109","US22160N1090","2262864","899.71","United States","NASDAQ","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","116,974,828.48","3.09","116,974,828.48","513,904.00","74460D109","US74460D1090","2852533","227.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","102,955,753.05","2.72","102,955,753.05","1,107,885.00","828806109","US8288061091","2812452","92.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","100,859,524.01","2.66","100,859,524.01","375,403.00","78410G104","US78410G1040","BZ6TS23","268.67","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","85,442,061.00","2.26","85,442,061.00","1,409,935.00","95040Q104","US95040Q1040","BYVYHH4","60.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
