Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FDX","FEDEX CORP","Industrials","Equity","199,251,989.48","12.00","199,251,989.48","784,642.00","31428X106","US31428X1063","2142784","253.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","192,519,761.12","11.59","192,519,761.12","784,642.00","655844108","US6558441084","2641894","245.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KSU","KANSAS CITY SOUTHERN","Industrials","Equity","167,120,899.58","10.06","167,120,899.58","784,642.00","485170302","US4851703029","2607647","212.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","163,127,071.80","9.82","163,127,071.80","784,642.00","907818108","US9078181081","2914734","207.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","125,621,184.20","7.56","125,621,184.20","784,642.00","911312106","US9113121068","2517382","160.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSTR","LANDSTAR SYSTEM INC","Industrials","Equity","119,728,522.78","7.21","119,728,522.78","784,642.00","515098101","US5150981018","2503994","152.59","United States","NASDAQ","USD","1.00","USD","-"
"JBHT","JB HUNT TRANSPORT SERVICES INC","Industrials","Equity","115,577,766.60","6.96","115,577,766.60","784,642.00","445658107","US4456581077","2445416","147.30","United States","NASDAQ","USD","1.00","USD","-"
"CHRW","CH ROBINSON WORLDWIDE INC","Industrials","Equity","76,855,683.90","4.63","76,855,683.90","784,642.00","12541W209","US12541W2098","2116228","97.95","United States","NASDAQ","USD","1.00","USD","-"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","73,779,887.26","4.44","73,779,887.26","784,642.00","302130109","US3021301094","2325507","94.03","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","71,881,053.62","4.33","71,881,053.62","784,642.00","126408103","US1264081035","2160753","91.61","United States","NASDAQ","USD","1.00","USD","-"
"R","RYDER SYSTEM INC","Industrials","Equity","53,763,669.84","3.24","53,763,669.84","784,642.00","783549108","US7835491082","2760669","68.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","52,241,464.36","3.15","52,241,464.36","784,642.00","57686G105","US57686G1058","B8GNC91","66.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALK","ALASKA AIR GROUP INC","Industrials","Equity","43,123,924.32","2.60","43,123,924.32","784,642.00","011659109","US0116591092","2012605","54.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEX","KIRBY CORP","Industrials","Equity","42,150,968.24","2.54","42,150,968.24","784,642.00","497266106","US4972661064","2493534","53.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUV","SOUTHWEST AIRLINES","Industrials","Equity","37,482,348.34","2.26","37,482,348.34","784,642.00","844741108","US8447411088","2831543","47.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","33,412,408.67","2.01","33,412,408.67","784,513.00","910047109","US9100471096","B4QG225","42.59","United States","NASDAQ","USD","1.00","USD","-"
"CAR","AVIS BUDGET GROUP INC","Industrials","Equity","32,798,035.60","1.97","32,798,035.60","784,642.00","053774105","US0537741052","B1CL8J2","41.80","United States","NASDAQ","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","31,911,390.14","1.92","31,911,390.14","784,642.00","247361702","US2473617023","B1W9D46","40.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAL","AMERICAN AIRLINES GROUP INC","Industrials","Equity","12,420,882.86","0.75","12,420,882.86","784,642.00","02376R102","US02376R1023","BCV7KT2","15.83","United States","NASDAQ","USD","1.00","USD","-"
"JBLU","JETBLUE AIRWAYS CORP","Industrials","Equity","11,981,483.34","0.72","11,981,483.34","784,642.00","477143101","US4771431016","2852760","15.27","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,660,000.00","0.16","2,660,000.00","2,660,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","1,224,020.82","0.07","1,224,020.82","1,224,021.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","305,000.00","0.02","305,000.00","305,000.00","-","-","-","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"IXIH1","XAI INDUSTRIAL MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","4,024,350.00","45.00","-","-","-","894.30","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
