Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","1,490,685,424.68","21.23","1,490,685,424.68","10,412,723.00","037833100","US0378331005","2046251","143.16","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,144,449,680.78","16.30","1,144,449,680.78","4,925,966.00","594918104","US5949181045","2588173","232.33","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","318,196,453.30","4.53","318,196,453.30","166,774.00","02079K305","US02079K3059","BYVY8G0","1,907.95","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","308,735,074.44","4.40","308,735,074.44","161,031.00","02079K107","US02079K1079","BYY88Y7","1,917.24","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","293,820,792.65","4.18","293,820,792.65","1,041,733.00","30303M102","US30303M1027","B7TL820","282.05","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","234,621,920.39","3.34","234,621,920.39","436,579.00","67066G104","US67066G1040","2379504","537.41","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","161,149,814.28","2.29","161,149,814.28","338,351.00","00724F101","US00724F1012","2008154","476.28","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","159,576,665.18","2.27","159,576,665.18","2,890,358.00","458140100","US4581401001","2463247","55.21","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","146,019,379.86","2.08","146,019,379.86","645,361.00","79466L302","US79466L3024","2310525","226.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","134,887,563.32","1.92","134,887,563.32","2,980,282.00","17275R102","US17275R1023","2198163","45.26","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","132,343,502.61","1.88","132,343,502.61","285,303.00","11135F101","US11135F1012","BDZ78H9","463.87","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","129,666,947.75","1.85","129,666,947.75","797,705.00","747525103","US7475251036","2714923","162.55","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","111,013,964.75","1.58","111,013,964.75","647,425.00","882508104","US8825081040","2885409","171.47","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","82,679,871.60","1.18","82,679,871.60","1,337,862.00","68389X105","US68389X1054","2661568","61.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","80,341,167.06","1.14","80,341,167.06","848,286.00","007903107","US0079031078","2007849","94.71","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","76,980,310.38","1.10","76,980,310.38","628,462.00","459200101","US4592001014","2005973","122.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","73,273,417.98","1.04","73,273,417.98","137,613.00","81762P102","US81762P1021","B80NXX8","532.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","69,455,687.20","0.99","69,455,687.20","185,314.00","461202103","US4612021034","2459020","374.80","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","67,976,727.38","0.97","67,976,727.38","644,146.00","038222105","US0382221051","2046552","105.53","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","62,428,548.66","0.89","62,428,548.66","785,166.00","595112103","US5951121038","2588184","79.51","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","56,130,360.24","0.80","56,130,360.24","101,564.00","512807108","US5128071082","2502247","552.66","United States","NASDAQ","USD","1.00","USD","-"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Information Technology","Equity","53,830,542.98","0.77","53,830,542.98","143,782.00","98980L101","US98980L1017","BGSP7M9","374.39","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","45,245,465.25","0.64","45,245,465.25","155,083.00","052769106","US0527691069","2065159","291.75","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","40,376,744.24","0.57","40,376,744.24","260,596.00","032654105","US0326541051","2032067","154.94","United States","NASDAQ","USD","1.00","USD","-"
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","35,133,568.90","0.50","35,133,568.90","98,926.00","90138F102","US90138F1021","BD6P5Q0","355.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","34,341,301.67","0.49","34,341,301.67","644,423.00","83304A106","US83304A1060","BD8DJ71","53.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
